frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
106,530,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,0.995082,0.995338,0.996914,0.992669,0.999314,0,0,0,0,0,990,1057,1066,1134,1228
306,1530,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.002706,0.988593,1.005420,0.986443,1.003802,13,-20,17,-20,10,1618,1611,1615,1614,1611
506,2530,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.007634,0.979989,1.011444,0.976668,1.011401,13,-20,13,-20,14,1604,1569,1605,1613,1612
706,3530,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.018398,0.972070,1.018408,0.968971,1.016260,17,-20,13,-20,11,1618,1596,1617,1607,1615
906,4530,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.021776,0.966704,1.024678,0.960594,1.022273,12,-20,17,-20,13,1561,1572,1553,1521,1521
1106,5530,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.028048,0.957062,1.034445,0.953694,1.029933,15,-20,12,-20,14,1517,1540,1599,1584,1574
1306,6530,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.040894,0.951841,1.040393,0.944964,1.036856,15,-20,13,-20,12,1604,1535,1602,1587,1615
1506,7530,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.045655,0.941342,1.047828,0.938541,1.042316,14,-20,12,-20,14,1588,1543,1589,1511,1566
1706,8530,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.052863,0.933671,1.054743,0.930401,1.052146,13,-20,13,-20,15,1586,1549,1615,1566,1611
1906,9530,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.060155,0.926201,1.062466,0.922520,1.059143,13,-20,15,-20,14,1582,1518,1611,1564,1613
2106,10530,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.069767,0.918207,1.068590,0.920000,1.066593,15,-20,11,-20,16,1619,1555,1607,1545,1587
2306,11530,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.076340,0.912676,1.074766,0.912005,1.073239,13,-20,13,-20,15,1617,1545,1589,1486,1545
2506,12530,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.083153,0.912100,1.082972,0.909559,1.078875,13,-20,15,-20,13,1622,1522,1614,1517,1583
2706,13530,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.085938,0.912723,1.088485,0.908438,1.090959,13,-20,14,-20,16,1434,1397,1533,1441,1584
2906,14530,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.096757,0.908401,1.096353,0.904429,1.100922,13,-20,13,-20,18,1620,1484,1607,1486,1613
3106,15530,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.102121,0.903938,1.104087,0.904932,1.107143,13,-20,15,-20,13,1562,1446,1605,1453,1618
3306,16530,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.111351,0.903034,1.109358,0.902031,1.102883,14,-20,12,-20,15,1620,1451,1608,1444,1539
3506,17530,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.115084,0.904733,1.117073,0.898204,1.113363,13,-20,13,-20,15,1560,1418,1615,1440,1596
3706,18530,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.121896,0.911897,1.117515,0.898883,1.115233,13,-20,14,-20,13,1542,1325,1557,1382,1549
3906,19530,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.127174,0.906170,1.123820,0.895326,1.119931,14,-20,18,-20,11,1610,1326,1571,1289,1521
