frame,time_fs,Foil3_Ybin1_edge,Foil3_Ybin2_edge,Foil3_Ybin3_edge,Foil3_Ybin4_edge,Foil3_Ybin5_edge,Foil3_Ybin6_edge,Foil3_Ybin7_edge
106,530,22.359795,22.788046,22.280535,22.519377,22.708794,25.572742,22.266617
306,1530,23.451534,23.61949,23.033226,23.374788,23.516361,25.141724,22.51961
506,2530,23.42321,23.185707,23.030293,23.246634,23.500616,25.157413,22.515444
706,3530,24.801672,23.361004,23.019695,23.252546,23.500235,25.156265,22.501139
906,4530,24.204538,23.517727,23.13737,23.241985,23.5031,25.14106,22.468443
1106,5530,24.036842,23.630419,23.15875,23.066444,23.47564,25.142897,22.456902
1306,6530,23.905676,23.60202,23.343946,22.989475,23.483555,25.151646,22.425943
1506,7530,24.012936,23.58443,23.239428,22.847479,23.152605,25.14551,22.433449
1706,8530,24.171776,23.62787,23.291977,22.820127,23.241138,25.003199,22.446718
1906,9530,24.033922,23.751184,23.30709,22.928812,23.190403,24.597681,22.475426
2106,10530,23.745197,23.897902,23.337229,23.041214,23.21458,24.598251,22.314377
2306,11530,23.889484,23.99286,23.409874,23.147516,23.106077,24.270685,22.316662
2506,12530,23.917585,24.64324,23.511734,22.796267,22.99997,24.170504,22.492786
2706,13530,24.388851,24.58329,23.437357,23.01719,22.900988,24.022615,22.212275
2906,14530,24.483137,24.349106,23.325445,23.015568,22.691536,24.335426,22.528072
3106,15530,24.259953,24.252615,22.72217,23.054811,22.548054,24.506912,22.80803
3306,16530,24.424133,24.49639,22.753386,22.757599,22.504704,24.449514,23.133047
3506,17530,24.93077,24.736652,22.655748,22.513102,22.284597,24.345945,23.135666
3706,18530,24.89881,25.048668,24.372225,22.793034,22.173103,24.477812,23.191893
3906,19530,24.434324,25.191622,24.251728,24.059088,22.84823,23.869488,23.393435
4106,20530,24.731932,25.571598,24.32403,24.26726,31.845816,23.812931,23.473158
4306,21530,26.733095,26.420853,26.289135,24.926748,38.124718,22.521572,22.689613
4506,22530,26.417437,26.514952,30.194548,24.811434,42.209023,41.60311,22.230038
4706,23530,26.236017,26.530514,26.620619,24.558498,29.536821,42.63855,22.737936
4906,24530,26.308311,26.4498,42.09445,25.212667,33.35756,21.78349,23.768593
5106,25530,26.289185,26.420652,45.42934,29.778395,32.957947,21.551977,24.763313
5306,26530,26.147326,26.336718,46.76607,30.331312,36.607388,30.040728,25.329199
5506,27530,26.096138,26.287985,44.084686,30.362309,27.352829,32.856308,26.515787
5706,28530,25.87125,25.99856,32.437786,30.38337,27.575783,28.052176,27.866081
5906,29530,25.789433,25.803417,31.535366,25.390688,28.50773,28.808926,27.795116
6106,30530,25.874842,25.80008,31.621256,25.68192,27.997244,29.314482,27.769403
6306,31530,25.642166,25.65931,32.104042,25.114357,45.595833,47.61329,28.286678
6506,32530,25.53725,25.491837,32.46391,25.748732,32.580322,31.32084,28.643677
6706,33530,25.485859,25.482857,32.561737,25.945885,33.265038,32.23297,29.42875
6906,34530,25.383175,25.612246,32.296654,26.04242,33.312424,36.82605,30.160362
7106,35530,25.535183,25.561722,35.999107,46.47973,39.452076,38.579918,29.905298
7306,36530,25.522837,25.589054,36.225777,46.42898,41.013535,32.917244,30.587244
7506,37530,25.566126,25.703167,36.49466,46.42898,42.45988,51.72842,30.633945
7706,38530,25.515053,26.299334,36.648026,26.698257,33.544907,32.37123,30.767654
7906,39530,25.45253,26.448523,36.787354,24.86308,34.261898,52.61985,25.732565
8106,40530,25.345694,26.964106,36.86253,24.65368,60.187683,52.6328,25.606016
8306,41530,25.364529,26.991098,36.59074,27.754845,61.39909,58.334934,24.99199
8506,42530,25.244389,26.809753,36.09312,27.507797,61.81202,48.612843,24.490154
8706,43530,25.094643,26.726254,35.928246,27.843056,61.85681,58.334934,24.271427
8906,44530,24.85033,26.566914,35.819893,27.767693,62.003315,58.692665,24.459953
9106,45530,25.137947,26.695847,47.806175,29.743116,49.680885,35.768295,24.657694
9306,46530,24.606014,26.5848,47.801956,57.807045,42.55872,36.973305,24.993
9506,47530,24.461584,26.602737,47.924774,57.875423,49.299053,46.356598,25.645525
9706,48530,24.16903,26.706858,48.557446,47.05382,67.56492,50.62507,25.746351
9906,49530,28.565323,26.759836,48.86647,48.729103,64.06517,50.52491,25.404804
10106,50530,28.156628,26.789482,66.504425,60.50614,68.703674,52.08067,25.396597
10306,51530,31.133123,26.74266,69.34949,63.80366,45.475666,40.474663,25.7588
10506,52530,34.37622,26.889168,66.46586,64.74197,45.538162,54.01926,25.795284
10706,53530,38.2491,26.7417,69.47441,63.979805,45.17403,50.17246,25.649973
10906,54530,35.146946,26.752024,69.53733,68.445724,57.90122,50.545704,25.612076
11106,55530,30.17779,26.93163,66.58416,68.569275,68.738075,66.60511,25.910513
11306,56530,33.80619,26.73933,67.10178,68.62686,68.92005,66.60491,25.791063
11506,57530,34.340054,26.664284,67.22588,68.742195,69.10312,68.2342,25.838846
11706,58530,37.751446,26.447605,67.54,68.960335,69.16852,67.996826,25.683035
11906,59530,37.81375,26.422718,68.21396,69.0302,69.20397,67.57473,24.290623
12106,60530,38.436993,25.85963,68.80258,69.067856,69.22772,67.57473,24.133368
