frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
102,510,CC,CC,CC,CC,CC,0.010000,-0.010000,0.010000,-0.010000,0.010000,0.994938,0.997789,0.995033,0.994544,0.995041,0,0,0,0,0,1548,1579,1582,1603,1585
302,1510,CC,CC,CC,CC,CC,0.010000,-0.010000,0.010000,-0.010000,0.010000,0.998918,0.994541,0.999458,0.991333,0.998378,7,-10,8,-10,6,1619,1602,1614,1616,1619
502,2510,CC,CC,CC,CC,CC,0.010000,-0.010000,0.010000,-0.010000,0.010000,1.004331,0.988056,1.002706,0.988056,1.001623,8,-10,7,-10,5,1617,1612,1618,1612,1618
702,3510,CC,CC,CC,CC,CC,0.010000,-0.010000,0.010000,-0.010000,0.010000,1.007580,0.984205,1.007065,0.982580,1.004329,7,-10,8,-10,5,1617,1606,1610,1607,1618
902,4510,CC,CC,CC,CC,CC,0.010000,-0.010000,0.010000,-0.010000,0.010000,1.010645,0.981278,1.007917,0.978660,1.007135,7,-10,7,-10,6,1367,1319,1412,1457,1592
1102,5510,CC,CC,CC,CC,CC,0.010000,-0.010000,0.010000,-0.010000,0.010000,1.015376,0.975099,1.014631,0.975734,1.009643,7,-10,8,-10,6,1591,1537,1547,1542,1533
1302,6510,CC,CC,CC,CC,CC,0.010000,-0.010000,0.010000,-0.010000,0.010000,1.018559,0.971616,1.018929,0.972131,1.012973,6,-10,8,-10,6,1602,1602,1619,1600,1620
1502,7510,CC,CC,CC,CC,CC,0.010000,-0.010000,0.010000,-0.010000,0.010000,1.021488,0.969298,1.022112,0.968839,1.016875,6,-10,6,-10,8,1585,1594,1579,1535,1607
1702,8510,CC,CC,CC,CC,CC,0.010000,-0.010000,0.010000,-0.010000,0.010000,1.026558,0.965385,1.023784,0.963308,1.021207,10,-10,3,-10,7,1615,1590,1620,1596,1609
1902,9510,CC,CC,CC,CC,CC,0.010000,-0.010000,0.010000,-0.010000,0.010000,1.029736,0.962159,1.028899,0.957808,1.023784,7,-10,9,-10,5,1586,1567,1604,1595,1620
2102,10510,CC,CC,CC,CC,CC,0.010000,-0.010000,0.010000,-0.010000,0.010000,1.034202,0.959669,1.031875,0.953897,1.027583,7,-10,6,-10,7,1612,1580,1621,1592,1619
2302,11510,CC,CC,CC,CC,CC,0.010000,-0.010000,0.010000,-0.010000,0.010000,1.038462,0.955728,1.035948,0.951018,1.029746,7,-10,9,-10,5,1616,1577,1606,1587,1619
2502,12510,CC,CC,CC,CC,CC,0.010000,-0.010000,0.010000,-0.010000,0.010000,1.042772,0.953177,1.038862,0.946286,1.034073,8,-10,7,-10,7,1617,1564,1597,1520,1619
2702,13510,CC,CC,CC,CC,CC,0.010000,-0.010000,0.010000,-0.010000,0.010000,1.046849,0.947520,1.041477,0.947277,1.035437,10,-10,4,-10,6,1563,1504,1530,1496,1576
2902,14510,CC,CC,CC,CC,CC,0.010000,-0.010000,0.010000,-0.010000,0.010000,1.051948,0.942873,1.046550,0.941997,1.040563,7,-10,8,-10,6,1618,1573,1596,1563,1619
3102,15510,CC,CC,CC,CC,CC,0.010000,-0.010000,0.010000,-0.010000,0.010000,1.050761,0.940867,1.050028,0.938728,1.045207,3,-10,10,-10,8,1543,1478,1549,1500,1606
3302,16510,CC,CC,CC,CC,CC,0.010000,-0.010000,0.010000,-0.010000,0.010000,1.054795,0.936508,1.055161,0.935211,1.047011,6,-10,7,-10,8,1595,1534,1601,1545,1493
3502,17510,CC,CC,CC,CC,CC,0.010000,-0.010000,0.010000,-0.010000,0.010000,1.060195,0.934941,1.057734,0.934758,1.052834,7,-10,5,-10,8,1614,1553,1606,1548,1587
