frame,time_fs,Foil3_Ybin1_edge,Foil3_Ybin2_edge,Foil3_Ybin3_edge,Foil3_Ybin4_edge,Foil3_Ybin5_edge,Foil3_Ybin6_edge,Foil3_Ybin7_edge
102,510,25.31128,23.35651,22.9621,23.21533,23.012362,23.399517,23.48612
302,1510,25.35866,23.702833,23.900011,24.147463,23.327185,24.095661,23.638264
502,2510,25.351574,23.744167,23.956387,24.214287,23.368647,24.15695,23.613455
702,3510,25.355051,23.804237,23.985352,24.222662,23.390451,24.156744,23.612268
902,4510,25.239264,23.85109,24.023638,24.17335,23.27914,24.288023,23.612186
1102,5510,25.24198,23.87477,24.038359,24.155495,23.275902,24.323112,23.592997
1302,6510,25.17934,23.874538,24.060932,24.050505,23.276775,25.046598,23.560675
1502,7510,24.945337,23.803423,24.093662,23.850409,23.201286,24.988811,23.550476
1702,8510,24.935837,23.591175,24.049032,23.609518,23.202095,24.910954,23.575098
1902,9510,24.87881,23.619278,23.994534,23.212183,23.298086,24.867802,23.562365
2102,10510,24.705177,23.782934,23.959654,23.221615,23.02383,24.56426,23.63637
2302,11510,24.570753,23.940088,23.888779,23.405128,23.055557,24.53762,23.671902
2502,12510,24.530733,23.876528,23.853844,23.900145,23.134354,24.563932,23.638895
2702,13510,24.515089,23.874765,23.939905,23.980305,23.16685,24.465939,23.748993
2902,14510,24.307045,23.876974,23.965033,23.300407,23.344751,24.040276,23.72503
3102,15510,23.994837,23.875696,23.929903,22.958452,23.254375,23.59603,23.795492
3302,16510,23.885906,23.919065,23.78527,22.71767,23.336077,23.319284,23.920269
3502,17510,23.759827,23.985651,23.788422,22.491816,23.273054,23.07383,23.859083
3702,18510,23.65192,23.88426,23.906033,22.35701,23.0083,22.91056,23.848694
3902,19510,23.578175,23.819855,23.345943,22.040768,22.961388,22.930353,23.724354
4102,20510,23.609537,23.769602,23.08671,21.535366,22.539602,22.889532,23.389318
4302,21510,23.949879,23.552954,22.79791,21.4949,22.250658,22.654255,22.719387
4502,22510,23.999136,23.156183,22.951452,21.499157,22.491728,22.416004,22.569704
