frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
167,835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.996622,0.994038,0.993421,0.997755,0.997734,0,0,0,0,0,1546,1615,1594,1552,1535
367,1835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.999458,0.976615,1.014786,0.999448,1.000000,4,-40,40,3,5,1614,1566,1596,1580,1573
567,2835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.001265,0.964761,1.031170,1.000615,1.000000,1,-40,42,0,0,1351,1047,1342,1397,1484
767,3835,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.006829,0.987578,1.006557,0.992476,1.004062,10,46,-48,-21,9,1088,897,1295,1232,1001
967,4835,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.016420,1.002096,1.001474,0.975121,1.010963,20,26,-18,-40,20,988,724,1127,1217,1047
1167,5835,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.027203,1.000000,1.000542,0.956068,1.025386,19,1,-4,-40,19,1608,1588,1615,1591,1582
1367,6835,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.006035,1.000615,1.019142,0.941691,1.002996,-44,0,41,-40,-46,1427,1397,1494,1485,1439
1567,7835,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.006114,1.000952,1.041176,0.925620,0.997052,-5,0,40,-40,-4,915,821,1130,1343,1127
1767,8835,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.004657,0.989485,1.014107,0.972808,1.006529,9,-21,-55,92,8,1488,1577,1613,1572,1608
1967,9835,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.016477,0.967761,1.001114,0.997746,1.014741,20,-40,-23,44,20,1530,1507,1566,1545,1466
2167,10835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.026573,0.951018,1.001083,0.999441,1.027854,19,-39,-2,6,19,1614,1587,1616,1560,1601
2367,11835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.003281,0.931205,1.023758,1.000000,1.001632,-43,-40,43,0,-49,1599,1587,1622,1572,1608
2567,12835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.000000,0.913043,1.045300,1.000000,0.999457,-7,-40,45,0,-2,1554,1518,1536,1533,1610
2767,13835,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.004945,0.971364,1.015393,0.988294,1.005479,9,103,-58,-21,10,1590,1551,1589,1564,1595
2967,14835,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.017553,0.998302,1.002738,0.968316,1.016921,23,48,-26,-40,20,1593,1537,1596,1569,1602
3167,15835,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.027640,1.000000,1.001715,0.947581,1.029087,19,4,-3,-40,20,1579,1487,1519,1506,1489
3367,16835,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.002890,0.997745,1.019982,0.932219,1.007339,-49,1,42,-40,-45,808,657,871,847,860
3567,17835,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.000000,1.000556,1.046436,0.905056,1.000000,-4,0,42,-40,-9,1593,1570,1622,1550,1598
3767,18835,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.005438,0.987757,1.013550,0.969291,1.005453,11,-22,-58,114,11,1609,1567,1615,1561,1604
3967,19835,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.017005,0.968698,1.001644,0.997197,1.016120,20,-39,-26,50,20,1593,1559,1595,1554,1569
4167,20835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.026097,0.947222,1.000540,1.000000,1.027248,19,-41,-2,5,19,1571,1570,1621,1561,1605
4367,21835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.001124,0.926032,1.021600,1.001873,1.002852,-46,-40,41,-1,-44,1550,1514,1483,1372,1523
4567,22835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.001105,0.912383,1.043035,0.999411,1.000558,-6,-40,43,0,-4,1580,1482,1536,1469,1563
4767,23835,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.002257,0.970469,1.018900,0.988561,1.008961,10,100,-50,-21,11,1542,1497,1516,1431,1444
4967,24835,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.009202,0.997284,1.000000,0.965758,1.016452,20,49,-33,-40,20,1074,1243,1303,1201,1168
5167,25835,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.024189,0.995646,1.000000,0.945080,1.027875,19,1,-1,-40,21,1465,1148,1413,1518,1492
5367,26835,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.001642,1.000000,1.022174,0.925365,1.003855,-45,4,40,-40,-48,1597,1525,1619,1552,1586
5567,27835,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.001091,1.000000,1.043831,0.904441,1.000555,-4,1,41,-40,-9,1604,1540,1618,1549,1573
5767,28835,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.006014,0.988142,1.015209,0.970605,1.005510,8,-21,-52,114,10,1599,1541,1611,1539,1585
5967,29835,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.011874,0.962536,0.999401,0.997426,1.013981,21,-40,-29,48,20,949,1158,1439,1324,1129
6167,30835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.025641,0.951203,1.001935,0.999288,1.021670,19,-40,0,5,18,1525,1225,1320,1175,1339
6367,31835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.996528,0.937111,1.017220,1.000000,1.001823,-46,-40,41,1,-47,1498,1217,1396,1192,1416
6567,32835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.998554,0.911458,1.037785,1.001589,1.000000,-3,-40,40,0,-4,1153,1306,1305,1029,1184
6767,33835,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.006034,0.975159,1.016784,0.988493,1.003982,9,102,-51,-21,10,1593,1501,1617,1508,1528
6967,34835,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.014188,0.997570,1.001165,0.969615,1.012925,20,41,-27,-40,20,1532,1416,1487,1251,1240
7167,35835,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.026696,0.999428,1.000547,0.946636,1.025224,19,7,-3,-40,19,1568,1517,1597,1494,1554
7367,36835,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.000545,0.999430,1.020856,0.925271,1.002217,-47,4,42,-40,-45,1605,1525,1592,1523,1574
7567,37835,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.000545,1.000000,1.044565,0.904303,0.999419,0,1,42,-40,-6,1605,1524,1610,1536,1492
7767,38835,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.006550,0.987421,1.014169,0.971545,1.004561,10,-22,-54,115,9,1602,1519,1605,1492,1524
7967,39835,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.016138,0.966266,1.002163,0.994878,1.017574,20,-40,-26,42,22,1567,1519,1619,1527,1534
8167,40835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.030788,0.948734,0.998257,0.999380,1.024549,21,-40,-2,7,18,1394,1350,1491,1384,1155
8367,41835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.001250,0.929613,1.019563,0.999394,0.999361,-48,-40,42,0,-46,1370,1347,1508,1421,1335
8567,42835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.998300,0.907683,1.035756,0.999321,1.003539,-6,-40,41,1,-5,1535,1384,1476,1242,1183
8767,43835,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.004934,0.972738,1.016411,0.988359,1.004920,9,111,-53,-21,10,1594,1494,1598,1488,1396
8967,44835,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.016393,0.995726,1.000000,0.967930,1.016138,21,41,-28,-40,20,1600,1408,1574,1485,1567
9167,45835,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.025344,0.999416,1.000542,0.949338,1.024831,20,6,-3,-40,18,1585,1481,1615,1507,1542
9367,46835,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.002242,1.000000,1.023090,0.929234,1.000566,-41,1,42,-40,-48,1554,1469,1589,1494,1537
9567,47835,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.000555,1.000000,1.044727,0.906398,1.001684,-7,1,44,-40,-2,1572,1480,1581,1458,1551
9767,48835,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.004948,0.988284,1.017621,0.971193,1.005675,8,-21,-53,106,8,1589,1477,1586,1471,1532
9967,49835,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.011588,0.965540,1.000584,0.997324,1.010601,20,-40,-35,47,20,1237,1279,1481,1265,1185
10167,50835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.026761,0.947705,1.000541,1.000000,1.028539,20,-40,0,5,22,1601,1491,1618,1506,1522
10367,51835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.002191,0.927241,1.022186,0.999424,1.002862,-47,-40,40,-2,-49,1596,1488,1618,1506,1517
10567,52835,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.999448,0.906360,1.043728,0.998464,0.998070,-4,-40,42,1,-4,1582,1468,1508,1072,1324
10767,53835,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.006031,0.970228,1.017838,0.987847,1.005111,10,110,-50,-21,9,1594,1483,1620,1498,1531
10967,54835,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.013730,0.999344,1.000000,0.967425,1.013325,21,49,-28,-40,21,1518,1294,1478,1397,1421
