frame,time_fs,Foil3_Ybin1_edge,Foil3_Ybin2_edge,Foil3_Ybin3_edge,Foil3_Ybin4_edge,Foil3_Ybin5_edge,Foil3_Ybin6_edge,Foil3_Ybin7_edge
107,535,22.850014,22.807817,22.888117,25.1391,22.712322,22.962925,23.09359
307,1535,23.4629,23.478474,22.870832,25.38876,23.973343,23.446638,23.702269
507,2535,23.50701,23.549313,22.728561,25.842157,23.998398,23.46179,23.739998
707,3535,23.69298,23.5492,22.814026,25.920721,24.047815,23.437096,23.745218
907,4535,23.661179,23.59652,22.81648,25.7807,23.855936,23.401026,23.65191
1107,5535,23.30638,23.651302,22.870724,25.581165,23.63633,23.411667,23.681662
1307,6535,23.137745,23.725657,22.896807,25.391031,23.614573,23.234041,23.684076
1507,7535,23.463541,23.768713,22.90374,25.289108,23.622375,23.234972,23.712952
1707,8535,23.753523,23.78009,22.904255,25.289999,23.63804,23.236002,23.71189
1907,9535,23.95617,23.788553,22.905005,25.181402,23.640663,23.237713,23.711508
2107,10535,24.136663,23.799036,22.906645,25.18102,23.680151,23.215744,23.71206
2307,11535,24.367567,23.76776,22.917757,25.24055,23.583235,23.319197,23.646132
2507,12535,24.982363,23.60448,23.072765,24.952608,23.5843,23.25605,24.067123
2707,13535,24.770826,22.882475,22.502382,25.082418,23.326035,22.643147,24.309406
2907,14535,24.924915,22.58001,22.558498,25.332432,24.782993,22.743078,23.84067
3107,15535,24.31745,27.149612,22.805883,24.536327,24.439156,22.461168,23.485989
3307,16535,24.460121,22.553114,22.949596,25.261847,24.447128,21.843372,22.981346
3507,17535,25.940237,22.429073,23.234138,25.832851,24.41274,22.124302,22.96597
3707,18535,26.455366,22.625103,23.3719,25.708805,24.549473,22.353216,23.04315
3907,19535,26.784039,22.692867,23.518387,25.79018,24.84604,22.476625,23.135471
4107,20535,26.769766,22.717411,23.589813,26.084452,24.924911,22.559446,23.254633
4307,21535,26.772547,22.753403,23.604856,26.415537,25.049984,22.513573,23.313898
4507,22535,26.88332,23.000608,23.440903,26.688166,24.897242,22.492325,23.392212
4707,23535,27.031183,23.590721,23.420794,26.461498,24.27621,22.439451,23.397064
4907,24535,27.108438,23.551407,23.31516,25.799986,24.560865,22.176815,23.407728
5107,25535,27.117565,23.17861,26.492706,25.960001,23.600512,22.033207,23.342073
5307,26535,27.137154,23.131771,27.757175,26.584492,21.975197,21.947075,23.298166
5507,27535,27.114716,23.32421,27.753773,27.1185,23.343359,21.9702,23.286531
5707,28535,27.023073,23.384325,27.577175,27.343756,23.263071,21.733704,23.274054
5907,29535,26.780842,23.49998,27.540491,27.464361,23.251661,21.917274,23.215305
6107,30535,26.336018,23.827394,27.552305,27.7086,23.246172,22.339785,23.17934
6307,31535,25.56694,23.821545,27.846918,27.465412,22.97832,22.175568,22.941694
6507,32535,25.333164,26.886415,29.146168,27.153353,22.694447,22.44639,22.580915
6707,33535,25.172262,22.94262,28.04507,26.737286,22.39873,22.522766,22.635376
6907,34535,26.020088,26.914505,29.082882,26.505383,22.03078,22.58027,22.559309
7107,35535,26.292194,36.478508,30.83271,25.612806,21.55207,22.117388,22.593533
7307,36535,27.18747,31.61432,32.00045,26.0152,21.578814,22.219128,22.769508
7507,37535,27.601751,39.687973,32.824192,26.786488,21.490284,22.495161,22.981825
7707,38535,27.82398,40.682995,32.967136,28.196169,21.766817,22.50843,23.421803
7907,39535,27.85463,40.992416,33.13777,28.243319,22.256813,22.470009,22.923208
8107,40535,27.977003,41.06044,33.186428,27.963142,22.205349,22.530687,23.06969
8307,41535,28.097433,41.358017,33.198196,28.004704,22.24368,22.53761,23.281313
8507,42535,28.404919,41.50128,33.543118,27.90206,22.374752,22.727383,23.421179
8707,43535,28.42148,41.45843,33.543118,27.832998,22.454815,22.772892,23.456284
8907,44535,28.543688,41.54955,33.543118,28.50422,22.542439,22.819113,24.397768
9107,45535,28.988043,41.63487,33.543118,28.096783,22.56286,22.821756,24.399105
9307,46535,22.837461,43.165592,33.65748,27.947796,22.600502,23.073328,24.761656
9507,47535,22.837395,44.073944,33.896732,28.02865,22.612484,23.511427,25.332296
9707,48535,22.836836,44.12254,34.00792,27.994854,22.647104,23.610981,25.821085
9907,49535,22.822672,44.18934,34.00792,28.039652,22.67301,23.6723,26.184517
10107,50535,22.698742,44.190006,34.00792,27.984867,22.718624,23.762669,26.395197
10307,51535,22.71109,44.143017,33.80075,28.021765,22.495352,24.183195,26.249838
10507,52535,22.700512,42.205856,33.649918,30.72687,22.174713,26.25033,25.736586
10707,53535,22.495182,41.652218,33.21504,30.389051,21.942265,24.805553,24.854813
10907,54535,22.791616,41.559826,31.935701,26.810257,21.210007,24.044733,25.120518
11107,55535,29.290216,43.254932,31.368687,25.993937,20.895496,24.400946,24.877337
11307,56535,22.788155,33.41113,34.589203,26.688549,21.494741,24.879957,24.710024
11507,57535,23.648947,34.088196,33.589092,29.997746,22.089403,25.890648,25.374214
11707,58535,23.718143,33.93244,35.108433,30.542227,22.726147,26.088577,25.791924
11907,59535,23.724285,33.880955,26.026863,30.602116,22.805542,26.522152,25.706924
12107,60535,23.771267,35.961582,26.137812,30.64955,22.711462,26.65036,25.69234
12307,61535,23.73456,35.964016,26.135725,30.471756,22.68505,26.675165,25.749147
12507,62535,23.734636,35.964016,26.124655,30.337336,22.151596,26.774426,26.12442
12707,63535,23.736116,35.964016,26.129059,30.34093,22.088562,26.890112,26.368286
12907,64535,23.750326,35.964016,26.47271,30.10844,22.260653,26.913227,26.303467
13107,65535,23.752617,35.905857,26.759697,29.4996,22.286966,27.074076,25.907215
13307,66535,23.895475,35.692745,26.976929,29.137152,22.120464,27.273321,25.825344
13507,67535,24.985079,35.68896,27.097294,29.007416,22.19533,27.243668,26.420914
13707,68535,25.022825,35.68896,26.936584,28.804369,22.224125,27.299591,26.746195
13907,69535,25.03643,35.68896,26.786118,28.579033,22.11751,27.453402,26.817225
