time_fs,mode,setpoint_or_current,CIP,SIP,S2IP,FD
1385.000000,CC,0.020000,0.198020,0.034653,0.153465,0.613861
2385.000000,CC,0.020000,0.197115,0.024038,0.269231,0.509615
3385.000000,CC,0.020000,0.211268,0.018779,0.305164,0.464789
4385.000000,CC,0.020000,0.215247,0.013453,0.327354,0.443946
5385.000000,CC,0.020000,0.194805,0.021645,0.354978,0.428571
6385.000000,CC,0.020000,0.181818,0.016529,0.355372,0.446281
7385.000000,CC,0.020000,0.176471,0.035294,0.364706,0.423529
8385.000000,CC,0.020000,0.178707,0.030418,0.368821,0.422053
9385.000000,CC,0.020000,0.178832,0.021898,0.364964,0.434307
10385.000000,CC,0.020000,0.170068,0.034014,0.336735,0.459184
11385.000000,CC,0.020000,0.142857,0.048701,0.295455,0.512987
12385.000000,CC,0.020000,0.135693,0.044248,0.268437,0.551622
13385.000000,CC,0.020000,0.144000,0.032000,0.261333,0.562667
14385.000000,CC,0.020000,0.146766,0.037313,0.231343,0.584577
15385.000000,CC,0.020000,0.142539,0.046771,0.213808,0.596882
16385.000000,CC,0.020000,0.143737,0.032854,0.195072,0.628337
17385.000000,CC,0.020000,0.144762,0.047619,0.161905,0.645714
18385.000000,CC,0.020000,0.138182,0.045455,0.165455,0.650909
19385.000000,CC,0.020000,0.129371,0.038462,0.164336,0.667832
20385.000000,CC,0.020000,0.135400,0.032626,0.146819,0.685155
21385.000000,CC,0.020000,0.147059,0.030960,0.140867,0.681115
22385.000000,CC,0.020000,0.129771,0.041221,0.143511,0.685496
23385.000000,CC,0.020000,0.143511,0.027481,0.138931,0.690076
24385.000000,CC,0.020000,0.146526,0.018127,0.145015,0.690332
25385.000000,CC,0.020000,0.132132,0.025526,0.142643,0.699700
26385.000000,CC,0.020000,0.134529,0.041854,0.149477,0.674141
27385.000000,CC,0.020000,0.135338,0.028571,0.142857,0.693233
28385.000000,CC,0.020000,0.127007,0.029197,0.147445,0.696350
29385.000000,CC,0.020000,0.132653,0.033528,0.145773,0.688047
30385.000000,CC,0.020000,0.124633,0.045455,0.130499,0.699413
31385.000000,CC,0.020000,0.133136,0.038462,0.130178,0.698225
32385.000000,CC,0.020000,0.140089,0.038748,0.132638,0.688525
33385.000000,CC,0.020000,0.126506,0.043675,0.126506,0.703313
34385.000000,CC,0.020000,0.125926,0.026667,0.131852,0.715556
35385.000000,CC,0.020000,0.129032,0.038123,0.126100,0.706745
36385.000000,CC,0.020000,0.128743,0.038922,0.124251,0.708084
37385.000000,CC,0.020000,0.125567,0.028744,0.130106,0.715582
38385.000000,CC,0.020000,0.122781,0.031065,0.131657,0.714497
39385.000000,CC,0.020000,0.127536,0.027536,0.130435,0.714493
40385.000000,CC,0.020000,0.128093,0.034934,0.123726,0.713246
41385.000000,CC,0.020000,0.126285,0.030837,0.120411,0.722467
42385.000000,CC,0.020000,0.120178,0.025223,0.111276,0.743323
43385.000000,CC,0.020000,0.120536,0.023810,0.117560,0.738095
44385.000000,CC,0.020000,0.117470,0.025602,0.111446,0.745482
45385.000000,CC,0.020000,0.120061,0.028875,0.115502,0.735562
46385.000000,CC,0.020000,0.118196,0.024883,0.127527,0.729393
47385.000000,CC,0.020000,0.115031,0.035276,0.122699,0.726994
48385.000000,CC,0.020000,0.113464,0.040847,0.113464,0.732224
49385.000000,CC,0.020000,0.118721,0.031963,0.109589,0.739726
50385.000000,CC,0.020000,0.120690,0.032915,0.111285,0.735110
52425.000000,CC,0.020000,0.117188,0.040625,0.107813,0.734375
53425.000000,CC,0.020000,0.105100,0.034003,0.119011,0.741886
54425.000000,CC,0.020000,0.109718,0.023511,0.126959,0.739812
55425.000000,CC,0.020000,0.109546,0.039124,0.115806,0.735524
56425.000000,CC,0.020000,0.105181,0.023548,0.124019,0.747253
57425.000000,CC,0.020000,0.097638,0.036220,0.119685,0.746457
58425.000000,CC,0.020000,0.088380,0.042553,0.119476,0.749591
59425.000000,CC,0.020000,0.101329,0.023256,0.119601,0.755814
60425.000000,CC,0.020000,0.099502,0.026534,0.122720,0.751244
61425.000000,CC,0.020000,0.093379,0.030560,0.127334,0.748727
62425.000000,CC,0.020000,0.101754,0.026316,0.126316,0.745614
63425.000000,CC,0.020000,0.112523,0.021779,0.125227,0.740472
64425.000000,CC,0.020000,0.109689,0.018282,0.124314,0.747715
65425.000000,CC,0.020000,0.105263,0.022556,0.129699,0.742481
66425.000000,CC,0.020000,0.099624,0.030075,0.129699,0.740601
67425.000000,CC,0.020000,0.095785,0.017241,0.134100,0.752874
