time_fs,mode,setpoint_or_current,CIP,SIP,S2IP,FD
1475.000000,CC,-0.080000,0.153465,0.049505,0.158416,0.638614
2475.000000,CC,-0.080000,0.176190,0.047619,0.223810,0.552381
3475.000000,CC,-0.080000,0.178082,0.027397,0.260274,0.534247
4475.000000,CC,-0.080000,0.181034,0.025862,0.297414,0.495690
5475.000000,CC,-0.080000,0.173554,0.008264,0.305785,0.512397
6475.000000,CC,-0.080000,0.152941,0.039216,0.301961,0.505882
7475.000000,CC,-0.080000,0.151292,0.044280,0.295203,0.509225
8475.000000,CC,-0.080000,0.159609,0.019544,0.286645,0.534202
9475.000000,CC,-0.080000,0.153094,0.016287,0.309446,0.521173
10475.000000,CC,-0.080000,0.163462,0.022436,0.301282,0.512821
11475.000000,CC,-0.080000,0.169753,0.046296,0.265432,0.518519
12475.000000,CC,-0.080000,0.166667,0.043103,0.255747,0.534483
13475.000000,CC,-0.080000,0.168831,0.041558,0.238961,0.550649
14475.000000,CC,-0.080000,0.193955,0.030227,0.249370,0.526448
15475.000000,CC,-0.080000,0.199029,0.036408,0.259709,0.504854
16475.000000,CC,-0.080000,0.192488,0.051643,0.272300,0.483568
17475.000000,CC,-0.080000,0.204846,0.026432,0.233480,0.535242
18475.000000,CC,-0.080000,0.198783,0.050710,0.215010,0.535497
19475.000000,CC,-0.080000,0.187755,0.032653,0.230612,0.548980
20475.000000,CC,-0.080000,0.203219,0.026157,0.241449,0.529175
21475.000000,CC,-0.080000,0.190385,0.030769,0.240385,0.538462
22475.000000,CC,-0.080000,0.188192,0.036900,0.219557,0.555351
23475.000000,CC,-0.080000,0.191304,0.024348,0.220870,0.563478
24475.000000,CC,-0.080000,0.206133,0.015332,0.214651,0.563884
25475.000000,CC,-0.080000,0.200675,0.035413,0.200675,0.563238
26475.000000,CC,-0.080000,0.209302,0.026578,0.200997,0.563123
27475.000000,CC,-0.080000,0.198036,0.018003,0.206219,0.577741
28475.000000,CC,-0.080000,0.198128,0.021841,0.198128,0.581903
29475.000000,CC,-0.080000,0.214062,0.014062,0.195312,0.576563
30475.000000,CC,-0.080000,0.212538,0.018349,0.183486,0.585627
31475.000000,CC,-0.080000,0.217656,0.010654,0.173516,0.598173
32475.000000,CC,-0.080000,0.205580,0.024963,0.162996,0.606461
33475.000000,CC,-0.080000,0.208455,0.017493,0.167638,0.606414
34475.000000,CC,-0.080000,0.215630,0.021708,0.166425,0.596237
35475.000000,CC,-0.080000,0.215407,0.024251,0.152639,0.607703
36475.000000,CC,-0.080000,0.208451,0.029577,0.156338,0.605634
37475.000000,CC,-0.080000,0.209431,0.022191,0.147018,0.621359
38475.000000,CC,-0.080000,0.199176,0.038462,0.149725,0.612637
39475.000000,CC,-0.080000,0.215068,0.027397,0.147945,0.609589
40475.000000,CC,-0.080000,0.213115,0.023224,0.153005,0.610656
41475.000000,CC,-0.080000,0.211796,0.038874,0.147453,0.601877
42475.000000,CC,-0.080000,0.207219,0.034759,0.144385,0.613636
43475.000000,CC,-0.080000,0.212042,0.028796,0.140052,0.619110
44475.000000,CC,-0.080000,0.217219,0.017219,0.143046,0.622517
45475.000000,CC,-0.080000,0.221053,0.017105,0.143421,0.618421
46475.000000,CC,-0.080000,0.213454,0.028461,0.144890,0.613195
47475.000000,CC,-0.080000,0.201531,0.020408,0.151786,0.626276
48475.000000,CC,-0.080000,0.206107,0.015267,0.151399,0.627226
49475.000000,CC,-0.080000,0.214376,0.016393,0.147541,0.621690
50475.000000,CC,-0.080000,0.208861,0.022785,0.150633,0.617721
51475.000000,CC,-0.080000,0.203008,0.025063,0.150376,0.621554
52475.000000,CC,-0.080000,0.202970,0.021040,0.148515,0.627475
53475.000000,CC,-0.080000,0.195244,0.033792,0.155194,0.615770
54475.000000,CC,-0.080000,0.206508,0.013767,0.155194,0.624531
55475.000000,CC,-0.080000,0.205700,0.022305,0.144981,0.627014
56475.000000,CC,-0.080000,0.207858,0.017744,0.154626,0.619772
57475.000000,CC,-0.080000,0.196989,0.016311,0.153074,0.633626
58475.000000,CC,-0.080000,0.185732,0.029520,0.148831,0.635916
59475.000000,CC,-0.080000,0.190887,0.024631,0.153941,0.630542
60475.000000,CC,-0.080000,0.198529,0.029412,0.153186,0.618873
61475.000000,CC,-0.080000,0.202219,0.022195,0.147965,0.627620
62475.000000,CC,-0.080000,0.197561,0.026829,0.140244,0.635366
63475.000000,CC,-0.080000,0.196897,0.032220,0.144391,0.626492
64475.000000,CC,-0.080000,0.204057,0.025060,0.146778,0.624105
65475.000000,CC,-0.080000,0.205282,0.021609,0.148860,0.624250
66475.000000,CC,-0.080000,0.206024,0.019277,0.146988,0.627711
67475.000000,CC,-0.080000,0.197855,0.028605,0.140644,0.632896
68475.000000,CC,-0.080000,0.189474,0.030409,0.143860,0.636257
