frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
196,980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.995633,0.997219,0.995546,0.994924,0.996050,0,0,0,0,0,1602,1568,1566,1543,1542
396,1980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.997650,0.998228,0.996067,0.997076,0.997677,0,0,0,0,0,1472,1463,1550,1480,1492
596,2980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.998772,0.998853,0.996439,0.997586,0.997585,0,0,0,0,0,1399,1513,1455,1427,1426
796,3980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.998284,0.998287,0.997716,0.998869,0.996716,0,0,0,0,0,1518,1521,1521,1538,1597
996,4980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.997768,0.998341,0.996696,0.998903,0.996714,0,0,0,0,0,1562,1578,1586,1593,1596
1196,5980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.997825,0.999457,0.997289,0.998912,0.998372,0,0,0,0,0,1609,1610,1614,1609,1613
1396,6980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.998364,0.999451,0.997268,0.998913,0.998348,0,0,0,0,0,1604,1590,1600,1610,1586
1596,7980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.998352,0.999454,0.997281,0.998913,0.998372,0,0,0,0,0,1590,1600,1609,1610,1613
1796,8980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.998369,0.999455,0.998368,0.999456,0.998371,0,0,0,0,0,1609,1605,1608,1609,1612
1996,9980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.998864,0.999456,0.997284,0.999451,0.998914,0,0,0,0,0,1531,1608,1611,1590,1611
2196,10980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.998874,0.999430,0.997200,0.999439,0.998354,0,0,0,0,0,1547,1523,1556,1551,1593
2396,11980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.998904,0.999451,0.998287,0.999418,0.998297,0,0,0,0,0,1595,1593,1521,1487,1532
2596,12980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.998914,0.999457,0.997828,0.999456,0.998370,0,0,0,0,0,1611,1611,1612,1609,1611
2796,13980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.998912,0.999457,0.997784,0.999437,0.998362,0,0,0,0,0,1608,1611,1575,1547,1602
2996,14980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.998914,0.999457,0.997831,0.999456,0.998361,0,0,0,0,0,1612,1610,1614,1609,1600
3196,15980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.998913,0.999453,0.998369,0.999456,0.998370,0,0,0,0,0,1610,1598,1609,1609,1611
3396,16980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.998910,0.999457,0.998370,0.999456,0.998370,0,0,0,0,0,1605,1611,1610,1609,1611
3596,17980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.999437,0.999448,0.998332,0.999429,0.998328,0,0,0,0,0,1547,1580,1569,1522,1564
3796,18980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,0.999447,0.998366,0.999448,0.998911,0,0,0,0,0,1533,1579,1606,1582,1607
3996,19980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.999457,0.999457,0.998366,0.999455,0.998912,0,0,0,0,0,1611,1611,1606,1606,1609
4196,20980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.999452,0.999457,0.998365,0.999456,0.998910,0,0,0,0,0,1596,1611,1605,1609,1605
4396,21980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.999439,0.999432,0.998339,0.999436,0.998873,0,0,0,0,0,1553,1531,1576,1544,1545
4596,22980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,0.999457,0.998367,0.999452,0.998905,0,0,0,0,0,1610,1611,1607,1594,1597
4796,23980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.999457,1.000000,0.998369,0.999456,0.998911,0,0,0,0,0,1610,1603,1609,1609,1607
4996,24980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.999455,1.000000,0.998372,0.999456,0.998912,0,0,0,0,0,1605,1610,1613,1609,1608
5196,25980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.999457,1.000000,0.998370,0.999456,0.998912,0,0,0,0,0,1611,1610,1610,1609,1608
5396,26980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,1.000000,0.998330,0.999432,0.998819,0,0,0,0,0,1554,1595,1566,1532,1463
5596,27980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,1.000000,0.998371,0.999456,0.998912,0,0,0,0,0,1601,1610,1612,1609,1609
5796,28980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,1.000000,0.998345,0.999456,0.998914,0,0,0,0,0,1576,1538,1583,1609,1611
5996,29980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,1.000000,0.998358,1.000000,0.998914,0,0,0,0,0,1603,1599,1597,1586,1611
6196,30980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,1.000000,0.998371,0.999456,0.998914,0,0,0,0,0,1610,1610,1612,1609,1611
6396,31980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,1.000000,0.999447,0.999447,0.998814,0,0,0,0,0,1555,1523,1577,1578,1457
6596,32980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,1.000000,1.000000,0.999441,0.999454,0,0,0,0,0,1548,1530,1545,1558,1601
6796,33980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,1.000000,0.999415,0.999435,0.999435,0,0,0,0,0,1524,1492,1479,1541,1539
6996,34980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,1.000000,0.999404,0.999433,0.999417,0,0,0,0,0,1390,1446,1448,1535,1486
7196,35980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,1.000000,0.999432,0.999438,0.999447,0,0,0,0,0,1483,1513,1532,1549,1578
7396,36980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,1.000000,0.999427,0.999443,0.999440,0,0,0,0,0,1470,1483,1516,1564,1555
7596,37980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,1.000000,0.999387,1.000000,0.999399,0,0,0,0,0,1277,1319,1402,1558,1434
7796,38980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,1.000000,0.999435,0.999434,0.999423,0,0,0,0,0,1530,1552,1541,1538,1502
7996,39980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,1.000000,0.999435,0.999444,0.999446,0,0,0,0,0,1581,1576,1539,1569,1575
8196,40980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,1.000000,0.999400,0.999427,0.999434,0,0,0,0,0,1434,1363,1437,1515,1537
8396,41980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,1.000000,1.000000,0.999435,1.000000,0,0,0,0,0,1365,1314,1432,1541,1508
8596,42980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,1.000000,0.999456,0.999439,0.999452,0,0,0,0,0,1579,1610,1607,1551,1595
8796,43980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,1.000000,0.999454,0.999455,0.999453,0,0,0,0,0,1607,1567,1603,1605,1597
8996,44980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,1.000000,0.999457,0.999454,0.999452,0,0,0,0,0,1602,1596,1610,1602,1594
9196,45980,CC,CC,CC,CC,CC,0.000000,-0.000000,0.000000,-0.000000,0.000000,1.000000,1.000000,0.999450,0.999450,0.999454,0,0,0,0,0,1610,1608,1588,1589,1600
