frame,time_fs,Foil3_Ybin1_edge,Foil3_Ybin2_edge,Foil3_Ybin3_edge,Foil3_Ybin4_edge,Foil3_Ybin5_edge,Foil3_Ybin6_edge,Foil3_Ybin7_edge
196,980,22.48603,22.883406,26.262182,24.79981,23.839949,22.885986,22.6492
396,1980,23.142063,23.449108,26.56773,25.14222,25.134111,23.753027,23.763649
596,2980,23.157476,23.473394,26.57602,25.154396,25.131016,23.763527,23.78209
796,3980,23.161823,23.4353,26.512556,25.25209,25.037573,23.656065,23.782564
996,4980,23.060291,23.442125,26.579935,25.27504,25.069983,23.696047,23.791103
1196,5980,23.056456,23.48796,26.582212,25.27384,24.837885,23.625025,23.767706
1396,6980,23.064777,23.458776,26.583254,25.27523,24.839163,23.755749,23.618267
1596,7980,23.064638,23.29115,26.583582,25.248808,24.860128,23.761312,23.326181
1796,8980,23.068813,23.295807,26.584179,25.248426,24.86875,23.650797,22.945503
1996,9980,22.997156,23.326532,26.584454,25.24838,24.864012,23.408709,22.751345
2196,10980,23.0103,23.382736,26.471151,25.2379,24.778967,23.13491,22.684256
2396,11980,23.081654,23.386122,26.335007,25.26764,24.7395,22.988663,22.546116
2596,12980,23.15398,23.360504,26.284727,25.262218,24.708138,22.921974,22.631361
2796,13980,23.281183,23.36025,26.120365,25.261507,24.697071,22.906193,22.801783
2996,14980,23.234652,23.359896,26.19399,25.258295,24.728989,22.899536,22.842503
3196,15980,23.108116,23.359629,26.322895,25.257517,24.752073,22.886255,22.846275
3396,16980,23.076212,23.36295,26.180454,25.231443,24.759695,22.950556,22.829971
3596,17980,23.098999,23.389162,26.138582,25.204618,24.796057,22.982866,22.830095
3796,18980,23.101263,23.21562,25.668787,25.202967,24.745869,22.996134,22.830126
3996,19980,23.120241,23.09658,25.158825,25.203253,24.729366,22.963717,22.81705
4196,20980,23.254536,23.11549,24.843494,25.202286,24.713152,23.12558,22.810957
4396,21980,23.271433,23.139229,24.843494,25.205719,24.710993,23.19968,22.811285
4596,22980,23.28278,23.153559,24.843494,25.203882,24.768028,23.480612,22.815008
4796,23980,23.284075,23.051506,24.843494,25.200558,24.82295,23.634867,22.817099
4996,24980,23.257929,22.94136,24.84342,25.200005,24.834656,23.681454,22.815466
5196,25980,23.184317,22.930714,24.843039,25.199507,24.819931,23.675915,22.81523
5396,26980,23.184883,22.936718,24.84285,25.196533,24.825369,23.631222,22.813408
5596,27980,23.187336,22.946486,24.84285,25.191631,24.827286,23.629787,22.77209
5796,28980,23.188177,22.952494,24.84285,25.19494,24.831665,23.59979,22.774422
