time_fs,mode,setpoint_or_current,CIP,SIP,S2IP,FD
1910.000000,CC,0.000000,0.139175,0.051546,0.164948,0.644330
2910.000000,CC,0.000000,0.178218,0.034653,0.222772,0.564356
3910.000000,CC,0.000000,0.183168,0.019802,0.272277,0.524752
4910.000000,CC,0.000000,0.166667,0.019608,0.323529,0.490196
5910.000000,CC,0.000000,0.157895,0.023923,0.349282,0.468900
6910.000000,CC,0.000000,0.152381,0.014286,0.390476,0.442857
7910.000000,CC,0.000000,0.147619,0.000000,0.433333,0.419048
8910.000000,CC,0.000000,0.140187,0.014019,0.439252,0.406542
9910.000000,CC,0.000000,0.140187,0.004673,0.462617,0.392523
10910.000000,CC,0.000000,0.135514,0.004673,0.490654,0.369159
11910.000000,CC,0.000000,0.134884,0.000000,0.497674,0.367442
12910.000000,CC,0.000000,0.130233,0.000000,0.511628,0.358140
13910.000000,CC,0.000000,0.126168,0.000000,0.532710,0.341121
14910.000000,CC,0.000000,0.126168,0.004673,0.528037,0.341121
15910.000000,CC,0.000000,0.121495,0.000000,0.546729,0.331776
16910.000000,CC,0.000000,0.120930,0.000000,0.548837,0.330233
17910.000000,CC,0.000000,0.119816,0.000000,0.552995,0.327189
18910.000000,CC,0.000000,0.124424,0.000000,0.557604,0.317972
19910.000000,CC,0.000000,0.124424,0.000000,0.562212,0.313364
20910.000000,CC,0.000000,0.124424,0.000000,0.562212,0.313364
21910.000000,CC,0.000000,0.119816,0.004608,0.562212,0.313364
22910.000000,CC,0.000000,0.124424,0.000000,0.566820,0.308756
23910.000000,CC,0.000000,0.123853,0.000000,0.568807,0.307339
24910.000000,CC,0.000000,0.123853,0.000000,0.573394,0.302752
25910.000000,CC,0.000000,0.123853,0.004587,0.573394,0.298165
26910.000000,CC,0.000000,0.118721,0.000000,0.584475,0.296804
27910.000000,CC,0.000000,0.118721,0.000000,0.589041,0.292237
28910.000000,CC,0.000000,0.118721,0.000000,0.584475,0.296804
29910.000000,CC,0.000000,0.118721,0.000000,0.593607,0.287671
30910.000000,CC,0.000000,0.118182,0.000000,0.595455,0.286364
31910.000000,CC,0.000000,0.117117,0.013514,0.594595,0.274775
32910.000000,CC,0.000000,0.121622,0.009009,0.594595,0.274775
33910.000000,CC,0.000000,0.130631,0.000000,0.594595,0.274775
34910.000000,CC,0.000000,0.126126,0.000000,0.599099,0.274775
35910.000000,CC,0.000000,0.126126,0.000000,0.594595,0.279279
36910.000000,CC,0.000000,0.117117,0.004505,0.608108,0.270270
37910.000000,CC,0.000000,0.121622,0.000000,0.617117,0.261261
38910.000000,CC,0.000000,0.121622,0.000000,0.617117,0.261261
39910.000000,CC,0.000000,0.117117,0.004505,0.621622,0.256757
40910.000000,CC,0.000000,0.112613,0.000000,0.635135,0.252252
41910.000000,CC,0.000000,0.112613,0.004505,0.639640,0.243243
42910.000000,CC,0.000000,0.112613,0.000000,0.644144,0.243243
43910.000000,CC,0.000000,0.108108,0.000000,0.653153,0.238739
44910.000000,CC,0.000000,0.108108,0.000000,0.657658,0.234234
45910.000000,CC,0.000000,0.103604,0.000000,0.666667,0.229730
46910.000000,CC,0.000000,0.099099,0.000000,0.680180,0.220721
47910.000000,CC,0.000000,0.099099,0.004505,0.680180,0.216216
48910.000000,CC,0.000000,0.099099,0.004505,0.675676,0.220721
49910.000000,CC,0.000000,0.099099,0.000000,0.680180,0.220721
50910.000000,CC,0.000000,0.098655,0.004484,0.681614,0.215247
51910.000000,CC,0.000000,0.089686,0.004484,0.686099,0.219731
52910.000000,CC,0.000000,0.085202,0.004484,0.690583,0.219731
53910.000000,CC,0.000000,0.085202,0.000000,0.690583,0.224215
54910.000000,CC,0.000000,0.085202,0.000000,0.686099,0.228700
55910.000000,CC,0.000000,0.085202,0.000000,0.690583,0.224215
56910.000000,CC,0.000000,0.085202,0.000000,0.695067,0.219731
57910.000000,CC,0.000000,0.085202,0.000000,0.704036,0.210762
58910.000000,CC,0.000000,0.085202,0.000000,0.699552,0.215247
59910.000000,CC,0.000000,0.085202,0.000000,0.699552,0.215247
60910.000000,CC,0.000000,0.085202,0.000000,0.699552,0.215247
61910.000000,CC,0.000000,0.085202,0.000000,0.708520,0.206278
62910.000000,CC,0.000000,0.085202,0.000000,0.717489,0.197309
63910.000000,CC,0.000000,0.085202,0.000000,0.717489,0.197309
64910.000000,CC,0.000000,0.085202,0.000000,0.721973,0.192825
65910.000000,CC,0.000000,0.085202,0.000000,0.721973,0.192825
66910.000000,CC,0.000000,0.085202,0.000000,0.726457,0.188341
67910.000000,CC,0.000000,0.075893,0.000000,0.732143,0.191964
68910.000000,CC,0.000000,0.076233,0.000000,0.744395,0.179372
69910.000000,CC,0.000000,0.076233,0.000000,0.748879,0.174888
70910.000000,CC,0.000000,0.071749,0.000000,0.753363,0.174888
71910.000000,CC,0.000000,0.062780,0.000000,0.762332,0.174888
72910.000000,CC,0.000000,0.062780,0.000000,0.762332,0.174888
73910.000000,CC,0.000000,0.062780,0.000000,0.762332,0.174888
74910.000000,CC,0.000000,0.062780,0.000000,0.766816,0.170404
75910.000000,CC,0.000000,0.062780,0.000000,0.766816,0.170404
76910.000000,CC,0.000000,0.062500,0.004464,0.763393,0.169643
77910.000000,CC,0.000000,0.062500,0.000000,0.767857,0.169643
78910.000000,CC,0.000000,0.062500,0.000000,0.767857,0.169643
79910.000000,CC,0.000000,0.058036,0.004464,0.767857,0.169643
80910.000000,CC,0.000000,0.058036,0.000000,0.772321,0.169643
81910.000000,CC,0.000000,0.058036,0.000000,0.763393,0.178571
82910.000000,CC,0.000000,0.058036,0.000000,0.776786,0.165179
83910.000000,CC,0.000000,0.058036,0.000000,0.781250,0.160714
84910.000000,CC,0.000000,0.058036,0.000000,0.785714,0.156250
85910.000000,CC,0.000000,0.058036,0.004464,0.781250,0.156250
86910.000000,CC,0.000000,0.058036,0.004464,0.772321,0.165179
87910.000000,CC,0.000000,0.058036,0.000000,0.785714,0.156250
88910.000000,CC,0.000000,0.058036,0.000000,0.790179,0.151786
89910.000000,CC,0.000000,0.053571,0.004464,0.785714,0.156250
90910.000000,CC,0.000000,0.058036,0.000000,0.776786,0.165179
91910.000000,CC,0.000000,0.058036,0.000000,0.776786,0.165179
92910.000000,CC,0.000000,0.058036,0.000000,0.781250,0.160714
93910.000000,CC,0.000000,0.057778,0.000000,0.777778,0.164444
94910.000000,CC,0.000000,0.058036,0.000000,0.781250,0.160714
95910.000000,CC,0.000000,0.058036,0.000000,0.781250,0.160714
96910.000000,CC,0.000000,0.058036,0.000000,0.785714,0.156250
97910.000000,CC,0.000000,0.053571,0.000000,0.790179,0.156250
98910.000000,CC,0.000000,0.053571,0.000000,0.790179,0.156250
99910.000000,CC,0.000000,0.049107,0.000000,0.799107,0.151786
100910.000000,CC,0.000000,0.049107,0.000000,0.803571,0.147321
101910.000000,CC,0.000000,0.049107,0.000000,0.803571,0.147321
102910.000000,CC,0.000000,0.049107,0.000000,0.799107,0.151786
103910.000000,CC,0.000000,0.049107,0.000000,0.803571,0.147321
104910.000000,CC,0.000000,0.049107,0.008929,0.794643,0.147321
105910.000000,CC,0.000000,0.049107,0.000000,0.799107,0.151786
106910.000000,CC,0.000000,0.049107,0.000000,0.799107,0.151786
