frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
198,990,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,0.997551,0.996013,0.995644,0.996000,0.998008,0,0,0,0,0,995,1275,1377,1520,1276
398,1990,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.010423,0.978863,1.006186,0.977199,1.010409,30,-40,23,-40,28,1305,1142,1225,1305,1211
598,2990,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.025137,0.962452,1.013930,0.965843,1.022820,28,-40,29,-40,23,1043,1075,1134,1146,997
798,3990,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.037551,0.938170,1.029613,0.947197,1.037630,27,-40,26,-40,30,995,983,1087,1001,1019
998,4990,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.046937,0.927128,1.043847,0.929339,1.050614,24,-40,28,-40,31,1027,1156,1184,1072,1074
1198,5990,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.063830,0.907658,1.066161,0.911929,1.070961,24,-40,30,-40,29,1556,1546,1614,1564,1602
1398,6990,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.076043,0.898742,1.078354,0.897615,1.090234,24,-40,26,-40,30,1519,1439,1544,1489,1521
1598,7990,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.084507,0.893563,1.087990,0.884462,1.092637,32,-40,31,-40,24,1261,1339,1327,1276,1454
1798,8990,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.109323,0.869616,1.107301,0.872979,1.111354,32,-40,28,-40,26,1572,1488,1578,1502,1602
1998,9990,CC,CC,CC,CC,CC,0.040000,-0.040000,0.040000,-0.040000,0.040000,1.116294,0.863490,1.121648,0.880973,1.113726,31,-40,33,-40,27,1335,1323,1299,921,1045
