frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
73,365,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.995572,0.997558,0.994674,0.993622,0.993429,0,0,0,0,0,1125,1408,1272,1338,1444
273,1365,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.999454,0.978249,1.014642,0.998915,0.998905,8,-40,40,9,9,1602,1563,1614,1614,1597
473,2365,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.000000,0.958402,1.035753,1.000000,1.000000,1,-40,40,2,2,1617,1597,1616,1616,1621
673,3365,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.000000,0.938708,1.057860,1.000000,1.000553,-1,-40,40,0,0,1617,1581,1602,1619,1578
873,4365,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.000000,0.920461,1.079176,0.999451,1.000000,0,-40,41,0,-1,1616,1593,1614,1592,1619
1073,5365,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.000000,0.904079,1.099784,1.000540,1.000541,0,-37,39,0,0,1618,1584,1624,1620,1619
1273,6365,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.010989,0.994441,1.010793,0.981040,1.011905,20,158,-165,-40,20,1590,1569,1623,1616,1618
1473,7365,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.021657,0.999447,1.000000,0.967195,1.022186,20,11,-19,-39,20,1617,1579,1613,1599,1618
1673,8365,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.033009,1.000552,1.000000,0.949779,1.033532,21,1,-2,-41,21,1618,1582,1621,1582,1619
1873,9365,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.044420,1.000000,1.000543,0.931579,1.044913,21,0,0,-40,21,1616,1581,1610,1480,1618
2073,10365,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.054802,1.000000,1.001082,0.913019,1.054318,20,0,0,-39,18,1613,1573,1619,1575,1611
2273,11365,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.006152,1.000000,1.022926,0.892521,1.004883,-91,-2,41,-40,-93,1558,1559,1602,1575,1613
2473,12365,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.001083,1.000553,1.045946,0.878144,1.001089,-10,0,42,-40,-10,1616,1580,1620,1559,1607
2673,13365,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.000000,1.000000,1.069399,0.867882,1.000553,-3,-1,46,-40,-3,1540,1535,1600,1526,1578
2873,14365,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.000000,1.000000,1.091842,0.857555,0.998887,0,0,40,-40,-1,1591,1580,1621,1504,1567
3073,15365,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.000000,0.999448,1.111532,0.857479,1.000543,0,-1,42,-36,2,1614,1580,1617,1468,1612
3273,16365,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.010491,0.979364,1.009382,0.987879,1.007861,21,-40,-189,220,19,1581,1563,1582,1420,1551
3473,17365,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.021668,0.960022,1.000543,0.998240,1.022826,19,-40,-20,27,21,1616,1571,1613,1475,1610
3673,18365,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.028818,0.940723,0.998844,1.001288,1.033822,20,-40,-1,7,21,1505,1457,1500,1323,1544
3873,19365,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.040932,0.921082,1.000544,1.001174,1.045035,20,-40,0,1,20,1529,1544,1607,1473,1613
4073,20365,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.048206,0.905422,1.000561,1.000586,1.054157,19,-39,1,-1,20,1554,1430,1554,1476,1598
4273,21365,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.005965,0.885940,1.020652,0.999394,1.005975,-90,-41,41,0,-93,1614,1541,1610,1420,1611
4473,22365,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.998848,0.869644,1.041595,1.000623,1.000564,-15,-40,43,1,-9,1506,1427,1501,1375,1543
4673,23365,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.000552,0.861665,1.066921,1.000000,1.000000,-1,-40,45,0,-2,1582,1476,1608,1478,1601
4873,24365,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.000000,0.852488,1.092783,1.000606,1.000554,-2,-40,47,0,-1,1605,1458,1613,1419,1574
5073,25365,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,0.998496,0.855570,1.108612,0.999414,1.000546,2,-36,43,-2,-1,1100,1314,1593,1476,1602
5273,26365,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.014184,0.989747,1.009140,0.976567,1.011469,21,229,-188,-40,21,1603,1428,1630,1477,1601
5473,27365,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.025082,0.997595,0.999462,0.959196,1.020799,20,21,-17,-41,21,1604,1433,1628,1461,1597
5673,28365,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.036848,1.001258,1.000000,0.942789,1.032348,23,4,2,-40,21,1534,1360,1583,1448,1563
5873,29365,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.042553,1.000000,0.999406,0.925466,1.035562,20,-1,0,-39,21,1462,1257,1453,1219,1176
6073,30365,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.051977,0.997508,1.000566,0.906875,1.054885,20,2,1,-41,21,1540,1375,1537,1370,1592
6273,31365,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.006601,1.000000,1.022605,0.884779,1.006550,-92,2,41,-40,-93,1588,1434,1628,1419,1602
6473,32365,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.001103,0.998780,1.041621,0.869753,1.002814,-12,1,42,-40,-12,1583,1410,1596,1390,1547
6673,33365,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,0.998886,0.998744,1.059877,0.857421,0.994246,-1,-1,42,-40,0,1565,1362,1557,1313,1508
6873,34365,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.000000,1.001217,1.082424,0.836735,0.998332,0,2,47,-40,0,1601,1414,1602,1338,1569
