frame,time_fs,Foil3_Ybin1_edge,Foil3_Ybin2_edge,Foil3_Ybin3_edge,Foil3_Ybin4_edge,Foil3_Ybin5_edge,Foil3_Ybin6_edge,Foil3_Ybin7_edge
198,990,22.199116,22.13772,22.196218,23.996777,24.6579,23.422915,22.64177
398,1990,23.48972,23.8353,23.84318,24.531225,27.45936,23.97272,24.685778
598,2990,23.572369,23.866076,23.839174,24.536564,26.873419,24.010517,24.529728
798,3990,23.708776,23.83389,23.82919,24.605614,26.44496,24.054459,24.0798
998,4990,24.003407,23.835682,23.626997,24.69436,26.078316,24.070404,24.089052
1198,5990,23.918806,23.838432,23.31811,24.51018,25.561583,23.74607,24.80869
1398,6990,23.959307,23.852968,23.042528,24.493982,25.149017,23.679218,25.274734
1598,7990,23.996664,23.907904,23.018526,22.538294,24.72212,23.844122,25.355734
1798,8990,23.789799,24.11972,22.84531,22.365551,24.413786,24.033604,25.611206
1998,9990,23.973341,24.362547,22.55535,22.122646,24.198374,23.799952,25.41984
2198,10990,24.172386,24.399288,22.599783,21.9638,23.989002,24.083565,22.879734
2398,11990,24.213009,23.853245,22.119667,22.441257,23.882746,24.278059,22.729977
2598,12990,24.076702,23.788021,20.619282,22.200466,23.970726,23.811607,23.914873
2798,13990,24.189844,24.557377,19.94832,22.165483,23.824461,23.242832,24.15797
2998,14990,24.911167,24.889042,32.123928,22.938988,23.728336,22.474026,25.201517
3198,15990,23.582195,24.187237,33.677456,26.018475,26.903013,22.195154,25.034584
3398,16990,23.24822,24.343552,33.258423,33.3798,26.353394,23.243042,24.724857
3598,17990,22.79793,24.722654,50.44818,36.51901,47.752876,22.628561,21.58593
3798,18990,22.62018,24.627737,39.87275,36.978317,48.495445,23.887947,26.647455
3998,19990,22.919075,24.358904,55.117077,62.92507,24.49737,26.745838,33.54012
4198,20990,23.642237,23.533564,58.131145,66.16891,24.3467,27.544466,35.088524
4398,21990,24.343641,25.124199,67.40144,35.734253,24.265127,30.296358,35.432285
4598,22990,24.410633,27.658623,42.827225,35.625275,24.187994,30.019102,54.196224
4798,23990,24.24422,22.475527,43.566868,35.2316,24.140074,33.170357,55.271255
4998,24990,26.420664,27.240902,43.212254,35.095634,25.13524,30.343157,58.339184
5198,25990,33.039036,27.371084,68.74224,35.017097,25.031052,30.28642,60.58294
5398,26990,28.84564,31.587128,69.30707,66.71901,24.969315,40.74506,38.64226
5598,27990,41.70343,31.312954,68.74155,66.71901,25.068224,25.336367,39.066624
5798,28990,48.390736,24.574495,68.738434,42.633743,33.171314,35.23144,67.033005
5998,29990,30.726482,24.279156,47.80928,67.34381,67.93746,35.35126,48.697197
6198,30990,31.978197,24.197937,68.83555,67.11465,67.93746,34.76758,68.920746
6398,31990,35.12024,24.140743,48.59435,67.77572,67.93746,34.698574,68.93687
6598,32990,37.155758,23.682123,27.34664,68.04635,67.937706,40.458374,38.142673
6798,33990,61.988758,28.185877,28.248455,68.120605,67.94208,64.17664,69.07733
6998,34990,35.818577,29.480125,28.406096,69.01644,67.986015,65.73463,69.080795
7198,35990,61.988758,35.0011,28.31956,69.1713,68.23742,66.17923,68.43964
7398,36990,38.511005,35.1325,28.356085,69.19379,68.678696,68.97855,69.116
7598,37990,60.78512,34.86908,28.415022,50.080162,23.687239,68.91018,68.5704
7798,38990,67.234985,34.215405,69.11021,67.94389,23.827868,69.05135,68.7629
7998,39990,67.68168,30.468266,30.826433,51.873177,23.602755,69.50016,69.45772
8198,40990,35.508095,46.413147,69.35265,68.15154,23.59024,69.092445,69.228645
8398,41990,67.9546,51.784206,69.429825,68.85532,23.32772,69.05552,69.532616
8598,42990,36.864643,33.836533,31.743362,55.5451,30.218382,69.334854,68.645836
8798,43990,40.469597,48.67288,69.495865,69.407295,69.12878,69.42434,69.1267
8998,44990,36.85447,50.13821,33.00845,53.04427,50.404037,56.750435,52.588036
9198,45990,68.52337,61.13736,33.437767,54.519184,52.260452,60.17228,37.56912
9398,46990,45.25496,49.4657,37.17882,54.83113,53.903225,61.744366,53.150326
9598,47990,68.64812,30.74571,68.6738,69.03646,61.012226,69.03374,69.11816
9798,48990,68.816124,69.33136,68.669014,68.69108,67.28493,61.774464,58.913277
9998,49990,68.94931,68.65137,41.192398,46.79142,67.3741,63.46944,43.27174
10198,50990,69.122955,68.823555,42.6114,46.19965,67.43281,69.21866,69.28156
10398,51990,69.21916,69.135956,43.33277,47.29977,67.53304,68.909096,68.92423
10598,52990,69.5198,69.48384,54.372528,51.346012,67.60155,68.882,69.398476
10798,53990,69.25664,69.11482,54.44376,54.99317,67.61974,69.53028,69.32505
10998,54990,69.07109,69.4938,69.13485,68.91665,68.115974,69.42065,69.35569
11198,55990,69.26993,68.71071,54.65554,57.29832,55.116962,32.129745,57.003212
