frame,time_fs,Foil3_Ybin1_edge,Foil3_Ybin2_edge,Foil3_Ybin3_edge,Foil3_Ybin4_edge,Foil3_Ybin5_edge,Foil3_Ybin6_edge,Foil3_Ybin7_edge
56,280,22.136517,22.252378,22.263182,22.176632,22.148388,22.247082,22.124884
256,1280,23.554173,23.124771,23.07578,23.683397,23.071178,23.740667,23.033562
456,2280,23.59581,23.051065,23.05698,23.780546,23.366991,23.706488,23.211023
656,3280,23.410782,23.010313,22.991224,23.92775,23.425238,23.512094,23.239601
856,4280,23.426964,22.947598,23.077816,24.04045,23.310926,23.32128,23.333393
1056,5280,23.455742,22.97592,23.215023,24.079529,23.145777,23.236416,23.294205
1256,6280,23.747755,23.049732,23.141792,23.583925,23.34444,23.284346,23.378
1456,7280,24.011728,23.169699,23.133331,23.319025,23.12569,23.451117,23.32366
1656,8280,24.47668,23.221533,23.159477,22.984562,23.06477,23.595383,23.097887
1856,9280,24.694248,23.241537,23.275578,23.048145,23.111391,23.863447,23.547733
2056,10280,24.723259,23.42302,23.375854,23.024403,23.868622,24.291285,24.869059
2256,11280,24.630371,23.170982,23.399473,22.930784,24.05134,24.552614,25.199322
2456,12280,24.656935,23.210415,23.404945,22.933432,24.13342,24.66328,25.198374
2656,13280,24.661758,23.21296,23.416851,22.93188,24.13665,24.666384,25.251812
2856,14280,24.828226,23.213808,23.411892,22.931713,24.13134,24.683998,25.245945
3056,15280,24.79892,23.21985,23.413427,22.931576,24.133852,24.713776,25.275787
3256,16280,24.93328,23.235619,23.305153,22.931194,24.128109,24.704372,25.275791
3456,17280,24.614473,23.207659,23.291817,22.827887,24.139296,24.709826,25.073914
3656,18280,24.301168,23.178797,23.27673,22.8106,24.068981,24.707134,24.867538
3856,19280,24.282055,22.776958,23.317822,22.717968,23.63204,24.322062,24.623846
4056,20280,24.587355,22.563686,23.040134,22.585741,23.057518,23.767698,24.463694
4256,21280,23.937902,22.114264,22.622538,22.062477,22.655613,23.199547,24.52078
4456,22280,22.955265,21.68779,22.358505,22.20669,21.981699,22.82228,24.12636
4656,23280,26.057693,21.270191,22.798792,22.352652,21.96637,22.643908,24.008587
4856,24280,28.206812,20.832796,22.17931,22.62585,21.913256,22.475668,23.912306
5056,25280,27.744123,19.712349,21.420542,22.396204,21.504564,27.25368,23.533802
5256,26280,29.257277,19.438261,20.882275,23.61486,25.446877,38.46386,23.118723
5456,27280,33.546265,19.282856,20.752556,27.410965,20.189114,40.103115,23.086939
5656,28280,35.18738,19.080254,20.358562,25.395798,25.02373,39.78031,22.80873
5856,29280,58.93449,18.986353,20.00209,34.75213,42.33982,65.50895,22.160692
6056,30280,47.35847,18.810389,19.625542,33.625816,43.76852,65.64459,22.041752
6256,31280,58.987072,19.586037,20.171429,35.89826,44.53175,37.782047,25.38754
6456,32280,60.063908,20.699228,20.828018,37.015015,45.097923,66.92907,24.656858
6656,33280,60.064426,21.439272,21.310425,37.784492,45.7149,67.19139,23.340637
6856,34280,26.423939,22.162275,21.812239,38.736153,45.9514,67.58724,28.833422
7056,35280,26.602833,22.781406,21.760633,39.269875,45.9514,37.176308,29.117579
7256,36280,27.07756,23.127792,22.085642,39.73155,45.9514,37.12435,29.340237
7456,37280,27.21399,23.272856,22.386541,40.434353,45.9514,37.03774,29.430407
7656,38280,27.329153,23.330498,22.565428,40.718624,45.9514,37.030815,27.507612
7856,39280,27.320515,23.347605,22.576265,41.326286,31.256527,36.681927,27.12616
8056,40280,27.25982,23.353853,22.584015,42.46867,46.67614,37.968956,27.810213
8256,41280,27.264267,23.358719,22.589054,38.510624,46.772457,37.968956,26.997416
8456,42280,27.250675,23.360657,22.570137,38.502777,46.772457,37.968956,28.097921
8656,43280,27.219652,23.360481,22.57343,38.502537,46.772457,37.929466,28.511513
8856,44280,27.269543,23.30677,22.721373,38.241802,46.772457,37.968018,28.249655
9056,45280,27.40565,23.195835,22.772093,38.35464,31.50686,37.98343,28.400934
9256,46280,27.871557,23.16704,23.025959,38.367275,31.853851,38.013054,28.742167
9456,47280,28.281673,23.177681,23.170677,38.237865,32.1128,38.013054,29.19089
9656,48280,46.93017,23.26286,23.241346,38.172993,32.2176,38.08404,29.58637
9856,49280,47.67364,23.111382,22.771454,38.22298,32.393562,38.33339,32.40548
10056,50280,48.32501,23.023438,22.781544,38.347046,32.612885,38.380444,32.42909
10256,51280,49.119366,22.9926,22.901764,38.482586,32.902264,38.42211,32.55309
10456,52280,49.20997,23.064983,22.90311,38.632988,32.98158,38.446873,32.615505
10656,53280,49.382298,23.09847,22.9033,38.645115,33.03441,38.347145,32.733982
10856,54280,49.578716,23.031952,22.903334,38.726498,32.859444,38.189297,32.845657
11056,55280,49.80943,22.934889,22.904772,38.87408,32.690266,37.72567,32.979927
11256,56280,49.831882,22.80588,22.80497,40.72246,32.534863,37.520363,33.023975
11456,57280,50.011444,22.638075,23.121101,39.57591,32.295094,37.643383,33.154327
11656,58280,49.936943,22.609522,22.714281,43.343678,32.033886,39.42699,33.20765
11856,59280,49.584705,22.707336,22.339302,42.657154,31.74801,39.044064,30.543528
12056,60280,49.20245,22.810379,21.970757,42.31576,31.23817,39.507084,33.25695
12256,61280,33.436085,22.659456,21.768465,42.172142,31.11448,38.80818,33.31824
12456,62280,59.769318,22.659134,21.328997,42.03013,30.130957,38.18049,34.182068
12656,63280,32.631912,22.967594,20.900906,44.35447,30.5354,42.159195,38.63531
12856,64280,61.289463,23.104275,20.714659,40.58367,27.391111,38.90173,43.3729
13056,65280,67.25937,21.558365,20.904041,60.019707,52.8284,39.31656,43.919903
13256,66280,47.44259,23.14259,23.579746,36.878098,28.204277,40.770332,45.205833
13456,67280,50.10625,29.742178,24.49716,62.5678,54.305508,51.470154,46.459846
13656,68280,53.80537,43.685028,25.296074,65.0752,54.861942,56.44937,41.067722
13856,69280,68.99457,42.152626,31.780258,67.59144,54.909794,68.61028,53.772568
14056,70280,54.926594,43.807636,33.74648,69.1803,63.286488,68.58608,34.367393
