time_fs,mode,setpoint_or_current,CIP,SIP,S2IP,FD
1980.000000,CC,0.040000,0.185000,0.060000,0.170000,0.585000
2980.000000,CC,0.040000,0.201835,0.041284,0.224771,0.532110
3980.000000,CC,0.040000,0.222222,0.038462,0.260684,0.478632
4980.000000,CC,0.040000,0.198381,0.056680,0.251012,0.493927
5980.000000,CC,0.040000,0.197026,0.040892,0.245353,0.516729
6980.000000,CC,0.040000,0.198675,0.046358,0.218543,0.536424
7980.000000,CC,0.040000,0.185629,0.062874,0.188623,0.562874
8980.000000,CC,0.040000,0.183784,0.043243,0.162162,0.610811
9980.000000,CC,0.040000,0.166276,0.060890,0.131148,0.641686
10980.000000,CC,0.040000,0.159751,0.072614,0.105809,0.661826
11980.000000,CC,0.040000,0.143389,0.087523,0.098696,0.670391
12980.000000,CC,0.040000,0.157534,0.046233,0.097603,0.698630
13980.000000,CC,0.040000,0.148026,0.067434,0.087171,0.697368
14980.000000,CC,0.040000,0.149444,0.054054,0.090620,0.705882
15980.000000,CC,0.040000,0.134783,0.059420,0.098551,0.707246
16980.000000,CC,0.040000,0.128895,0.066572,0.086402,0.718130
17980.000000,CC,0.040000,0.143654,0.039052,0.089261,0.728033
18980.000000,CC,0.040000,0.136232,0.046377,0.088406,0.728985
19980.000000,CC,0.040000,0.134307,0.046715,0.087591,0.731387
20980.000000,CC,0.040000,0.130986,0.057746,0.094366,0.716901
21980.000000,CC,0.040000,0.112676,0.059155,0.088732,0.739437
22980.000000,CC,0.040000,0.119883,0.039474,0.084795,0.755848
23980.000000,CC,0.040000,0.121581,0.031915,0.083587,0.762918
24980.000000,CC,0.040000,0.115942,0.039130,0.082609,0.762319
25980.000000,CC,0.040000,0.124260,0.036982,0.078402,0.760355
26980.000000,CC,0.040000,0.118497,0.039017,0.080925,0.761561
27980.000000,CC,0.040000,0.105634,0.046479,0.077465,0.770423
28980.000000,CC,0.040000,0.109375,0.055398,0.080966,0.754261
29980.000000,CC,0.040000,0.105485,0.043601,0.077356,0.773558
30980.000000,CC,0.040000,0.109375,0.035511,0.072443,0.782670
31980.000000,CC,0.040000,0.108219,0.034247,0.075342,0.782192
32980.000000,CC,0.040000,0.100279,0.043175,0.069638,0.786908
33980.000000,CC,0.040000,0.099270,0.033577,0.075912,0.791241
34980.000000,CC,0.040000,0.094368,0.028919,0.074581,0.802131
35980.000000,CC,0.040000,0.084530,0.039872,0.076555,0.799043
36980.000000,CC,0.040000,0.097360,0.023102,0.085809,0.793729
37980.000000,CC,0.040000,0.090000,0.035000,0.081667,0.793333
38980.000000,CC,0.040000,0.075342,0.034247,0.085616,0.804795
39980.000000,CC,0.040000,0.075472,0.039451,0.072041,0.813036
40980.000000,CC,0.040000,0.088448,0.034296,0.068592,0.808664
41980.000000,CC,0.040000,0.066038,0.030189,0.079245,0.824528
42980.000000,CC,0.040000,0.070450,0.033268,0.078278,0.818004
43980.000000,CC,0.040000,0.068410,0.044266,0.056338,0.830986
44980.000000,CC,0.040000,0.075431,0.036638,0.053879,0.834052
45980.000000,CC,0.040000,0.073333,0.055556,0.051111,0.820000
46980.000000,CC,0.040000,0.073171,0.051220,0.046341,0.829268
47980.000000,CC,0.040000,0.075472,0.053908,0.051213,0.819407
48980.000000,CC,0.040000,0.073746,0.035398,0.035398,0.855457
49980.000000,CC,0.040000,0.073090,0.046512,0.026578,0.853821
50980.000000,CC,0.040000,0.065455,0.029091,0.029091,0.876364
51980.000000,CC,0.040000,0.073643,0.023256,0.015504,0.887597
52980.000000,CC,0.040000,0.060870,0.017391,0.026087,0.895652
53980.000000,CC,0.040000,0.059140,0.021505,0.037634,0.881720
54980.000000,CC,0.040000,0.056250,0.012500,0.043750,0.887500
55980.000000,CC,0.040000,0.054054,0.006757,0.040541,0.898649
56980.000000,CC,0.040000,0.058824,0.007353,0.044118,0.889706
57980.000000,CC,0.040000,0.035088,0.035088,0.008772,0.921053
58980.000000,CC,0.040000,0.030928,0.010309,0.010309,0.948454
59980.000000,CC,0.040000,0.037500,0.025000,0.000000,0.937500
60980.000000,CC,0.040000,0.027397,0.000000,0.000000,0.972603
61980.000000,CC,0.040000,0.035088,0.000000,0.000000,0.964912
62980.000000,CC,0.040000,0.038462,0.000000,0.000000,0.961538
63980.000000,CC,0.040000,0.041667,0.000000,0.000000,0.958333
64980.000000,CC,0.040000,0.050000,0.000000,0.000000,0.950000
65980.000000,CC,0.040000,0.060606,0.000000,0.000000,0.939394
66980.000000,CC,0.040000,0.033333,0.033333,0.000000,0.933333
67980.000000,CC,0.040000,0.035714,0.000000,0.000000,0.964286
68980.000000,CC,0.040000,0.035714,0.000000,0.000000,0.964286
69980.000000,CC,0.040000,0.037037,0.000000,0.000000,0.962963
