time_fs,mode,setpoint_or_current,CIP,SIP,S2IP,FD
2020.000000,CC,-0.040000,0.173267,0.059406,0.168317,0.599010
3020.000000,CC,-0.040000,0.186603,0.014354,0.277512,0.521531
4020.000000,CC,-0.040000,0.194444,0.013889,0.300926,0.490741
5020.000000,CC,-0.040000,0.198198,0.018018,0.342342,0.441441
6020.000000,CC,-0.040000,0.197368,0.030702,0.372807,0.399123
7020.000000,CC,-0.040000,0.204255,0.008511,0.395745,0.391489
8020.000000,CC,-0.040000,0.204167,0.008333,0.400000,0.387500
9020.000000,CC,-0.040000,0.182879,0.035019,0.385214,0.396887
10020.000000,CC,-0.040000,0.194656,0.019084,0.400763,0.385496
11020.000000,CC,-0.040000,0.178707,0.015209,0.463878,0.342205
12020.000000,CC,-0.040000,0.178030,0.015152,0.473485,0.333333
13020.000000,CC,-0.040000,0.188192,0.014760,0.446494,0.350554
14020.000000,CC,-0.040000,0.184397,0.024823,0.418440,0.372340
15020.000000,CC,-0.040000,0.190141,0.017606,0.433099,0.359155
16020.000000,CC,-0.040000,0.195122,0.006969,0.466899,0.331010
17020.000000,CC,-0.040000,0.190476,0.013605,0.445578,0.350340
18020.000000,CC,-0.040000,0.198052,0.012987,0.422078,0.366883
19020.000000,CC,-0.040000,0.196203,0.028481,0.408228,0.367089
20020.000000,CC,-0.040000,0.200627,0.012539,0.426332,0.360502
21020.000000,CC,-0.040000,0.198142,0.012384,0.445820,0.343653
22020.000000,CC,-0.040000,0.201220,0.024390,0.420732,0.353659
23020.000000,CC,-0.040000,0.195195,0.021021,0.417417,0.366366
24020.000000,CC,-0.040000,0.190058,0.017544,0.421053,0.371345
25020.000000,CC,-0.040000,0.198847,0.011527,0.435158,0.354467
26020.000000,CC,-0.040000,0.188571,0.025714,0.431429,0.354286
27020.000000,CC,-0.040000,0.200000,0.025000,0.430556,0.344444
28020.000000,CC,-0.040000,0.201087,0.027174,0.426630,0.345109
29020.000000,CC,-0.040000,0.205882,0.016043,0.422460,0.355615
30020.000000,CC,-0.040000,0.196335,0.015707,0.431937,0.356021
31020.000000,CC,-0.040000,0.192708,0.018229,0.427083,0.361979
32020.000000,CC,-0.040000,0.196429,0.010204,0.415816,0.377551
33020.000000,CC,-0.040000,0.190123,0.019753,0.397531,0.392593
34020.000000,CC,-0.040000,0.202899,0.019324,0.384058,0.393720
35020.000000,CC,-0.040000,0.209246,0.009732,0.391728,0.389294
36020.000000,CC,-0.040000,0.208633,0.019185,0.390887,0.381295
37020.000000,CC,-0.040000,0.212617,0.025701,0.392523,0.369159
38020.000000,CC,-0.040000,0.221968,0.020595,0.377574,0.379863
39020.000000,CC,-0.040000,0.224719,0.011236,0.386517,0.377528
40020.000000,CC,-0.040000,0.219239,0.017897,0.391499,0.371365
41020.000000,CC,-0.040000,0.213656,0.017621,0.385463,0.383260
42020.000000,CC,-0.040000,0.205240,0.017467,0.379913,0.397380
43020.000000,CC,-0.040000,0.204741,0.019397,0.379310,0.396552
44020.000000,CC,-0.040000,0.199134,0.012987,0.365801,0.422078
45020.000000,CC,-0.040000,0.199571,0.012876,0.366953,0.420601
46020.000000,CC,-0.040000,0.204691,0.017058,0.368870,0.409382
47020.000000,CC,-0.040000,0.210526,0.016842,0.364211,0.408421
48020.000000,CC,-0.040000,0.210417,0.027083,0.358333,0.404167
49020.000000,CC,-0.040000,0.196242,0.018789,0.363257,0.421712
50020.000000,CC,-0.040000,0.203320,0.014523,0.377593,0.404564
51020.000000,CC,-0.040000,0.200000,0.016495,0.373196,0.410309
52020.000000,CC,-0.040000,0.213992,0.006173,0.368313,0.411523
53020.000000,CC,-0.040000,0.216599,0.016194,0.342105,0.425101
54020.000000,CC,-0.040000,0.211462,0.023715,0.333992,0.430830
55020.000000,CC,-0.040000,0.210000,0.012000,0.346000,0.432000
56020.000000,CC,-0.040000,0.211155,0.007968,0.344622,0.436255
57020.000000,CC,-0.040000,0.209804,0.015686,0.337255,0.437255
58020.000000,CC,-0.040000,0.212237,0.015296,0.323136,0.449331
59020.000000,CC,-0.040000,0.208729,0.015180,0.322581,0.453510
60020.000000,CC,-0.040000,0.206049,0.018904,0.334594,0.440454
61020.000000,CC,-0.040000,0.203738,0.009346,0.340187,0.446729
62020.000000,CC,-0.040000,0.205556,0.014815,0.338889,0.440741
63020.000000,CC,-0.040000,0.211009,0.020183,0.326605,0.442202
64020.000000,CC,-0.040000,0.208410,0.012797,0.316271,0.462523
65020.000000,CC,-0.040000,0.208410,0.014625,0.319927,0.457038
66020.000000,CC,-0.040000,0.208029,0.010949,0.319343,0.461679
67020.000000,CC,-0.040000,0.210432,0.010791,0.309353,0.469424
68020.000000,CC,-0.040000,0.201786,0.014286,0.308929,0.475000
69020.000000,CC,-0.040000,0.208481,0.015901,0.310954,0.464664
70020.000000,CC,-0.040000,0.207746,0.017606,0.318662,0.455986
