frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
55,275,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.996815,0.996756,0.998689,0.995823,0.992445,0,0,0,0,0,1026,1003,1296,1446,1226
255,1275,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.999458,0.977199,1.020134,0.999439,0.998913,4,-40,40,7,10,1615,1612,1558,1552,1610
455,2275,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.000000,0.959629,1.042345,0.999458,1.000000,0,-40,41,0,2,1611,1603,1612,1616,1622
655,3275,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.004986,0.984838,1.013986,0.989657,1.006512,10,45,-46,-19,10,1174,1287,1343,1317,1152
855,4275,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.016511,0.998297,1.001697,0.971894,1.016403,20,22,-27,-40,20,1587,1532,1538,1549,1538
1055,5275,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.026044,1.000000,1.001092,0.954123,1.026472,18,3,-2,-40,19,1613,1600,1602,1601,1621
1255,6275,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.003288,1.000000,1.022851,0.934759,1.003806,-42,0,40,-40,-46,1595,1597,1608,1594,1609
1455,7275,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.000000,1.000000,1.045727,0.917831,1.000000,-7,0,42,-40,-7,1597,1590,1607,1559,1576
1655,8275,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.005969,0.990148,1.014100,0.973018,1.004897,11,-21,-58,99,9,1613,1597,1614,1586,1608
1855,9275,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.017071,0.969492,1.001739,0.995333,1.014443,20,-40,-23,41,20,1586,1540,1495,1484,1501
2055,10275,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.025244,0.950566,0.999434,0.998856,1.024793,20,-40,-2,6,18,1513,1449,1536,1519,1585
2255,11275,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.003277,0.931591,1.022913,1.000000,1.001638,-46,-40,43,0,-44,1601,1568,1603,1556,1602
2455,12275,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.001104,0.912228,1.038067,1.000607,1.000599,-6,-40,43,-1,-4,1582,1422,1425,1418,1440
