frame,time_fs,Foil3_Ybin1_edge,Foil3_Ybin2_edge,Foil3_Ybin3_edge,Foil3_Ybin4_edge,Foil3_Ybin5_edge,Foil3_Ybin6_edge,Foil3_Ybin7_edge
55,275,22.166529,22.126427,22.12172,22.148985,22.285513,22.352293,22.27145
255,1275,23.713024,23.20846,22.660528,25.84117,23.830835,23.202198,23.53148
455,2275,23.767517,23.396023,22.707476,25.870798,23.654411,23.20814,23.613018
655,3275,23.726685,23.408777,22.70921,25.866493,23.376068,23.154633,23.458746
855,4275,23.735708,23.419174,22.735867,25.839453,23.264015,23.167934,23.232231
1055,5275,23.739128,23.431257,22.737417,25.767727,23.257524,23.173445,23.226482
1255,6275,23.740185,23.447113,22.749365,25.578135,23.302475,23.239399,23.197144
1455,7275,23.669624,23.525438,22.868067,24.978445,22.936094,22.856627,23.006351
1655,8275,23.075377,23.3528,22.898142,24.703945,22.883875,22.8384,22.682747
1855,9275,23.01545,23.389366,22.91558,24.626749,22.674828,22.461884,22.682379
2055,10275,22.80104,23.247871,22.782665,24.60192,22.678158,22.385061,22.689823
2255,11275,22.809761,23.264849,22.801022,24.531155,22.627615,22.359709,22.69754
2455,12275,22.773262,23.345139,22.790981,24.436619,22.560888,22.259432,22.70262
2655,13275,22.585981,23.333933,22.855711,24.362072,22.549839,22.192198,22.443705
2855,14275,22.560575,23.41506,22.866749,24.341026,22.531227,22.189646,22.235186
3055,15275,22.538763,23.493988,22.805733,24.311483,22.573294,22.179405,22.237963
3255,16275,22.520199,23.374691,22.733278,24.149282,22.50776,22.186867,22.243217
3455,17275,22.618374,23.228317,22.589527,24.058594,22.24973,21.911589,22.66929
3655,18275,22.45912,23.424812,22.618076,23.883068,21.849833,22.034964,22.588448
3855,19275,22.320929,23.678604,22.71501,23.87481,21.618727,22.047049,22.182758
4055,20275,22.212214,23.6179,22.70398,23.811422,21.607527,21.933453,22.035091
4255,21275,22.157364,23.685118,22.709057,23.813354,21.619211,21.920498,22.02231
4455,22275,22.178688,23.730183,22.743935,23.710546,21.638025,21.92454,22.023993
4655,23275,22.336756,23.50212,22.723305,23.47081,21.465715,21.58438,22.088793
4855,24275,22.34567,23.466627,22.744854,23.424652,21.469606,21.596415,22.123276
