time_fs,mode,setpoint_or_current,CIP,SIP,S2IP,FD
1265.000000,CC,-0.040000,0.188776,0.061224,0.153061,0.596939
2265.000000,CC,-0.040000,0.200980,0.024510,0.230392,0.544118
3265.000000,CC,-0.040000,0.215311,0.019139,0.282297,0.483254
4265.000000,CC,-0.040000,0.200935,0.042056,0.313084,0.443925
5265.000000,CC,-0.040000,0.192825,0.013453,0.363229,0.430493
6265.000000,CC,-0.040000,0.193133,0.012876,0.351931,0.442060
7265.000000,CC,-0.040000,0.201681,0.021008,0.336134,0.441176
8265.000000,CC,-0.040000,0.197581,0.012097,0.342742,0.447581
9265.000000,CC,-0.040000,0.207171,0.007968,0.366534,0.418327
10265.000000,CC,-0.040000,0.205534,0.007905,0.379447,0.407115
11265.000000,CC,-0.040000,0.202290,0.019084,0.389313,0.389313
12265.000000,CC,-0.040000,0.192593,0.011111,0.385185,0.411111
13265.000000,CC,-0.040000,0.180212,0.010601,0.371025,0.438163
14265.000000,CC,-0.040000,0.185315,0.024476,0.370629,0.419580
15265.000000,CC,-0.040000,0.178082,0.020548,0.386986,0.414384
16265.000000,CC,-0.040000,0.176080,0.016611,0.382060,0.425249
17265.000000,CC,-0.040000,0.171975,0.035032,0.382166,0.410828
18265.000000,CC,-0.040000,0.182927,0.021341,0.378049,0.417683
19265.000000,CC,-0.040000,0.177370,0.015291,0.394495,0.412844
20265.000000,CC,-0.040000,0.182371,0.015198,0.382979,0.419453
21265.000000,CC,-0.040000,0.195266,0.020710,0.378698,0.405325
22265.000000,CC,-0.040000,0.203438,0.022923,0.383954,0.389685
23265.000000,CC,-0.040000,0.200565,0.025424,0.372881,0.401130
24265.000000,CC,-0.040000,0.202857,0.025714,0.391429,0.380000
25265.000000,CC,-0.040000,0.201681,0.022409,0.383754,0.392157
26265.000000,CC,-0.040000,0.205556,0.019444,0.386111,0.388889
27265.000000,CC,-0.040000,0.210959,0.019178,0.367123,0.402740
28265.000000,CC,-0.040000,0.209115,0.018767,0.369973,0.402145
29265.000000,CC,-0.040000,0.212766,0.007979,0.382979,0.396277
30265.000000,CC,-0.040000,0.218750,0.015625,0.375000,0.390625
31265.000000,CC,-0.040000,0.211196,0.012723,0.374046,0.402036
32265.000000,CC,-0.040000,0.221939,0.005102,0.380102,0.392857
33265.000000,CC,-0.040000,0.212121,0.020202,0.371212,0.396465
34265.000000,CC,-0.040000,0.210660,0.012690,0.393401,0.383249
35265.000000,CC,-0.040000,0.212871,0.009901,0.391089,0.386139
36265.000000,CC,-0.040000,0.216545,0.014599,0.384428,0.384428
37265.000000,CC,-0.040000,0.211905,0.004762,0.376190,0.407143
38265.000000,CC,-0.040000,0.219570,0.004773,0.372315,0.403341
39265.000000,CC,-0.040000,0.219340,0.002358,0.379717,0.398585
40265.000000,CC,-0.040000,0.214623,0.000000,0.375000,0.410377
41265.000000,CC,-0.040000,0.201856,0.011601,0.373550,0.412993
42265.000000,CC,-0.040000,0.210884,0.013605,0.358277,0.417234
43265.000000,CC,-0.040000,0.208054,0.013423,0.366890,0.411633
44265.000000,CC,-0.040000,0.210407,0.006787,0.377828,0.404977
45265.000000,CC,-0.040000,0.204494,0.015730,0.377528,0.402247
46265.000000,CC,-0.040000,0.200441,0.024229,0.363436,0.411894
47265.000000,CC,-0.040000,0.211207,0.023707,0.340517,0.424569
48265.000000,CC,-0.040000,0.213080,0.010549,0.329114,0.447257
49265.000000,CC,-0.040000,0.213220,0.008529,0.332623,0.445629
50265.000000,CC,-0.040000,0.208861,0.021097,0.335443,0.434599
51265.000000,CC,-0.040000,0.220588,0.008403,0.338235,0.432773
52265.000000,CC,-0.040000,0.216216,0.010395,0.343035,0.430353
53265.000000,CC,-0.040000,0.207469,0.016598,0.338174,0.437759
54265.000000,CC,-0.040000,0.209110,0.008282,0.354037,0.428571
55265.000000,CC,-0.040000,0.210204,0.016327,0.344898,0.428571
56265.000000,CC,-0.040000,0.215726,0.008065,0.336694,0.439516
57265.000000,CC,-0.040000,0.202000,0.014000,0.336000,0.448000
58265.000000,CC,-0.040000,0.202756,0.007874,0.334646,0.454724
59265.000000,CC,-0.040000,0.202756,0.011811,0.348425,0.437008
60265.000000,CC,-0.040000,0.208251,0.001965,0.351670,0.438114
61265.000000,CC,-0.040000,0.205078,0.003906,0.355469,0.435547
62265.000000,CC,-0.040000,0.208897,0.011605,0.344294,0.435203
63265.000000,CC,-0.040000,0.211946,0.011561,0.335260,0.441233
64265.000000,CC,-0.040000,0.213873,0.007707,0.342967,0.435453
65265.000000,CC,-0.040000,0.202677,0.011472,0.340344,0.445507
66265.000000,CC,-0.040000,0.213208,0.016981,0.332075,0.437736
67265.000000,CC,-0.040000,0.217069,0.014842,0.317254,0.450835
68265.000000,CC,-0.040000,0.218924,0.009276,0.311688,0.460111
69265.000000,CC,-0.040000,0.218924,0.007421,0.315399,0.458256
70265.000000,CC,-0.040000,0.218519,0.011111,0.309259,0.461111
