time_fs,mode,setpoint_or_current,CIP,SIP,S2IP,FD
3030.000000,CC,0.040000,0.183168,0.069307,0.113861,0.633663
4030.000000,CC,0.040000,0.193548,0.036866,0.188940,0.580645
5030.000000,CC,0.040000,0.200873,0.017467,0.253275,0.528384
6030.000000,CC,0.040000,0.185654,0.016878,0.274262,0.523207
7030.000000,CC,0.040000,0.169960,0.023715,0.268775,0.537549
8030.000000,CC,0.040000,0.149826,0.066202,0.188153,0.595819
9030.000000,CC,0.040000,0.151899,0.047468,0.186709,0.613924
10030.000000,CC,0.040000,0.151436,0.060052,0.140992,0.647520
11030.000000,CC,0.040000,0.123853,0.057339,0.119266,0.699541
12030.000000,CC,0.040000,0.121514,0.051793,0.097610,0.729084
13030.000000,CC,0.040000,0.115587,0.050788,0.094571,0.739054
14030.000000,CC,0.040000,0.110569,0.053659,0.087805,0.747967
15030.000000,CC,0.040000,0.102874,0.055976,0.080182,0.760968
16030.000000,CC,0.040000,0.107193,0.055007,0.069111,0.768688
17030.000000,CC,0.040000,0.099320,0.044898,0.068027,0.787755
18030.000000,CC,0.040000,0.106412,0.046385,0.075034,0.772169
19030.000000,CC,0.040000,0.099469,0.038462,0.070292,0.791777
20030.000000,CC,0.040000,0.092088,0.045396,0.073930,0.788586
21030.000000,CC,0.040000,0.087811,0.055046,0.074705,0.782438
22030.000000,CC,0.040000,0.087075,0.051701,0.076190,0.785034
23030.000000,CC,0.040000,0.082321,0.052632,0.064777,0.800270
24030.000000,CC,0.040000,0.080780,0.040390,0.079387,0.799443
25030.000000,CC,0.040000,0.085349,0.031294,0.078236,0.805121
26030.000000,CC,0.040000,0.083453,0.034532,0.073381,0.808633
27030.000000,CC,0.040000,0.081001,0.027982,0.076583,0.814433
28030.000000,CC,0.040000,0.076577,0.033033,0.075075,0.815315
29030.000000,CC,0.040000,0.076479,0.034632,0.073593,0.815296
30030.000000,CC,0.040000,0.072443,0.029830,0.076705,0.821023
31030.000000,CC,0.040000,0.068413,0.030568,0.075691,0.825328
32030.000000,CC,0.040000,0.067278,0.038226,0.081040,0.813456
33030.000000,CC,0.040000,0.068690,0.036741,0.079872,0.814696
34030.000000,CC,0.040000,0.063830,0.032733,0.072013,0.831424
35030.000000,CC,0.040000,0.063622,0.029364,0.073409,0.833605
36030.000000,CC,0.040000,0.066023,0.022544,0.069243,0.842190
37030.000000,CC,0.040000,0.058065,0.032258,0.064516,0.845161
38030.000000,CC,0.040000,0.064570,0.028146,0.072848,0.834437
39030.000000,CC,0.040000,0.061404,0.029825,0.071930,0.836842
40030.000000,CC,0.040000,0.066190,0.026834,0.073345,0.833631
41030.000000,CC,0.040000,0.066787,0.012635,0.074007,0.846570
42030.000000,CC,0.040000,0.051471,0.022059,0.075368,0.851103
43030.000000,CC,0.040000,0.062857,0.028571,0.076190,0.832381
44030.000000,CC,0.040000,0.072614,0.014523,0.072614,0.840249
45030.000000,CC,0.040000,0.054326,0.018109,0.068410,0.859155
46030.000000,CC,0.040000,0.055679,0.017817,0.075724,0.850780
47030.000000,CC,0.040000,0.052897,0.020151,0.070529,0.856423
48030.000000,CC,0.040000,0.045326,0.031161,0.062323,0.861190
49030.000000,CC,0.040000,0.055901,0.018634,0.062112,0.863354
50030.000000,CC,0.040000,0.056140,0.024561,0.059649,0.859649
51030.000000,CC,0.040000,0.065574,0.020492,0.053279,0.860656
52030.000000,CC,0.040000,0.058252,0.033981,0.043689,0.864078
53030.000000,CC,0.040000,0.058201,0.010582,0.042328,0.888889
54030.000000,CC,0.040000,0.061728,0.030864,0.024691,0.882716
55030.000000,CC,0.040000,0.056452,0.048387,0.016129,0.879032
56030.000000,CC,0.040000,0.058333,0.025000,0.016667,0.900000
57030.000000,CC,0.040000,0.051020,0.020408,0.010204,0.918367
58030.000000,CC,0.040000,0.048193,0.024096,0.012048,0.915663
59030.000000,CC,0.040000,0.072727,0.036364,0.018182,0.872727
60030.000000,CC,0.040000,0.100000,0.050000,0.050000,0.800000
61030.000000,CC,0.040000,0.096774,0.000000,0.032258,0.870968
62030.000000,CC,0.040000,0.086957,0.000000,0.043478,0.869565
63030.000000,CC,0.040000,0.105263,0.000000,0.052632,0.842105
64030.000000,CC,0.040000,0.166667,0.000000,0.000000,0.833333
65030.000000,CC,0.040000,0.285714,0.000000,0.000000,0.714286
66030.000000,CC,0.040000,0.333333,0.000000,0.000000,0.666667
67030.000000,CC,0.040000,0.400000,0.000000,0.000000,0.600000
68030.000000,CC,0.040000,0.500000,0.000000,0.000000,0.500000
69030.000000,CC,0.040000,1.000000,0.000000,0.000000,0.000000
70030.000000,CC,0.040000,1.000000,0.000000,0.000000,0.000000
