frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
103,515,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,0.993176,0.995252,0.996851,0.996310,0.994726,0,0,0,0,0,1382,1455,1358,1396,1287
303,1515,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,1.000000,0.988593,1.004868,1.000000,0.999458,12,-20,20,7,10,1586,1611,1619,1617,1616
503,2515,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,0.999460,0.981928,1.016534,1.000000,1.000000,1,-20,21,0,0,1621,1596,1524,1538,1525
703,3515,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,0.997717,0.976300,1.025952,1.000568,1.000000,1,-20,20,0,-1,1084,1289,1504,1530,1521
903,4515,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,1.001378,0.962836,1.037123,1.000000,1.000000,-1,-20,21,0,-2,1221,1519,1494,1562,1529
1103,5515,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,0.998266,0.953475,1.048396,1.000000,1.000000,0,-20,20,0,1,1500,1468,1547,1570,1534
1303,6515,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,0.998028,0.948608,1.053795,1.000000,1.000000,-1,-20,21,-1,0,784,1171,1127,1037,1430
1503,7515,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,1.000541,0.938923,1.071506,1.000000,1.000000,0,-20,21,1,0,1617,1571,1616,1569,1616
1703,8515,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,1.000541,0.931629,1.082658,1.000543,1.000000,-2,-20,20,-1,0,1619,1569,1621,1612,1614
1903,9515,OP,CC,CC,OP,OP,1.000000,-0.020000,0.020000,1.000000,1.000000,1.000000,0.924234,1.093023,1.000000,1.000000,-1,-20,20,-1,0,1595,1565,1619,1615,1616
