frame,time_fs,Foil3_Ybin1_edge,Foil3_Ybin2_edge,Foil3_Ybin3_edge,Foil3_Ybin4_edge,Foil3_Ybin5_edge,Foil3_Ybin6_edge,Foil3_Ybin7_edge
114,570,22.45061,22.61346,22.982943,23.52465,22.57523,22.38634,22.733128
314,1570,23.532225,23.57694,23.498058,27.75145,23.31089,23.263086,24.00322
514,2570,23.370592,23.576935,23.489714,27.711996,23.457176,23.090881,24.031874
714,3570,23.068527,23.579603,23.493126,27.587849,23.500717,23.091654,24.037468
914,4570,23.126863,23.566473,23.417273,27.638453,23.567085,23.06427,23.929033
1114,5570,23.154676,23.542152,23.404726,27.554533,23.827482,23.089516,23.944183
1314,6570,23.260406,23.534412,23.43089,27.595919,23.890198,23.094297,23.945553
1514,7570,23.305084,23.536156,23.830597,27.534208,23.92411,23.147547,23.812012
1714,8570,23.715113,23.583681,24.354675,27.4744,23.933426,23.06186,23.678585
1914,9570,23.907734,23.598307,24.482212,27.54028,23.908642,23.031122,23.388653
2114,10570,23.965973,23.44526,24.673956,27.666407,23.965887,23.130201,23.248991
2314,11570,23.974434,23.205751,24.517666,27.798473,23.527996,23.263617,23.284754
2514,12570,23.850971,23.242716,24.304895,27.985458,23.539942,23.32772,23.279135
2714,13570,23.910767,23.257244,23.871895,28.050352,23.441275,23.499546,23.234295
2914,14570,24.068478,23.290985,23.47924,28.221313,23.601902,23.35426,23.051735
3114,15570,24.226955,23.52172,23.487494,24.298775,23.731346,23.310251,23.245737
3314,16570,24.258791,23.723082,23.720072,24.43057,24.29749,23.12344,23.62182
3514,17570,24.435535,23.49866,23.926832,24.165825,25.094545,22.917305,23.412014
3714,18570,24.53334,23.581078,24.080875,24.19007,25.195751,22.845936,23.230867
3914,19570,24.27674,23.700216,23.887148,23.99653,24.993782,22.686337,23.08272
4114,20570,24.107903,24.04234,23.395435,23.86762,25.119122,22.62645,22.954874
4314,21570,24.11883,24.460949,23.617079,23.81546,25.365366,22.51906,22.72591
4514,22570,23.978996,24.626387,23.952276,23.598131,25.47301,22.578074,22.667084
4714,23570,23.82911,24.675323,23.721916,23.201157,25.62149,22.69803,22.69337
4914,24570,23.852062,24.200928,22.928282,22.787823,25.876015,22.854246,22.48424
5114,25570,23.954832,23.620377,22.566492,22.469557,26.081459,23.504637,22.437271
5314,26570,23.962475,23.614555,22.481133,22.191952,26.25407,23.542116,21.871614
5514,27570,23.922066,23.85439,22.480057,22.082272,25.998796,23.134048,21.309809
5714,28570,23.690813,23.881758,22.336964,22.155031,26.105877,22.532413,20.564314
5914,29570,23.711298,24.136868,22.642345,22.077745,26.08322,22.392527,20.140373
6114,30570,23.839134,24.172155,22.656572,22.12699,25.929707,22.972034,19.64082
6314,31570,23.88528,24.536695,22.595695,21.965296,25.815083,22.948484,21.12458
6514,32570,23.797087,24.996344,22.739296,21.801489,25.783587,23.163591,20.899826
6714,33570,23.78134,24.983809,22.546719,21.87307,25.88835,23.277191,20.611135
6914,34570,23.688637,24.967945,22.52072,21.70527,26.24918,23.510077,24.213833
7114,35570,21.665045,25.252998,22.755228,21.52273,26.227674,23.731882,24.395922
7314,36570,26.509733,25.4689,22.90562,22.065407,25.980034,23.936352,25.130592
7514,37570,21.754772,25.363983,22.639832,21.968292,26.391344,24.633776,24.348957
7714,38570,22.833788,25.342329,22.52784,22.307909,26.78745,25.416895,24.169088
7914,39570,23.232407,25.335821,22.58565,22.23167,26.0122,26.318129,24.919388
8114,40570,23.229322,25.591928,22.595732,22.218927,26.042646,27.4872,24.53559
8314,41570,37.424637,25.862974,22.39624,23.372665,26.241533,24.747581,24.596132
8514,42570,27.30639,25.83893,22.373573,23.514956,26.327616,24.763084,29.380848
8714,43570,27.89846,25.924454,22.253172,23.832285,26.535215,24.985891,29.438496
8914,44570,28.928402,26.363255,22.199003,23.913391,26.732193,25.31688,32.299545
9114,45570,28.95949,26.742258,22.10277,23.97194,26.82672,25.031055,37.005875
9314,46570,31.915432,27.315077,22.257326,22.005127,26.922443,25.830835,31.778011
9514,47570,28.274858,27.875776,22.391699,30.821411,26.883377,25.521147,40.905872
9714,48570,28.136543,28.636919,22.382687,22.017796,27.249146,25.719418,35.551216
9914,49570,34.529533,29.101812,22.467846,22.238466,27.765366,26.65054,34.83748
10114,50570,26.198334,28.989796,22.213036,33.083633,28.352118,26.800484,48.05844
10314,51570,26.245493,29.090868,22.172735,21.659853,28.690268,26.866297,50.109833
10514,52570,26.8326,29.61985,22.1158,33.34877,32.917927,27.364319,52.132862
10714,53570,26.865477,29.863686,22.127558,33.44427,32.77258,28.40541,52.609135
10914,54570,27.150814,30.321407,22.23129,22.385416,32.506752,29.514133,39.91467
11114,55570,27.324759,30.681889,22.995953,29.003677,32.432793,29.985323,39.998398
11314,56570,27.049921,30.778828,22.428719,22.638493,32.22406,30.45749,40.170036
11514,57570,27.56209,30.721003,22.171629,29.268888,31.95729,30.770197,40.39379
11714,58570,27.714172,30.65153,22.248106,29.190868,31.215326,30.633871,40.32989
11914,59570,38.68951,30.290588,22.518332,29.200134,30.659342,30.5752,40.79646
12114,60570,39.127052,30.141928,22.274837,28.958374,30.282356,30.755545,40.42853
12314,61570,39.303528,29.823288,22.31648,29.020485,30.227407,31.095589,41.017216
12514,62570,29.16393,29.596931,22.34117,28.920294,30.09608,26.648815,42.386395
12714,63570,28.976343,29.610468,22.337063,28.747252,32.16251,26.65671,42.538498
12914,64570,28.96165,29.570541,22.367874,28.558332,32.690067,26.646862,41.850582
13114,65570,29.08944,29.621405,22.356192,28.622892,32.65935,26.821083,42.08967
13314,66570,29.210073,29.511738,22.30056,28.627485,32.503357,26.988115,42.206356
13514,67570,41.536118,29.527397,22.242435,28.41112,32.39148,27.112232,42.125866
13714,68570,31.15942,29.660376,22.313553,28.309,32.18354,27.305984,41.920162
13914,69570,34.359604,29.56586,22.276114,28.32216,25.65562,27.429886,42.292835
14114,70570,33.838024,29.46996,22.32608,28.159805,24.503014,28.228287,42.319996
14314,71570,33.50926,29.42724,22.266884,27.712826,24.646887,28.377235,43.29141
14514,72570,33.034763,29.61797,22.263027,27.949833,24.524073,28.24751,43.85819
14714,73570,49.1681,29.763542,22.29212,30.55398,24.684296,28.14663,43.805595
14914,74570,49.1681,29.780878,22.397512,30.643326,24.944874,28.244503,43.816166
15114,75570,49.19188,29.612928,22.339788,30.698057,24.973465,28.31899,43.945457
