time_fs,mode,setpoint_or_current,CIP,SIP,S2IP,FD
1505.000000,CC,0.010000,0.123762,0.059406,0.138614,0.678218
2505.000000,CC,0.010000,0.127358,0.023585,0.240566,0.608491
3505.000000,CC,0.010000,0.153488,0.013953,0.306977,0.525581
4505.000000,CC,0.010000,0.163636,0.018182,0.345455,0.472727
5505.000000,CC,0.010000,0.152838,0.008734,0.401747,0.436681
6505.000000,CC,0.010000,0.159664,0.004202,0.424370,0.411765
7505.000000,CC,0.010000,0.152893,0.012397,0.425620,0.409091
8505.000000,CC,0.010000,0.145161,0.020161,0.431452,0.403226
9505.000000,CC,0.010000,0.156250,0.003906,0.433594,0.406250
10505.000000,CC,0.010000,0.148289,0.015209,0.429658,0.406844
11505.000000,CC,0.010000,0.167883,0.021898,0.416058,0.394161
12505.000000,CC,0.010000,0.159420,0.021739,0.409420,0.409420
13505.000000,CC,0.010000,0.156794,0.013937,0.414634,0.414634
14505.000000,CC,0.010000,0.156997,0.027304,0.399317,0.416382
15505.000000,CC,0.010000,0.163399,0.019608,0.382353,0.434641
16505.000000,CC,0.010000,0.173502,0.012618,0.378549,0.435331
17505.000000,CC,0.010000,0.159509,0.024540,0.358896,0.457055
18505.000000,CC,0.010000,0.183976,0.023739,0.344214,0.448071
19505.000000,CC,0.010000,0.174419,0.026163,0.319767,0.479651
20505.000000,CC,0.010000,0.173554,0.030303,0.297521,0.498623
21505.000000,CC,0.010000,0.167539,0.036649,0.285340,0.510471
22505.000000,CC,0.010000,0.162095,0.027431,0.259352,0.551122
23505.000000,CC,0.010000,0.164286,0.019048,0.252381,0.564286
24505.000000,CC,0.010000,0.167800,0.022676,0.235828,0.573696
25505.000000,CC,0.010000,0.174292,0.041394,0.206972,0.577342
26505.000000,CC,0.010000,0.175847,0.029661,0.205508,0.588983
27505.000000,CC,0.010000,0.170385,0.036511,0.190669,0.602434
28505.000000,CC,0.010000,0.168627,0.029412,0.196078,0.605882
29505.000000,CC,0.010000,0.156489,0.028626,0.190840,0.624046
30505.000000,CC,0.010000,0.155140,0.035514,0.183178,0.626168
31505.000000,CC,0.010000,0.166667,0.020147,0.173993,0.639194
32505.000000,CC,0.010000,0.171480,0.023466,0.158845,0.646209
33505.000000,CC,0.010000,0.165186,0.021314,0.165186,0.648313
34505.000000,CC,0.010000,0.164931,0.024306,0.163194,0.647569
35505.000000,CC,0.010000,0.168367,0.020408,0.158163,0.653061
36505.000000,CC,0.010000,0.173175,0.028862,0.156197,0.641766
37505.000000,CC,0.010000,0.165275,0.028381,0.150250,0.656093
38505.000000,CC,0.010000,0.165574,0.021311,0.152459,0.660656
39505.000000,CC,0.010000,0.168317,0.019802,0.151815,0.660066
40505.000000,CC,0.010000,0.160862,0.016584,0.160862,0.661692
41505.000000,CC,0.010000,0.169967,0.029703,0.158416,0.641914
42505.000000,CC,0.010000,0.169381,0.027687,0.157980,0.644951
43505.000000,CC,0.010000,0.169841,0.034921,0.147619,0.647619
44505.000000,CC,0.010000,0.174803,0.036220,0.133858,0.655118
45505.000000,CC,0.010000,0.160883,0.029968,0.148265,0.660883
46505.000000,CC,0.010000,0.164013,0.036624,0.135350,0.664013
47505.000000,CC,0.010000,0.166395,0.032626,0.141925,0.659054
48505.000000,CC,0.010000,0.172638,0.039088,0.128664,0.659609
49505.000000,CC,0.010000,0.166667,0.024752,0.136964,0.671617
50505.000000,CC,0.010000,0.168558,0.030794,0.139384,0.661264
51505.000000,CC,0.010000,0.181965,0.033816,0.135266,0.648953
52505.000000,CC,0.010000,0.179032,0.025806,0.137097,0.658065
53505.000000,CC,0.010000,0.182540,0.030159,0.134921,0.652381
54505.000000,CC,0.010000,0.166667,0.025641,0.141026,0.666667
55505.000000,CC,0.010000,0.172524,0.023962,0.138978,0.664537
56505.000000,CC,0.010000,0.167208,0.035714,0.141234,0.655844
57505.000000,CC,0.010000,0.157810,0.032206,0.135266,0.674718
58505.000000,CC,0.010000,0.171200,0.019200,0.139200,0.670400
59505.000000,CC,0.010000,0.166667,0.025641,0.134615,0.673077
60505.000000,CC,0.010000,0.157233,0.022013,0.130503,0.690252
61505.000000,CC,0.010000,0.161600,0.027200,0.129600,0.681600
62505.000000,CC,0.010000,0.166134,0.020767,0.137380,0.675719
63505.000000,CC,0.010000,0.167457,0.030016,0.124803,0.677725
64505.000000,CC,0.010000,0.169782,0.024922,0.116822,0.688474
65505.000000,CC,0.010000,0.163297,0.034215,0.121306,0.681182
66505.000000,CC,0.010000,0.166667,0.029321,0.123457,0.680556
67505.000000,CC,0.010000,0.167457,0.025276,0.126382,0.680885
68505.000000,CC,0.010000,0.167449,0.039124,0.125196,0.668232
69505.000000,CC,0.010000,0.172468,0.034810,0.113924,0.678797
70505.000000,CC,0.010000,0.169545,0.034537,0.109890,0.686028
71505.000000,CC,0.010000,0.161392,0.023734,0.110759,0.704114
72505.000000,CC,0.010000,0.159126,0.028081,0.112324,0.700468
73505.000000,CC,0.010000,0.162791,0.015504,0.111628,0.710078
74505.000000,CC,0.010000,0.163780,0.025197,0.108661,0.702362
75505.000000,CC,0.010000,0.164297,0.036335,0.115324,0.684044
