time_fs,mode,setpoint_or_current,CIP,SIP,S2IP,FD
1465.000000,CC,-0.020000,0.153846,0.071429,0.142857,0.631868
2465.000000,CC,-0.020000,0.173684,0.047368,0.215789,0.563158
3465.000000,CC,-0.020000,0.177665,0.050761,0.253807,0.517766
4465.000000,CC,-0.020000,0.199005,0.024876,0.278607,0.497512
5465.000000,CC,-0.020000,0.205882,0.014706,0.274510,0.504902
6465.000000,CC,-0.020000,0.198068,0.004831,0.314010,0.483092
7465.000000,CC,-0.020000,0.190698,0.027907,0.306977,0.474419
8465.000000,CC,-0.020000,0.185022,0.035242,0.312775,0.466960
9465.000000,CC,-0.020000,0.170213,0.017021,0.323404,0.489362
10465.000000,CC,-0.020000,0.152263,0.041152,0.312757,0.493827
11465.000000,CC,-0.020000,0.155738,0.024590,0.336066,0.483607
12465.000000,CC,-0.020000,0.158537,0.024390,0.353659,0.463415
13465.000000,CC,-0.020000,0.160643,0.016064,0.377510,0.445783
14465.000000,CC,-0.020000,0.166008,0.015810,0.399209,0.418972
15465.000000,CC,-0.020000,0.171875,0.015625,0.406250,0.406250
16465.000000,CC,-0.020000,0.170543,0.019380,0.406977,0.403101
17465.000000,CC,-0.020000,0.172414,0.022989,0.398467,0.406130
18465.000000,CC,-0.020000,0.180451,0.011278,0.390977,0.417293
19465.000000,CC,-0.020000,0.176030,0.000000,0.397004,0.426966
20465.000000,CC,-0.020000,0.172161,0.010989,0.391941,0.424908
21465.000000,CC,-0.020000,0.173145,0.007067,0.381625,0.438163
22465.000000,CC,-0.020000,0.180272,0.006803,0.377551,0.435374
23465.000000,CC,-0.020000,0.175159,0.009554,0.366242,0.449045
24465.000000,CC,-0.020000,0.160237,0.032641,0.356083,0.451039
25465.000000,CC,-0.020000,0.155989,0.036212,0.339833,0.467967
26465.000000,CC,-0.020000,0.159686,0.049738,0.324607,0.465969
27465.000000,CC,-0.020000,0.160099,0.041872,0.317734,0.480296
28465.000000,CC,-0.020000,0.167453,0.028302,0.306604,0.497642
29465.000000,CC,-0.020000,0.157534,0.034247,0.292237,0.515982
30465.000000,CC,-0.020000,0.160714,0.026786,0.283482,0.529018
31465.000000,CC,-0.020000,0.175676,0.020270,0.288288,0.515766
32465.000000,CC,-0.020000,0.184091,0.015909,0.300000,0.500000
33465.000000,CC,-0.020000,0.186788,0.022779,0.291572,0.498861
34465.000000,CC,-0.020000,0.194064,0.018265,0.299087,0.488584
35465.000000,CC,-0.020000,0.189189,0.015766,0.313063,0.481982
36465.000000,CC,-0.020000,0.201342,0.013423,0.313199,0.472036
37465.000000,CC,-0.020000,0.204793,0.021786,0.307190,0.466231
38465.000000,CC,-0.020000,0.207265,0.029915,0.307692,0.455128
39465.000000,CC,-0.020000,0.209205,0.029289,0.305439,0.456067
40465.000000,CC,-0.020000,0.219008,0.020661,0.297521,0.462810
41465.000000,CC,-0.020000,0.224652,0.031809,0.278330,0.465209
42465.000000,CC,-0.020000,0.227969,0.026820,0.273946,0.471264
43465.000000,CC,-0.020000,0.240987,0.020873,0.277040,0.461101
44465.000000,CC,-0.020000,0.231499,0.018975,0.271347,0.478178
45465.000000,CC,-0.020000,0.226345,0.020408,0.269017,0.484230
46465.000000,CC,-0.020000,0.228261,0.019928,0.259058,0.492754
47465.000000,CC,-0.020000,0.223214,0.021429,0.246429,0.508929
48465.000000,CC,-0.020000,0.217163,0.029772,0.238179,0.514886
49465.000000,CC,-0.020000,0.230118,0.020305,0.225042,0.524535
50465.000000,CC,-0.020000,0.223491,0.024470,0.215334,0.536705
51465.000000,CC,-0.020000,0.232520,0.016260,0.222764,0.528455
52465.000000,CC,-0.020000,0.229268,0.016260,0.216260,0.538211
53465.000000,CC,-0.020000,0.230016,0.014682,0.218597,0.536705
54465.000000,CC,-0.020000,0.230274,0.016103,0.222222,0.531401
55465.000000,CC,-0.020000,0.228663,0.016103,0.222222,0.533011
56465.000000,CC,-0.020000,0.227564,0.011218,0.233974,0.527244
57465.000000,CC,-0.020000,0.228435,0.012780,0.226837,0.531949
58465.000000,CC,-0.020000,0.219092,0.018779,0.225352,0.536776
59465.000000,CC,-0.020000,0.231250,0.012500,0.225000,0.531250
60465.000000,CC,-0.020000,0.228616,0.018663,0.219285,0.533437
61465.000000,CC,-0.020000,0.229483,0.012158,0.206687,0.551672
62465.000000,CC,-0.020000,0.231579,0.010526,0.216541,0.541353
63465.000000,CC,-0.020000,0.230769,0.014793,0.205621,0.548817
64465.000000,CC,-0.020000,0.231905,0.017725,0.206795,0.543575
65465.000000,CC,-0.020000,0.231778,0.014577,0.199708,0.553936
66465.000000,CC,-0.020000,0.228898,0.022890,0.197425,0.550787
67465.000000,CC,-0.020000,0.227468,0.020029,0.195994,0.556509
68465.000000,CC,-0.020000,0.225035,0.019691,0.201125,0.554149
69465.000000,CC,-0.020000,0.226442,0.015471,0.203938,0.554149
70465.000000,CC,-0.020000,0.224860,0.023743,0.192737,0.558659
71465.000000,CC,-0.020000,0.230986,0.016901,0.192958,0.559155
72465.000000,CC,-0.020000,0.230878,0.012748,0.189802,0.566572
73465.000000,CC,-0.020000,0.230329,0.020029,0.187411,0.562232
74465.000000,CC,-0.020000,0.232394,0.009859,0.192958,0.564789
75465.000000,CC,-0.020000,0.232068,0.018284,0.191280,0.558369
76465.000000,CC,-0.020000,0.233983,0.020891,0.189415,0.555710
77465.000000,CC,-0.020000,0.235131,0.011065,0.190871,0.562932
