frame,time_fs,Foil3_Ybin1_edge,Foil3_Ybin2_edge,Foil3_Ybin3_edge,Foil3_Ybin4_edge,Foil3_Ybin5_edge,Foil3_Ybin6_edge,Foil3_Ybin7_edge,Foil3_Ybin1_li_metal,Foil3_Ybin2_li_metal,Foil3_Ybin3_li_metal,Foil3_Ybin4_li_metal,Foil3_Ybin5_li_metal,Foil3_Ybin6_li_metal,Foil3_Ybin7_li_metal,Foil3_Ybin1_li_ion,Foil3_Ybin2_li_ion,Foil3_Ybin3_li_ion,Foil3_Ybin4_li_ion,Foil3_Ybin5_li_ion,Foil3_Ybin6_li_ion,Foil3_Ybin7_li_ion
131,655,24.775837,23.626291,23.312908,24.827356,22.735184,23.274607,24.329964,106,98,104,107,105,99,105,5,2,5,3,1,4,3
331,1655,24.847498,24.357574,23.99241,24.992437,23.441177,24.14872,24.372374,106,99,104,107,102,101,104,5,1,6,3,1,3,3
531,2655,24.866995,24.512133,24.16005,24.789639,23.819643,24.14878,24.148643,106,99,104,107,101,103,105,5,1,6,3,2,2,3
731,3655,24.887318,24.511234,24.37745,24.646833,23.865955,24.150177,23.980669,106,100,103,107,101,103,105,5,2,6,2,2,3,4
931,4655,24.887127,24.523067,24.16082,24.637102,23.805058,24.151382,23.986588,106,100,103,107,101,103,105,5,2,6,2,2,3,3
1131,5655,24.606655,24.517715,23.787321,24.638954,23.814316,24.147417,23.731121,106,101,102,107,102,102,105,6,2,8,1,2,2,2
1331,6655,24.345465,24.53098,23.28503,24.63871,23.816296,24.110731,23.482004,106,102,102,107,102,102,106,6,2,9,1,1,2,3
1531,7655,24.089407,24.652227,22.736364,24.64352,23.845118,24.028728,23.569633,106,102,101,107,102,102,106,5,2,8,2,1,2,3
1731,8655,23.853817,24.543837,22.730106,24.644049,23.967237,24.123625,23.46084,105,103,101,107,102,102,106,5,3,8,3,1,3,3
1931,9655,24.7654,24.685946,23.141924,24.546831,24.029911,24.359537,23.491907,106,103,101,107,102,103,106,5,4,7,2,1,3,2
2131,10655,24.780079,24.7054,23.302263,24.456266,24.051321,24.281822,23.647814,106,103,100,107,102,103,106,5,4,8,2,3,3,2
2331,11655,24.873642,25.023745,23.130016,24.46754,24.055058,24.010975,23.772825,106,104,100,107,102,103,106,6,4,7,2,5,3,2
2531,12655,24.93894,25.054293,23.351913,24.476206,24.073511,24.007465,23.70614,105,104,99,107,102,102,106,5,4,7,3,5,3,3
2731,13655,25.056509,24.784863,23.261898,24.485954,24.224836,23.607796,23.740772,105,105,99,107,102,101,106,4,4,5,5,5,3,3
2931,14655,25.162102,24.85022,23.240433,24.620964,23.934214,23.28017,23.86716,105,106,99,107,102,101,106,5,4,5,4,5,3,3
3131,15655,25.199312,24.888998,23.181581,24.273512,24.588457,23.071526,23.92807,105,106,99,108,101,101,106,6,4,5,5,7,3,3
3331,16655,25.190985,24.682177,23.07265,24.818537,24.036825,22.920387,23.989496,105,107,101,108,99,105,106,6,4,6,7,7,3,3
3531,17655,25.076029,24.3909,23.022522,25.033375,23.976673,22.781445,24.040014,105,107,101,107,98,105,107,8,4,7,9,7,3,3
3731,18655,25.030933,24.031672,22.881922,25.794296,23.716005,22.703224,24.07062,105,107,101,106,98,102,107,9,4,7,11,8,3,4
3931,19655,24.929369,23.90466,22.976274,25.413803,23.63809,22.540735,24.282053,107,107,101,106,100,102,107,8,4,8,9,9,3,4
4131,20655,25.079792,23.866253,23.034641,25.463415,23.224842,22.28514,24.465294,107,107,101,107,99,102,108,8,4,9,9,10,3,4
4331,21655,25.19911,23.835205,22.84922,25.4065,22.71948,21.971918,24.38494,107,107,101,107,99,102,107,7,4,7,10,11,3,4
4531,22655,25.332056,23.829096,22.799347,25.693075,22.95052,22.000654,24.178091,107,108,101,107,100,102,107,7,4,9,10,9,3,4
4731,23655,24.824677,23.788641,23.184093,24.028788,23.788313,22.223064,24.305689,107,108,101,106,100,102,106,7,5,11,13,8,3,4
