frame,time_fs,Foil3_Ybin1_edge,Foil3_Ybin2_edge,Foil3_Ybin3_edge,Foil3_Ybin4_edge,Foil3_Ybin5_edge,Foil3_Ybin6_edge,Foil3_Ybin7_edge
132,660,22.67123,23.733822,23.36827,23.658047,23.08742,22.919413,23.390656
332,1660,22.854162,23.84646,23.58908,24.11518,23.11909,22.955624,23.358124
532,2660,22.990189,23.727196,23.597822,24.120558,23.124872,23.053186,23.278425
732,3660,23.354433,23.370441,23.616175,24.311937,22.75144,23.00501,23.339165
932,4660,23.544275,23.156755,23.640373,24.081284,22.599731,23.001665,23.36755
1132,5660,23.720701,23.192766,23.463354,23.983465,22.464815,23.001757,23.448544
1332,6660,24.306402,23.156382,22.889914,24.04692,22.36321,23.021675,23.568695
1532,7660,24.617496,23.09775,22.524927,23.833006,22.37455,23.053846,23.549053
1732,8660,24.816122,23.065699,22.337667,23.603792,22.367172,23.082153,23.570776
1932,9660,25.005287,22.952517,22.157846,23.549526,22.434198,23.205576,23.698067
2132,10660,24.967407,22.696787,22.086733,23.55111,22.433817,23.248686,23.82088
2332,11660,24.95155,22.841028,21.303143,23.58455,22.433508,23.354086,24.180944
2532,12660,24.356792,22.619867,21.213346,23.175491,22.42752,23.511156,23.69388
2732,13660,24.120768,22.408564,21.72272,22.925783,22.28668,23.612787,23.668304
2932,14660,23.429375,22.202639,21.547302,22.864464,21.203606,23.683067,23.29783
3132,15660,22.642391,22.288177,21.250744,22.842945,21.19538,23.78426,23.01766
3332,16660,21.476006,21.987143,21.002092,22.971117,21.389307,23.582222,23.60953
3532,17660,21.126299,22.137722,20.974762,23.714502,21.968504,23.876345,22.214993
3732,18660,21.07312,21.823236,20.804266,24.439804,20.962736,23.966352,22.2695
3932,19660,20.973204,21.71032,20.528978,24.980621,22.018782,24.440208,23.12304
4132,20660,20.870043,21.7159,20.017885,24.853897,21.868782,24.639017,26.01183
4332,21660,20.546036,21.886541,19.605982,24.852953,21.852226,25.993053,25.774883
4532,22660,22.898174,22.35889,19.623234,24.643263,22.204662,25.262894,33.356045
4732,23660,23.812712,23.32726,19.715616,24.44569,25.55292,24.93276,24.926
4932,24660,24.10667,23.72796,19.699476,24.360497,26.43425,24.759157,38.65931
5132,25660,28.452515,23.605785,19.57059,24.338007,25.37638,24.271372,27.990652
5332,26660,28.9396,23.488506,19.495317,24.308857,25.027601,24.147343,28.137617
5532,27660,23.693407,23.36788,19.456377,24.218771,24.839054,23.927095,50.27784
5732,28660,23.484896,23.389143,19.481844,24.099533,23.962221,23.692923,50.5122
5932,29660,26.215166,23.422337,19.49976,24.082642,23.742693,23.592646,50.860634
6132,30660,28.593763,23.499462,19.857267,24.129398,26.13081,23.589607,52.35029
6332,31660,29.001299,23.392344,20.367964,24.1346,26.227898,23.93398,37.62615
6532,32660,34.076046,23.375153,20.911287,24.198994,44.788033,24.212818,37.31811
6732,33660,34.2509,23.48227,20.512936,24.104223,26.45483,24.125921,37.168823
6932,34660,22.253477,18.945883,21.021122,24.005545,27.084202,24.15674,37.51808
7132,35660,48.214523,18.966269,21.735538,24.044918,30.540224,23.904476,39.30406
7332,36660,48.20483,18.88994,21.32419,24.145594,32.633587,23.355583,39.975475
7532,37660,41.920513,18.843615,21.082296,24.151068,31.022818,23.28969,39.590343
7732,38660,22.826216,23.384497,31.523745,24.005314,38.557346,23.083864,38.59147
7932,39660,42.008083,18.828375,22.876108,24.059132,43.42506,23.577099,38.470417
8132,40660,42.646072,22.72948,31.639963,23.872581,32.90783,24.260466,38.050518
8332,41660,43.523846,22.547728,33.077003,23.865992,48.981907,23.907766,37.602535
8532,42660,22.807035,21.596554,35.59194,23.82178,50.182697,23.770046,37.647274
8732,43660,22.71031,21.80454,36.808266,23.939688,26.77155,23.846218,52.525906
8932,44660,43.225975,27.753872,35.225704,23.898302,26.452347,24.666515,43.96585
9132,45660,20.9343,36.63578,37.882633,23.769415,26.461857,25.34861,65.07284
9332,46660,21.21899,37.193317,37.885,23.635048,27.071661,25.8556,68.2983
9532,47660,20.939196,23.271212,37.58632,23.671408,28.098852,30.036245,68.63785
9732,48660,21.146828,23.419538,43.44344,23.66073,33.04123,30.788235,68.73303
9932,49660,54.44922,21.820755,43.519176,23.597715,33.307594,36.44094,27.49827
10132,50660,29.157988,22.014582,45.113823,23.581322,37.03478,30.903927,27.432367
10332,51660,61.4396,21.501316,51.86122,23.684225,31.085148,39.69157,27.320726
10532,52660,59.395645,26.011868,68.184494,23.671705,35.83463,39.137363,31.44314
10732,53660,59.793385,34.995506,68.184494,23.622484,35.600986,41.497536,27.10711
10932,54660,31.227205,34.79077,68.658775,23.437622,35.528385,57.547165,27.135286
11132,55660,31.489168,48.864613,50.939754,23.443377,45.419365,61.474873,26.944832
11332,56660,31.447237,49.619865,52.70557,23.373047,34.821884,69.16917,26.668314
11532,57660,31.370869,56.183052,69.00869,23.357151,35.064552,32.6855,26.466833
11732,58660,31.554077,55.9354,69.16523,23.475597,35.186317,69.16736,26.172562
11932,59660,31.595541,51.38053,69.42106,23.497063,35.430527,69.265076,25.70348
12132,60660,31.459833,58.816917,69.538155,23.837032,35.765198,68.88246,25.91244
12332,61660,31.440609,42.43753,51.257244,23.40662,37.430573,69.13053,25.779465
12532,62660,31.623451,42.653687,50.452633,28.866493,48.35585,69.149796,25.441116
