frame,time_fs,Foil3_Ybin1_edge,Foil3_Ybin2_edge,Foil3_Ybin3_edge,Foil3_Ybin4_edge,Foil3_Ybin5_edge,Foil3_Ybin6_edge,Foil3_Ybin7_edge
120,600,23.160616,22.353516,23.516895,24.273489,22.665863,23.303858,25.26327
320,1600,23.83528,23.193474,23.4098,24.469393,23.232327,22.96661,25.2774
520,2600,23.911814,23.205599,23.426544,24.498392,23.24018,22.96265,24.986778
720,3600,23.955952,23.087852,23.428349,24.340847,23.220772,23.005173,24.499582
920,4600,24.137674,22.831457,23.401548,24.016148,23.236397,23.369026,24.113667
1120,5600,24.150293,22.765896,23.421114,23.78102,23.002102,23.364332,23.831264
1320,6600,24.444117,22.829262,23.452833,23.641014,22.943792,22.88034,23.64312
1520,7600,24.538002,23.029535,23.49081,23.444153,22.919382,22.664083,23.535551
1720,8600,24.269838,22.949472,23.529102,23.30565,22.916533,23.051235,27.346476
1920,9600,24.275415,22.795753,23.583326,23.213528,22.921896,23.05492,28.721392
2120,10600,24.356274,22.860714,23.640402,23.10416,22.944727,23.12164,29.449556
2320,11600,24.5516,22.89922,23.636646,22.99687,22.949848,23.106796,30.215185
2520,12600,24.669,22.9154,23.641495,23.015848,22.955349,23.108486,27.70438
2720,13600,24.69459,22.91711,23.641916,23.458393,22.949924,23.109062,28.543694
2920,14600,24.673912,22.923977,23.64241,23.466734,22.94949,23.06557,27.717854
3120,15600,24.662619,22.796352,23.642687,23.374044,22.933287,23.066156,27.717854
3320,16600,24.508896,22.792408,23.642853,23.375341,22.933258,22.799221,27.717854
3520,17600,24.431257,22.795454,23.645767,23.376257,22.933203,23.10316,27.123322
3720,18600,24.545965,22.918945,23.623123,23.376522,22.943993,23.020199,26.847113
3920,19600,24.8964,22.738932,23.438513,23.35306,23.107403,23.166786,25.800898
4120,20600,24.62344,22.562107,23.580736,23.344635,22.566069,23.318989,25.610289
4320,21600,24.231127,22.287273,23.540297,23.29652,22.535843,23.077047,25.1892
4520,22600,23.555109,22.796776,23.282942,23.250477,22.675608,22.415442,25.05975
4720,23600,22.937918,22.273787,23.43253,22.91284,22.776018,21.953918,22.733599
4920,24600,22.507301,21.694475,23.742613,22.679945,24.367558,21.977604,22.223726
5120,25600,22.885227,21.320704,23.431534,27.556355,24.211065,21.88309,21.606495
5320,26600,22.542316,24.140625,23.018322,33.95954,24.239979,21.74355,22.261442
5520,27600,22.157225,36.54469,22.846281,51.129562,25.940956,46.555626,22.67335
5720,28600,24.210936,38.229244,22.758026,54.942936,27.547815,27.964361,22.310188
5920,29600,24.894014,38.848396,22.628296,57.70551,35.379265,56.733616,23.378103
6120,30600,28.132328,46.399315,22.7145,60.681828,27.349762,58.58889,24.118658
6320,31600,57.58098,56.918583,23.768448,24.648533,28.815475,60.913067,24.746572
6520,32600,58.399536,57.524868,24.692654,61.08901,30.161253,62.207855,25.985199
6720,33600,58.61338,58.434795,26.356255,26.26988,30.154848,63.062668,26.999563
6920,34600,58.74393,59.084835,27.132727,26.65313,31.71846,63.67851,27.20467
7120,35600,59.035397,59.28498,27.607338,26.931513,30.1994,64.685234,27.030584
