time_fs,CIP,SIP,S2IP,FD
1645.000000,0.247368,0.042105,0.163158,0.547368
2645.000000,0.246154,0.015385,0.235897,0.502564
3645.000000,0.210000,0.010000,0.320000,0.460000
4645.000000,0.193237,0.024155,0.367150,0.415459
5645.000000,0.204651,0.027907,0.367442,0.400000
6645.000000,0.207373,0.009217,0.405530,0.377880
7645.000000,0.204444,0.017778,0.404444,0.373333
8645.000000,0.196507,0.026201,0.414847,0.362445
9645.000000,0.194915,0.016949,0.398305,0.389830
10645.000000,0.206612,0.008264,0.421488,0.363636
11645.000000,0.192000,0.024000,0.404000,0.380000
12645.000000,0.200000,0.007843,0.407843,0.384314
13645.000000,0.178030,0.041667,0.386364,0.393939
14645.000000,0.182482,0.029197,0.405109,0.383212
15645.000000,0.186207,0.037931,0.386207,0.389655
16645.000000,0.192810,0.035948,0.359477,0.411765
17645.000000,0.209375,0.009375,0.356250,0.425000
18645.000000,0.197605,0.017964,0.326347,0.458084
19645.000000,0.193642,0.046243,0.286127,0.473988
20645.000000,0.202247,0.039326,0.283708,0.474719
21645.000000,0.215789,0.034211,0.239474,0.510526
22645.000000,0.201511,0.040302,0.246851,0.511335
23645.000000,0.204819,0.033735,0.221687,0.539759
24645.000000,0.190141,0.030516,0.215962,0.563380
25645.000000,0.198630,0.015982,0.207763,0.577626
26645.000000,0.200000,0.017778,0.200000,0.582222
27645.000000,0.194323,0.024017,0.185590,0.596070
28645.000000,0.200864,0.043197,0.181425,0.574514
29645.000000,0.200846,0.029598,0.179704,0.589852
30645.000000,0.197917,0.029167,0.168750,0.604167
31645.000000,0.190283,0.034413,0.165992,0.609312
32645.000000,0.192079,0.033663,0.158416,0.615842
33645.000000,0.193117,0.026769,0.154876,0.625239
34645.000000,0.196226,0.026415,0.160377,0.616981
35645.000000,0.206831,0.018975,0.163188,0.611006
36645.000000,0.192090,0.026365,0.161959,0.619586
37645.000000,0.184358,0.033520,0.162011,0.620112
38645.000000,0.174460,0.041367,0.165468,0.618705
39645.000000,0.181159,0.034420,0.148551,0.635870
40645.000000,0.189716,0.023050,0.143617,0.643617
41645.000000,0.205624,0.028120,0.144112,0.622144
42645.000000,0.198261,0.019130,0.135652,0.646957
43645.000000,0.197574,0.038128,0.128250,0.636049
44645.000000,0.193220,0.030508,0.127119,0.649153
45645.000000,0.196339,0.023295,0.131448,0.648918
46645.000000,0.188333,0.026667,0.138333,0.646667
47645.000000,0.192371,0.021559,0.131012,0.655058
48645.000000,0.186047,0.023256,0.131229,0.659468
49645.000000,0.187809,0.021417,0.130148,0.660626
50645.000000,0.181818,0.022329,0.127592,0.668262
51645.000000,0.181240,0.028617,0.122417,0.667727
52645.000000,0.175355,0.028436,0.129542,0.666667
53645.000000,0.170382,0.027070,0.128981,0.673567
54645.000000,0.170111,0.025437,0.149444,0.655008
55645.000000,0.170047,0.023401,0.140406,0.666147
56645.000000,0.170807,0.018634,0.145963,0.664596
57645.000000,0.165109,0.034268,0.140187,0.660436
58645.000000,0.161695,0.040816,0.130298,0.667190
59645.000000,0.171924,0.018927,0.129338,0.679811
60645.000000,0.170846,0.021944,0.137931,0.669279
61645.000000,0.179448,0.010736,0.130368,0.679448
62645.000000,0.177642,0.027565,0.133231,0.661562
63645.000000,0.176563,0.026563,0.135937,0.660937
64645.000000,0.172684,0.021978,0.136578,0.668760
65645.000000,0.175824,0.032967,0.141287,0.649922
66645.000000,0.169753,0.018519,0.132716,0.679012
67645.000000,0.170579,0.020344,0.148670,0.660407
68645.000000,0.173291,0.017488,0.149444,0.659777
69645.000000,0.178344,0.019108,0.133758,0.668790
70645.000000,0.168254,0.011111,0.133333,0.687302
71645.000000,0.167197,0.009554,0.140127,0.683121
72645.000000,0.162075,0.019449,0.139384,0.679092
