frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
96,480,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.988135,0.992352,0.990947,0.991429,0.989322,0,0,0,0,0,1287,1339,1427,1520,1362
296,1480,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.998373,0.976348,1.015667,0.999461,0.997297,20,-40,40,16,16,1614,1588,1621,1626,1620
496,2480,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.999460,0.956308,1.037419,1.000000,0.999458,2,-40,41,0,3,1621,1601,1614,1623,1614
696,3480,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.004981,0.981898,1.012236,0.992209,1.006229,11,45,-44,-20,9,1577,1593,1568,1567,1536
896,4480,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.015123,1.000576,1.000000,0.973510,1.015608,20,33,-22,-40,20,1357,1507,1534,1582,1628
1096,5480,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.024563,0.998897,1.000542,0.957818,1.024889,18,0,0,-40,19,1602,1583,1615,1548,1578
1296,6480,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.001079,1.000000,1.023206,0.944904,1.003229,-46,1,42,-40,-43,1624,1608,1623,1585,1628
1496,7480,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.000000,1.000000,1.043288,0.928777,1.001102,-2,-2,41,-40,-7,1611,1590,1595,1511,1585
1696,8480,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.005920,0.989071,1.015127,0.976085,1.006091,11,-21,-55,84,9,1628,1600,1621,1568,1576
1896,9480,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.012776,0.969994,1.002228,0.996528,1.017877,20,-40,-25,38,21,1492,1503,1565,1498,1560
2096,10480,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.026344,0.952721,1.000000,1.000572,1.026908,19,-40,-3,4,19,1630,1589,1606,1517,1591
2296,11480,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.003222,0.935912,1.023797,1.001115,1.002193,-44,-40,44,-1,-46,1632,1580,1619,1564,1594
2496,12480,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.000539,0.918424,1.046070,1.000000,1.000000,-10,-40,42,-2,-4,1624,1572,1615,1565,1626
2696,13480,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.004862,0.975322,1.016721,0.988307,1.005949,8,96,-55,-21,10,1621,1553,1624,1566,1619
2896,14480,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.015242,0.997066,0.999431,0.965478,1.014840,21,39,-29,-40,20,1607,1474,1527,1508,1522
3096,15480,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.023959,1.000000,1.001659,0.947062,1.025150,19,4,1,-40,18,1523,1538,1578,1489,1599
3296,16480,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.002521,1.003168,1.015677,0.936111,1.000000,-43,0,43,-40,-44,960,717,982,1210,1317
