frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
258,1290,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,0.994152,0.992670,0.992350,0.990111,0.994203,0,0,0,0,0,1138,1407,1208,1388,1150
458,2290,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.001664,0.984958,0.998891,0.983996,1.001108,14,-20,13,-20,13,1573,1565,1574,1582,1575
658,3290,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.011425,0.977460,1.008315,0.978616,1.006041,17,-20,14,-20,9,1608,1589,1574,1547,1591
858,4290,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.017363,0.968427,1.014563,0.970427,1.014069,11,-20,15,-20,15,1613,1607,1624,1596,1618
1058,5290,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.024604,0.965537,1.018529,0.962348,1.022803,14,-20,12,-20,16,1599,1540,1551,1576,1568
1258,6290,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.028279,0.955363,1.023175,0.951747,1.028895,15,-20,9,-20,16,1432,1383,1496,1573,1535
1458,7290,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.037257,0.945706,1.032345,0.944934,1.037838,13,-20,13,-20,14,1622,1575,1625,1586,1620
1658,8290,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.044744,0.936604,1.039892,0.939411,1.045381,14,-20,14,-20,14,1625,1584,1625,1569,1621
1858,9290,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.051868,0.930126,1.043278,0.933492,1.045951,16,-20,13,-20,12,1563,1516,1503,1454,1511
2058,10290,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.050978,0.931145,1.036892,0.923981,1.052515,16,-20,11,-20,15,1202,1019,1044,1046,1122
2258,11290,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.059809,0.923032,1.055020,0.927527,1.060641,13,-20,13,-20,16,1442,1485,1533,1343,1485
2458,12290,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.072350,0.916955,1.063701,0.919586,1.075358,15,-20,14,-20,17,1553,1504,1591,1511,1588
