frame,time_fs,Foil3_Ybin1_edge,Foil3_Ybin2_edge,Foil3_Ybin3_edge,Foil3_Ybin4_edge,Foil3_Ybin5_edge,Foil3_Ybin6_edge,Foil3_Ybin7_edge
258,1290,23.314365,22.28135,22.36774,22.126043,25.106377,22.147377,23.566936
458,2290,24.145447,24.164755,23.955784,23.771927,25.213118,24.38753,23.66185
658,3290,24.218048,24.165651,24.131895,23.94809,25.193514,24.457458,23.747358
858,4290,24.251646,24.17615,24.84311,23.971535,25.030489,24.481451,23.762949
1058,5290,24.267818,24.001987,24.55087,23.937513,24.443775,24.532665,23.829163
1258,6290,24.27241,23.932997,24.28003,23.910303,23.797508,24.629221,24.241789
1458,7290,24.270021,23.642408,24.026009,23.921932,23.295906,24.67626,24.480835
1658,8290,24.33991,23.37143,24.04895,23.857681,23.197382,24.605648,25.01401
1858,9290,24.40766,23.270508,24.141851,23.83242,23.513514,24.532188,25.535799
2058,10290,24.436811,23.142254,24.206554,23.798635,23.765131,24.519585,25.581055
2258,11290,24.448372,22.967815,24.265688,23.79177,24.066324,24.28634,25.62014
2458,12290,24.472134,22.884876,24.227793,23.761251,24.152412,24.008995,25.81109
2658,13290,24.520573,22.81561,24.244236,23.752457,24.125519,23.698313,26.236637
2858,14290,24.621387,22.84673,24.170277,23.619993,24.760464,23.424559,26.341768
3058,15290,24.726013,23.044872,24.174513,23.596075,24.986942,23.17626,26.177864
3258,16290,24.774942,23.41906,24.341064,23.78737,25.252913,22.879612,26.23018
3458,17290,24.950071,23.283651,25.121775,23.688427,25.096348,22.475742,25.894493
3658,18290,25.192204,22.911226,25.664537,23.507269,25.043997,21.742996,25.643173
3858,19290,24.948696,23.014418,25.280457,23.239145,24.911377,21.24219,25.551853
4058,20290,24.479862,22.760313,24.077682,23.306562,24.534218,21.24265,25.437782
4258,21290,24.639593,22.083097,23.602747,23.213299,24.743572,21.693293,25.540556
4458,22290,24.65185,21.960047,23.077715,23.104645,25.340292,21.707508,25.742477
4658,23290,24.250513,21.775747,23.384462,23.017792,25.37347,21.757881,27.263742
4858,24290,24.08312,21.387457,23.253283,24.523869,26.568268,22.141344,27.947378
5058,25290,24.471113,26.143806,23.785353,28.88396,26.77645,22.189793,29.108196
5258,26290,24.51712,26.74713,25.761332,23.525007,26.90844,22.180464,28.866234
5458,27290,26.987217,26.413696,33.198864,23.133364,27.184172,22.06747,29.127832
5658,28290,26.701344,31.179834,36.87196,23.007954,26.916786,22.004446,28.872246
5858,29290,26.535381,31.65389,39.210037,22.825312,26.918715,21.835724,28.741974
6058,30290,26.826342,33.132446,46.96662,22.749554,27.369595,21.212418,28.365015
6258,31290,29.213652,29.125183,49.45741,22.830153,27.47238,21.06929,27.394049
6458,32290,29.35564,29.59512,54.12207,22.626484,27.258026,21.06244,26.762169
6658,33290,29.266356,39.26081,57.019054,22.752039,27.09871,21.056957,27.237637
6858,34290,27.069899,45.70604,60.65393,22.876856,26.945337,21.056604,27.003538
7058,35290,30.356842,36.14636,50.18311,22.782095,26.702356,20.941095,27.300625
7258,36290,29.873363,40.71859,65.330025,22.792885,26.64382,21.049782,27.055002
7458,37290,30.682013,46.804657,67.62131,22.731869,26.570736,21.092012,26.955128
7658,38290,33.48407,50.17163,67.62131,23.19828,31.078932,21.940315,26.729437
7858,39290,23.779087,50.359898,32.432354,28.422543,31.01313,22.066881,26.578693
8058,40290,23.656984,49.919598,32.758175,27.798784,30.786823,22.00032,26.772015
8258,41290,23.646433,50.434414,25.08294,27.15497,32.82874,21.917662,27.778316
8458,42290,28.541155,63.26397,25.656736,27.327774,32.909267,21.93063,29.307611
8658,43290,38.422024,63.104855,34.800003,27.029743,43.47182,22.225948,29.98837
8858,44290,48.730858,65.553055,26.443443,25.559452,34.018024,22.202763,30.023539
9058,45290,48.967285,65.86539,27.426702,31.096025,34.596386,22.017172,30.20162
9258,46290,49.944122,66.09424,32.05502,25.289114,34.736973,22.37036,30.686262
9458,47290,50.825497,50.89587,32.554897,25.306286,26.00422,22.989977,38.42988
9658,48290,53.24938,50.906128,32.60192,43.324474,26.225653,23.490658,36.77341
9858,49290,53.24938,51.76404,32.956608,46.64753,35.343506,23.871662,49.85554
10058,50290,44.899868,52.917603,32.85686,47.14685,27.103588,24.848717,51.395065
10258,51290,44.53917,52.816708,32.717052,28.868696,27.140562,25.373928,35.753086
10458,52290,44.404583,59.610287,69.269844,28.828897,27.254557,25.445332,57.169636
10658,53290,43.320114,54.420967,69.48593,35.097763,27.45018,25.380005,59.17034
10858,54290,52.17694,53.717777,69.4544,37.065647,27.518063,25.07975,42.661495
11058,55290,52.354443,53.93665,35.23827,37.7548,27.53295,24.88473,41.545357
11258,56290,54.93056,68.66674,69.45485,29.356644,27.590183,24.803688,31.792728
11458,57290,59.159916,69.17204,35.249393,39.815876,27.592705,24.742289,43.48092
11658,58290,61.403908,67.45704,35.385605,57.58292,27.627216,24.814512,31.95638
11858,59290,63.93897,67.750084,36.478676,41.37203,27.581106,24.80776,40.08061
12058,60290,64.20491,67.962975,37.306248,41.87171,27.437225,24.739529,41.47022
12258,61290,67.157326,68.035515,37.68506,47.181385,27.347631,24.544367,39.863136
12458,62290,67.17641,69.19123,69.45514,43.890274,27.30746,24.303785,31.988586
12658,63290,47.060364,69.31396,69.21395,42.292248,27.317223,24.275297,32.23625
12858,64290,46.919292,68.55982,69.29484,47.067207,27.410872,24.155432,39.763367
13058,65290,54.57992,69.50408,34.418736,37.92392,27.419216,24.170385,39.62026
13258,66290,54.582638,68.55174,35.88199,47.263874,27.311907,24.031902,39.645744
13458,67290,54.33676,68.55127,36.53701,39.763313,26.983223,24.034575,41.117912
13658,68290,28.085323,34.52321,36.701294,40.123066,26.885147,24.17972,31.51
13858,69290,67.0669,32.454952,37.276974,42.496677,26.815765,24.074663,30.819796
14058,70290,67.049194,27.785961,38.177967,63.0349,27.0259,24.098213,32.284412
14258,71290,42.72519,27.7741,39.16824,63.086636,26.79806,24.05187,32.30684
14458,72290,41.587482,27.8905,42.540985,63.156532,26.458805,24.177101,44.896736
14658,73290,33.023502,34.6749,60.33932,63.41582,26.008095,24.122303,39.53168
14858,74290,56.40797,68.41142,43.194828,63.504555,25.838192,24.006372,51.5547
15058,75290,56.388626,66.1177,69.42532,63.59984,26.021358,24.1003,69.19804
15258,76290,62.19879,68.477104,69.42386,55.48337,25.842323,24.03654,69.29915
15458,77290,62.173588,68.50992,69.4233,55.504818,25.62561,24.253244,55.481537
15658,78290,62.204887,68.50989,46.363937,57.4917,25.742582,24.39779,57.93243
15858,79290,62.3049,68.593216,45.305183,58.93994,25.83237,24.449099,58.396698
16058,80290,62.340492,68.75359,46.04403,61.81754,25.82272,24.502245,68.61254
16258,81290,62.368378,68.80101,47.095856,68.60777,30.98846,24.414217,59.979668
16458,82290,62.412,68.81533,46.55388,69.033646,31.409315,24.412603,68.81036
16658,83290,49.659645,31.666002,63.888607,69.335976,25.629662,24.498419,31.48965
16858,84290,63.308315,68.884026,43.938484,46.69664,33.690647,24.47574,32.352867
17058,85290,67.72069,68.88329,63.92691,69.491264,33.42934,23.91517,69.01181
17258,86290,67.745094,69.18627,69.29671,69.50659,33.28544,23.814672,69.05628
17458,87290,67.75011,69.24176,64.111374,67.573784,26.11743,23.72452,40.002274
17658,88290,28.493618,43.86608,69.365295,69.37996,67.73774,25.745071,69.21234
17858,89290,67.83999,69.24176,69.3685,69.474266,67.73774,25.93271,43.155235
18058,90290,68.10535,69.24176,68.903366,69.24778,68.629776,26.474674,66.771675
18258,91290,68.12481,69.24176,69.1443,69.07737,69.15105,30.240477,68.58236
18458,92290,68.12754,69.24176,69.14428,69.24727,69.338135,66.78194,68.58236
18658,93290,68.23635,69.24176,69.140656,69.27472,69.33816,26.709026,68.73349
18858,94290,29.168472,33.275597,54.710873,69.33468,69.30724,39.149048,69.36062
19058,95290,68.452415,69.24176,54.84298,69.24636,69.286255,40.483364,69.25232
19258,96290,68.46644,69.24176,69.06316,69.395996,69.506516,47.26904,69.26367
