frame,time_fs,Foil3_Ybin1_edge,Foil3_Ybin2_edge,Foil3_Ybin3_edge,Foil3_Ybin4_edge,Foil3_Ybin5_edge,Foil3_Ybin6_edge,Foil3_Ybin7_edge
247,1235,22.410667,22.15335,23.747635,22.210482,22.166866,22.237915,22.184711
447,2235,24.0847,23.848162,25.849377,24.224306,24.380499,24.794016,23.522058
647,3235,24.088396,23.703007,25.956726,24.234169,24.48942,24.858418,23.56562
847,4235,24.091034,23.707476,23.88634,24.231752,24.498787,24.820744,23.559725
1047,5235,24.093203,23.708372,23.893513,24.237509,24.54252,24.744938,23.567133
1247,6235,24.03386,23.707079,23.76844,24.247505,24.501657,24.744556,23.522896
1447,7235,23.999485,23.704786,23.789536,24.258074,24.525047,24.744175,23.537796
1647,8235,23.99509,23.705322,23.794436,24.233225,24.37994,24.743793,23.539167
1847,9235,23.967169,23.704964,23.808722,24.24432,24.34672,24.743412,23.561039
2047,10235,23.95359,23.708107,23.815638,24.25112,24.360046,24.389118,23.587439
2247,11235,23.872953,23.96794,23.82141,24.262886,24.378874,24.388836,23.612688
2447,12235,23.897993,24.211912,23.839441,24.2011,24.368498,24.39138,23.623
2647,13235,23.915773,24.334078,23.841452,24.208706,24.389185,24.422745,23.590979
2847,14235,23.99202,24.348612,23.8438,24.233917,24.398272,23.939907,23.521646
3047,15235,23.949476,24.34926,23.84474,24.07629,24.406582,24.505508,23.490807
3247,16235,23.933937,24.350187,23.847292,24.267273,24.432217,24.527672,23.3348
3447,17235,23.92249,24.350609,23.85021,24.323242,24.459366,24.53245,23.297092
3647,18235,23.880735,24.351055,23.85539,24.355171,24.461872,24.510426,23.296036
3847,19235,23.808443,24.351358,23.85697,24.361101,24.472025,24.512014,23.15151
4047,20235,23.816732,24.351742,23.858505,24.372952,24.401926,24.564207,23.193508
4247,21235,23.829695,24.351948,23.86063,24.376411,24.407045,24.573267,23.22106
4447,22235,23.81526,24.352303,23.861467,24.378893,24.37613,24.58127,23.225826
4647,23235,23.81538,24.35251,23.861843,24.389442,24.333078,24.585245,23.214836
4847,24235,23.81739,24.35305,23.832195,24.267157,24.327982,24.651392,23.20996
5047,25235,23.804514,24.353527,23.8334,24.246622,24.350117,24.65606,23.209915
5247,26235,23.79114,24.354288,23.833754,24.162405,24.338495,24.675333,23.18873
5447,27235,23.776487,24.333609,23.818373,24.151192,24.189123,24.719555,23.201567
5647,28235,23.747616,24.33435,23.819529,24.155052,24.132404,23.597013,23.220182
5847,29235,23.693947,24.313566,23.8209,24.155092,24.036823,23.63818,23.286337
6047,30235,23.609396,24.162504,23.821453,24.154987,24.011803,23.638306,23.306938
6247,31235,23.599627,24.148403,23.821705,24.154993,24.014177,23.63833,23.324057
6447,32235,23.613506,24.125345,23.822107,24.045353,24.016542,23.63843,23.328266
6647,33235,23.624617,24.133553,23.822227,24.027401,24.021242,23.638662,23.331545
6847,34235,23.660074,24.151676,23.822351,24.007591,24.02316,23.638906,23.33453
7047,35235,23.66754,24.15176,23.822416,24.005226,24.031698,23.639503,23.381706
7247,36235,23.692476,24.15464,23.770145,24.004845,24.032194,23.641611,23.402222
7447,37235,23.610722,24.154196,23.746315,23.982317,24.043076,23.64307,23.41207
7647,38235,23.599215,24.097662,23.747091,23.992172,24.056528,23.645147,23.41585
7847,39235,23.918022,24.064579,23.75156,24.00244,24.11488,23.649702,23.418966
8047,40235,24.11865,24.036081,23.754662,24.00837,24.13165,23.656391,23.404842
8247,41235,24.21303,23.830166,23.7571,24.00802,24.140728,23.682407,23.383245
8447,42235,24.218098,23.829405,23.738083,24.007639,24.141369,23.689249,23.305622
8647,43235,24.1471,23.807604,23.74696,24.007257,24.111227,23.690136,23.236639
8847,44235,24.118519,23.778467,23.751442,24.006876,24.10505,23.691463,23.175293
9047,45235,24.106895,23.750315,23.752502,24.006495,24.099083,23.692205,23.150589
9247,46235,24.096273,23.746845,23.75341,24.006113,24.096752,23.692392,23.14003
9447,47235,23.942694,23.746464,23.75375,24.005732,24.097013,23.692482,23.14437
9647,48235,23.823145,23.73368,23.754293,24.00535,24.097542,23.693077,23.135384
9847,49235,23.83492,23.734896,23.754587,23.996805,24.09753,23.693615,23.143385
10047,50235,23.851719,23.726427,23.755243,23.996424,24.098349,23.694426,23.149035
10247,51235,23.872143,23.725206,23.757265,23.996042,24.098557,23.694895,23.155853
10447,52235,23.88998,23.725538,23.75855,23.99566,24.098467,23.695581,23.178823
10647,53235,23.917774,23.725157,23.759617,23.99528,24.098392,23.696175,23.1813
10847,54235,23.95721,23.725517,23.760666,23.994898,24.099033,23.729677,23.192865
11047,55235,23.958967,23.74071,23.76671,23.994516,24.099243,23.792343,23.235262
11247,56235,23.953745,23.784452,23.76553,23.994135,24.099966,23.919085,23.237408
11447,57235,23.956306,23.83324,23.797422,23.844456,24.101625,23.92902,23.227636
11647,58235,23.929043,23.978832,23.80657,23.867823,24.11651,23.93144,23.226112
11847,59235,23.929626,24.063951,23.778778,23.867441,23.844429,23.933859,23.239998
12047,60235,23.869509,24.132748,23.749414,23.86706,23.740097,23.942665,23.246738
12247,61235,23.851124,24.18995,23.703613,23.866678,23.699993,23.958641,23.252834
12447,62235,23.81695,24.261122,23.671108,23.866297,23.70966,24.002176,23.249317
12647,63235,23.7376,24.336163,23.707561,23.865915,23.710114,24.015934,23.245392
12847,64235,23.677298,24.449265,23.69723,23.865534,23.711845,24.017641,23.254908
13047,65235,23.65314,24.5588,23.691353,23.865152,23.55589,24.020647,23.256567
13247,66235,23.641882,24.602339,23.673832,23.864902,23.558578,24.043749,23.254803
13447,67235,23.550592,24.61116,23.662333,23.86554,23.5599,24.07118,23.259506
13647,68235,23.532288,24.611965,23.667458,23.866505,23.561754,24.084656,23.279623
13847,69235,23.542635,24.458109,23.66819,23.868296,23.563189,24.000078,23.271133
14047,70235,23.552801,24.31035,23.618702,23.868404,23.565113,24.025764,23.30551
14247,71235,23.557655,24.303604,23.598589,23.868948,23.56584,24.046991,23.31685
