time_fs,mode,setpoint_or_current,CIP,SIP,S2IP,FD
1765.000000,CC,-0.040000,0.339031,0.079772,0.188034,0.393162
2765.000000,CC,-0.040000,0.406780,0.028249,0.262712,0.302260
3765.000000,CC,-0.040000,0.412088,0.027473,0.310440,0.250000
4765.000000,CC,-0.040000,0.423913,0.035326,0.323370,0.217391
5765.000000,CC,-0.040000,0.436658,0.029650,0.320755,0.212938
6765.000000,CC,-0.040000,0.443864,0.018277,0.347258,0.190601
7765.000000,CC,-0.040000,0.444444,0.020672,0.359173,0.175711
8765.000000,CC,-0.040000,0.428928,0.039900,0.341646,0.189526
9765.000000,CC,-0.040000,0.429280,0.022333,0.374690,0.173697
10765.000000,CC,-0.040000,0.422705,0.026570,0.371981,0.178744
11765.000000,CC,-0.040000,0.424528,0.016509,0.382075,0.176887
12765.000000,CC,-0.040000,0.417808,0.022831,0.376712,0.182648
13765.000000,CC,-0.040000,0.421978,0.032967,0.364835,0.180220
14765.000000,CC,-0.040000,0.426049,0.015453,0.384106,0.174393
15765.000000,CC,-0.040000,0.422993,0.013015,0.399132,0.164859
16765.000000,CC,-0.040000,0.402570,0.029979,0.394004,0.173448
17765.000000,CC,-0.040000,0.390593,0.026585,0.384458,0.198364
18765.000000,CC,-0.040000,0.396794,0.020040,0.378758,0.204409
19765.000000,CC,-0.040000,0.408451,0.006036,0.392354,0.193159
20765.000000,CC,-0.040000,0.406312,0.015779,0.396450,0.181460
21765.000000,CC,-0.040000,0.405405,0.019305,0.389961,0.185328
22765.000000,CC,-0.040000,0.398113,0.018868,0.377358,0.205660
23765.000000,CC,-0.040000,0.395564,0.024030,0.386322,0.194085
24765.000000,CC,-0.040000,0.405204,0.013011,0.377323,0.204461
25765.000000,CC,-0.040000,0.395948,0.016575,0.386740,0.200737
26765.000000,CC,-0.040000,0.391304,0.014493,0.389493,0.204710
27765.000000,CC,-0.040000,0.386643,0.024605,0.370826,0.217926
28765.000000,CC,-0.040000,0.389744,0.023932,0.360684,0.225641
29765.000000,CC,-0.040000,0.391081,0.013722,0.370497,0.224700
30765.000000,CC,-0.040000,0.394872,0.030769,0.352137,0.222222
31765.000000,CC,-0.040000,0.393333,0.020000,0.351667,0.235000
32765.000000,CC,-0.040000,0.384992,0.026101,0.360522,0.228385
33765.000000,CC,-0.040000,0.381643,0.025765,0.339775,0.252818
34765.000000,CC,-0.040000,0.394525,0.022544,0.349436,0.233494
35765.000000,CC,-0.040000,0.395161,0.019355,0.356452,0.229032
36765.000000,CC,-0.040000,0.407643,0.015924,0.345541,0.230892
37765.000000,CC,-0.040000,0.405280,0.013975,0.343168,0.237578
38765.000000,CC,-0.040000,0.411491,0.015528,0.340062,0.232919
39765.000000,CC,-0.040000,0.414861,0.012384,0.335913,0.236842
40765.000000,CC,-0.040000,0.412943,0.018490,0.328197,0.240370
41765.000000,CC,-0.040000,0.403727,0.017081,0.341615,0.237578
42765.000000,CC,-0.040000,0.410769,0.012308,0.350769,0.226154
43765.000000,CC,-0.040000,0.405819,0.012251,0.343032,0.238897
44765.000000,CC,-0.040000,0.415152,0.010606,0.339394,0.234848
45765.000000,CC,-0.040000,0.417549,0.012103,0.331316,0.239032
46765.000000,CC,-0.040000,0.421922,0.010511,0.324324,0.243243
47765.000000,CC,-0.040000,0.419118,0.017647,0.317647,0.245588
48765.000000,CC,-0.040000,0.421669,0.016105,0.314788,0.247438
49765.000000,CC,-0.040000,0.425000,0.005882,0.317647,0.251471
50765.000000,CC,-0.040000,0.421439,0.005874,0.321586,0.251101
51765.000000,CC,-0.040000,0.416303,0.014556,0.311499,0.257642
52765.000000,CC,-0.040000,0.407781,0.018732,0.308357,0.265130
53765.000000,CC,-0.040000,0.406609,0.015805,0.304598,0.272988
54765.000000,CC,-0.040000,0.405983,0.014245,0.304843,0.274929
55765.000000,CC,-0.040000,0.407355,0.016973,0.301273,0.274399
56765.000000,CC,-0.040000,0.401408,0.025352,0.301408,0.271831
57765.000000,CC,-0.040000,0.400279,0.020921,0.297071,0.281729
58765.000000,CC,-0.040000,0.406639,0.017981,0.286307,0.289073
59765.000000,CC,-0.040000,0.406380,0.013870,0.298197,0.281553
60765.000000,CC,-0.040000,0.408333,0.012500,0.294444,0.284722
61765.000000,CC,-0.040000,0.407407,0.019204,0.289438,0.283951
62765.000000,CC,-0.040000,0.411523,0.019204,0.282579,0.286694
63765.000000,CC,-0.040000,0.414501,0.013680,0.290014,0.281806
64765.000000,CC,-0.040000,0.404372,0.019126,0.289617,0.286885
65765.000000,CC,-0.040000,0.407056,0.012212,0.286296,0.294437
66765.000000,CC,-0.040000,0.413514,0.014865,0.277027,0.294595
67765.000000,CC,-0.040000,0.413190,0.013459,0.283984,0.289367
68765.000000,CC,-0.040000,0.403462,0.018642,0.282290,0.295606
69765.000000,CC,-0.040000,0.406417,0.020053,0.287433,0.286096
70765.000000,CC,-0.040000,0.409814,0.015915,0.283820,0.290451
71765.000000,CC,-0.040000,0.408730,0.017196,0.281746,0.292328
