frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
219,1095,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,0.993569,0.995004,0.993539,0.992733,0.996045,0,0,0,0,0,1325,1171,1163,1146,1287
419,2095,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.000000,0.986659,1.003681,0.987005,1.000000,14,-20,16,-20,11,1485,1494,1400,1386,1236
619,3095,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.002008,0.981197,1.008183,0.984336,1.009866,12,-20,14,-20,14,766,940,992,983,1189
819,4095,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.013873,0.972191,1.019241,0.972656,1.019241,12,-20,14,-20,14,1572,1568,1589,1562,1589
1019,5095,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.017123,0.966239,1.023102,0.965539,1.022492,14,-20,13,-20,13,1230,1251,1285,1337,1415
1219,6095,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.026593,0.957079,1.031969,0.956032,1.034330,10,-20,11,-20,20,1575,1564,1553,1544,1576
1419,7095,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.035156,0.951192,1.040154,0.949714,1.040724,16,-20,14,-20,11,1562,1532,1588,1520,1538
1619,8095,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.036737,0.943646,1.046459,0.938329,1.050612,12,-20,14,-20,16,1376,1509,1535,1505,1568
1819,9095,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.048615,0.933673,1.051236,0.933292,1.048157,14,-20,19,-20,11,1539,1338,1429,1374,1452
2019,10095,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.055952,0.928291,1.063717,0.928895,1.054701,16,-20,15,-20,11,1593,1555,1465,1317,1525
2219,11095,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.057413,0.930736,1.067935,0.925681,1.059088,13,-20,15,-20,13,1355,1387,1242,1129,1107
2419,12095,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.060290,0.924211,1.067465,0.917681,1.074548,11,-20,16,-20,16,1495,1195,1356,1167,1098
2619,13095,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.071429,0.914540,1.082516,0.911602,1.077106,15,-20,11,-20,14,1548,1455,1503,1399,1456
2819,14095,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.066197,0.918142,1.069465,0.899719,1.070053,12,-20,15,-20,14,480,674,1152,1196,912
3019,15095,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.076258,0.923203,1.083333,0.907912,1.090449,14,-20,13,-20,15,1042,994,1330,1312,1152
