time_fs,mode,setpoint_or_current,CIP,SIP,S2IP,FD
2085.000000,CC,0.020000,0.315961,0.091205,0.162866,0.429967
3085.000000,CC,0.020000,0.358255,0.040498,0.239875,0.361371
4085.000000,CC,0.020000,0.371257,0.035928,0.293413,0.299401
5085.000000,CC,0.020000,0.382857,0.025714,0.331429,0.260000
6085.000000,CC,0.020000,0.367688,0.041783,0.331476,0.259053
7085.000000,CC,0.020000,0.382114,0.021680,0.338753,0.257453
8085.000000,CC,0.020000,0.390501,0.015831,0.345646,0.248021
9085.000000,CC,0.020000,0.378517,0.030691,0.335038,0.255754
10085.000000,CC,0.020000,0.381418,0.026895,0.320293,0.271394
11085.000000,CC,0.020000,0.365741,0.023148,0.305556,0.305556
12085.000000,CC,0.020000,0.353201,0.046358,0.282561,0.317881
13085.000000,CC,0.020000,0.334038,0.046512,0.264271,0.355180
14085.000000,CC,0.020000,0.323887,0.046559,0.263158,0.366397
15085.000000,CC,0.020000,0.318352,0.043071,0.234082,0.404494
16085.000000,CC,0.020000,0.305654,0.056537,0.219081,0.418728
17085.000000,CC,0.020000,0.322204,0.055092,0.208681,0.414023
18085.000000,CC,0.020000,0.323944,0.051643,0.192488,0.431925
19085.000000,CC,0.020000,0.313697,0.054492,0.185567,0.446244
20085.000000,CC,0.020000,0.309958,0.039271,0.186536,0.464236
21085.000000,CC,0.020000,0.315143,0.051842,0.159618,0.473397
22085.000000,CC,0.020000,0.289720,0.058745,0.160214,0.491322
23085.000000,CC,0.020000,0.297680,0.055412,0.155928,0.490979
24085.000000,CC,0.020000,0.294872,0.053846,0.156410,0.494872
25085.000000,CC,0.020000,0.286255,0.061791,0.156368,0.495586
26085.000000,CC,0.020000,0.281726,0.063452,0.152284,0.502538
27085.000000,CC,0.020000,0.274112,0.054569,0.163706,0.507614
28085.000000,CC,0.020000,0.281407,0.047739,0.155779,0.515075
29085.000000,CC,0.020000,0.285360,0.055831,0.142680,0.516129
30085.000000,CC,0.020000,0.291563,0.033499,0.151365,0.523573
31085.000000,CC,0.020000,0.285185,0.043210,0.144444,0.527160
32085.000000,CC,0.020000,0.273284,0.050245,0.142157,0.534314
33085.000000,CC,0.020000,0.266010,0.066502,0.140394,0.527094
34085.000000,CC,0.020000,0.281566,0.042929,0.142677,0.532828
35085.000000,CC,0.020000,0.285181,0.042341,0.144458,0.528020
36085.000000,CC,0.020000,0.283375,0.042821,0.142317,0.531486
37085.000000,CC,0.020000,0.270648,0.054638,0.141042,0.533672
38085.000000,CC,0.020000,0.273750,0.053750,0.137500,0.535000
39085.000000,CC,0.020000,0.272265,0.048346,0.139949,0.539440
40085.000000,CC,0.020000,0.268790,0.044586,0.146497,0.540127
41085.000000,CC,0.020000,0.257477,0.044213,0.152146,0.546164
42085.000000,CC,0.020000,0.258023,0.053915,0.143774,0.544288
43085.000000,CC,0.020000,0.258398,0.047804,0.151163,0.542636
44085.000000,CC,0.020000,0.268229,0.044271,0.141927,0.545573
45085.000000,CC,0.020000,0.249012,0.060606,0.148880,0.541502
46085.000000,CC,0.020000,0.258760,0.051213,0.146900,0.543127
47085.000000,CC,0.020000,0.251001,0.052069,0.150868,0.546061
48085.000000,CC,0.020000,0.244898,0.051701,0.138776,0.564626
49085.000000,CC,0.020000,0.241333,0.049333,0.142667,0.566667
50085.000000,CC,0.020000,0.240572,0.045514,0.149545,0.564369
51085.000000,CC,0.020000,0.236339,0.040984,0.151639,0.571038
52085.000000,CC,0.020000,0.240331,0.037293,0.151934,0.570442
53085.000000,CC,0.020000,0.246132,0.046414,0.143460,0.563994
54085.000000,CC,0.020000,0.242978,0.044944,0.144663,0.567416
55085.000000,CC,0.020000,0.239598,0.054519,0.140603,0.565280
56085.000000,CC,0.020000,0.244006,0.043724,0.135402,0.576869
57085.000000,CC,0.020000,0.227143,0.045714,0.142857,0.584286
58085.000000,CC,0.020000,0.228654,0.040521,0.134588,0.596237
59085.000000,CC,0.020000,0.225575,0.038793,0.143678,0.591954
60085.000000,CC,0.020000,0.220760,0.032164,0.156433,0.590643
61085.000000,CC,0.020000,0.212922,0.038179,0.154185,0.594714
62085.000000,CC,0.020000,0.205167,0.036474,0.150456,0.607903
63085.000000,CC,0.020000,0.209627,0.035714,0.155280,0.599379
64085.000000,CC,0.020000,0.204931,0.040062,0.146379,0.608629
65085.000000,CC,0.020000,0.206022,0.038035,0.153724,0.602219
66085.000000,CC,0.020000,0.215190,0.037975,0.151899,0.594937
67085.000000,CC,0.020000,0.211823,0.034483,0.157635,0.596059
68085.000000,CC,0.020000,0.205686,0.041806,0.155518,0.596990
69085.000000,CC,0.020000,0.210793,0.028668,0.156830,0.603710
70085.000000,CC,0.020000,0.207547,0.027444,0.156089,0.608919
71085.000000,CC,0.020000,0.201413,0.031802,0.173145,0.593640
