frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
92,460,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.998095,0.997819,0.996072,0.996518,0.998067,0,0,0,0,0,820,687,1043,1493,1322
292,1460,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.000000,0.982103,1.017458,0.998918,1.000000,4,-40,40,6,5,1565,1558,1603,1618,1607
492,2460,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.000559,0.962899,1.036793,0.999442,1.000000,0,-40,40,1,0,1560,1495,1591,1561,1603
692,3460,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.000000,0.942200,1.057001,1.000550,1.000000,1,-40,41,-1,-1,1546,1552,1577,1587,1604
892,4460,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.000000,0.925579,1.081798,1.000000,1.000543,0,-40,41,0,0,1612,1584,1616,1612,1612
1092,5460,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.000547,0.911880,1.102074,1.000543,1.000544,-1,-37,41,0,0,1599,1563,1602,1610,1609
1292,6460,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.011891,0.992472,1.010638,0.982652,1.010977,20,145,-174,-40,20,1536,1497,1556,1557,1592
1492,7460,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.023204,0.999424,0.998874,0.967045,1.019264,20,13,-20,-40,20,1580,1505,1547,1530,1535
1692,8460,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.033370,0.999440,1.000553,0.948295,1.031216,21,2,0,-39,19,1598,1557,1579,1530,1596
1892,9460,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.045084,1.000000,1.000000,0.928211,1.042035,22,0,-1,-40,21,1611,1570,1603,1553,1578
2092,10460,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.055617,1.000000,1.000544,0.909142,1.053348,21,-1,-1,-41,19,1586,1555,1607,1564,1607
2292,11460,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.003264,1.000000,1.022801,0.896205,1.004398,-98,0,41,-40,-87,1608,1569,1612,1562,1589
