frame,time_fs,Foil3_Ybin1_edge,Foil3_Ybin2_edge,Foil3_Ybin3_edge,Foil3_Ybin4_edge,Foil3_Ybin5_edge,Foil3_Ybin6_edge,Foil3_Ybin7_edge
219,1095,22.141054,22.161074,22.59322,22.126316,22.130732,22.148184,22.310184
419,2095,23.572403,24.453438,23.97343,24.028322,23.453842,23.354204,23.937141
619,3095,23.444016,24.487543,23.457495,24.200232,23.555866,23.375742,23.944897
819,4095,23.377388,24.540245,23.532265,24.25334,23.395483,23.35273,23.961798
1019,5095,23.219893,24.605522,23.592543,24.270498,23.375086,23.415663,23.931852
1219,6095,22.961151,24.690416,23.619865,24.14227,23.420004,23.467651,23.872494
1419,7095,22.49414,24.97202,23.620644,24.034178,23.44249,23.424313,23.842104
1619,8095,22.676344,25.174313,23.604216,23.781641,23.193766,23.43794,23.729494
1819,9095,22.62176,25.274284,23.525644,23.715023,23.440044,23.321955,23.681654
2019,10095,22.070795,25.415306,23.535086,23.808006,23.572,22.720762,23.149834
2219,11095,22.240202,25.571138,23.407701,23.935078,23.581709,22.438688,23.160175
2419,12095,22.284536,25.702387,23.362682,23.943718,23.661388,22.665535,23.098526
2619,13095,22.33408,25.755194,23.368525,23.395597,23.485218,22.600447,23.024475
2819,14095,23.010479,25.95746,23.417967,22.878416,23.642366,21.691782,23.157492
3019,15095,23.19082,25.417364,23.52951,22.68873,23.885872,22.016853,23.313866
3219,16095,22.865282,24.819897,23.563805,22.689129,24.17715,21.926186,23.402063
3419,17095,22.547043,24.643724,23.66322,28.216356,24.330847,21.753407,23.45094
3619,18095,21.646421,24.748163,23.759047,30.093758,24.474022,21.891352,23.276049
3819,19095,24.463867,24.867754,28.239954,32.0982,24.4233,22.060068,23.431358
4019,20095,27.034473,25.2012,23.633072,36.171623,24.393713,22.583485,23.34068
4219,21095,27.729483,25.452705,23.171705,24.402632,24.386438,22.880215,23.41138
4419,22095,27.338022,26.065767,22.74798,24.682907,24.54497,23.220049,23.043407
4619,23095,27.088163,26.137796,23.546436,25.215496,24.893423,23.19926,23.121769
4819,24095,26.416174,26.207916,23.563698,25.209805,25.243132,23.208591,23.641035
5019,25095,26.93437,25.992125,23.859499,25.538511,22.847347,23.08656,23.41352
5219,26095,27.171665,25.348442,24.127203,26.291765,22.052666,23.867731,23.551739
5419,27095,23.341597,24.923052,24.532051,26.32951,30.99217,24.61306,28.412754
5619,28095,22.76764,24.607327,25.443464,26.379086,27.84773,25.629456,28.668354
5819,29095,22.361046,24.683577,25.472473,44.55653,25.16538,26.481583,28.990917
6019,30095,26.154078,24.64252,25.466728,43.446472,29.330132,26.369429,28.892103
6219,31095,23.547132,25.051186,25.572664,40.623383,24.419043,25.959742,28.182692
6419,32095,23.958317,25.004631,25.76802,27.825556,24.003382,25.790247,27.46839
6619,33095,23.910158,24.919222,25.766117,41.232952,23.726423,26.151085,27.462227
6819,34095,24.18873,24.861567,25.649805,32.719994,24.133856,22.930977,30.548635
7019,35095,24.163237,25.724138,25.713745,28.472662,24.11643,26.96764,30.715504
7219,36095,24.229033,26.647924,25.61042,46.33998,27.579063,26.801273,30.509903
7419,37095,26.833073,27.134912,25.347921,60.30043,57.64662,26.566717,30.60541
7619,38095,27.363651,27.063787,26.280197,34.071537,38.38868,31.557867,32.05181
7819,39095,27.174355,27.339714,26.595413,52.99709,39.083958,41.627007,30.51266
8019,40095,27.110064,28.81196,26.77215,65.052284,57.748886,42.755116,30.410732
8219,41095,27.184761,29.09395,27.134544,65.50402,57.82592,33.050785,33.15649
8419,42095,27.116846,29.030972,26.895918,61.36913,29.80769,33.155125,33.149334
8619,43095,27.152054,29.399435,27.007975,63.233673,30.579054,43.505108,33.47203
8819,44095,26.835688,29.12836,26.968924,66.23332,30.80978,43.45513,32.940666
9019,45095,26.7947,29.321619,27.163643,66.23332,35.698822,22.177017,32.86624
9219,46095,26.69959,30.45413,54.380367,68.86012,39.55922,22.38714,32.786484
9419,47095,31.138903,30.728413,54.427128,69.39849,40.330856,22.539253,32.717117
9619,48095,30.476288,30.791683,54.90509,69.0723,39.924557,22.241175,33.699818
9819,49095,31.152021,30.739494,55.11645,69.32911,39.717213,22.325304,33.64632
10019,50095,31.439068,30.813469,26.890163,68.975914,39.3468,23.71543,34.57424
10219,51095,31.902744,30.591898,55.373264,69.401695,41.14077,25.184616,35.247383
10419,52095,31.871014,30.721466,55.270878,68.71716,63.380817,25.659075,34.316162
10619,53095,42.60001,30.74672,26.876312,69.10027,63.36257,24.824608,35.531204
10819,54095,35.24774,30.588425,56.14404,68.4507,28.179647,24.523336,46.27426
11019,55095,38.36759,30.43211,65.39442,69.05174,27.734135,24.43181,51.28035
11219,56095,39.103966,30.290134,66.32486,68.546165,45.087666,24.334265,55.578125
11419,57095,39.08903,30.450829,66.36631,69.36435,27.48673,24.34867,55.586033
11619,58095,42.595947,33.810307,66.394165,68.49657,69.05085,24.292871,37.1856
11819,59095,43.880665,33.82559,66.92597,68.97418,30.486696,24.240343,42.18258
12019,60095,43.97431,33.72958,67.417595,69.06596,69.28248,24.516026,43.740715
12219,61095,43.320705,33.57247,67.90605,69.1836,68.31962,24.777102,44.67737
12419,62095,47.41457,33.91733,27.932304,51.705193,46.84338,24.800394,38.859375
12619,63095,56.959995,33.709145,69.112656,69.3082,68.1947,25.374443,38.755123
12819,64095,56.959995,33.687096,69.508995,69.250206,68.05586,26.061766,48.056374
13019,65095,49.089172,33.903763,69.50555,69.48752,66.34698,26.3677,69.32885
13219,66095,52.118958,33.95601,68.46693,69.3857,68.07693,26.288208,69.35648
13419,67095,68.64013,33.537155,68.47411,69.41379,68.081245,26.305882,40.063908
13619,68095,68.68662,33.062515,69.220245,69.4334,68.29243,26.505753,51.26177
13819,69095,68.83104,35.913834,68.093666,69.52093,68.6078,27.460058,51.313107
14019,70095,61.645645,36.68824,68.1085,69.20736,67.845116,28.149405,53.50649
14219,71095,65.7539,33.157738,68.11914,69.150475,67.82174,28.403004,53.625107
