frame,time_fs,Foil3_Ybin1_edge,Foil3_Ybin2_edge,Foil3_Ybin3_edge,Foil3_Ybin4_edge,Foil3_Ybin5_edge,Foil3_Ybin6_edge,Foil3_Ybin7_edge
92,460,22.342255,22.137115,22.138771,22.147646,22.123516,22.231964,22.12392
292,1460,23.586071,23.623735,23.134787,23.5685,22.591928,23.667973,22.557673
492,2460,23.541283,23.385408,23.135511,23.478874,22.700735,23.69344,22.550589
692,3460,23.418026,23.185154,23.797274,23.487766,23.106323,23.75082,22.5723
892,4460,23.448307,22.991194,23.763939,23.496086,23.396246,23.860693,22.603634
1092,5460,23.559229,22.675076,23.704609,23.508635,23.204132,23.914732,22.679646
1292,6460,23.592066,22.53483,23.541164,23.534454,22.945211,23.872557,22.669495
1492,7460,23.64633,22.537685,23.55247,23.565811,23.005367,23.909136,22.636713
1692,8460,23.632717,22.57793,23.559633,23.579123,23.125412,23.955761,22.644577
1892,9460,23.647707,22.69491,23.481144,23.586498,23.182476,24.095495,22.608255
2092,10460,23.79628,22.613487,23.424265,23.622578,23.280014,24.076199,22.548416
2292,11460,23.814201,22.9298,23.365767,23.712202,23.15329,23.580135,22.441906
2492,12460,23.689138,22.944407,23.232975,24.281298,23.039955,23.145218,22.171818
2692,13460,23.253668,23.136787,23.073727,23.81646,22.874647,23.198786,22.23397
2892,14460,22.560902,23.560339,22.87072,23.12254,23.19403,23.032333,22.159859
3092,15460,21.906874,24.088566,22.42129,23.167223,24.487568,22.42378,22.274889
3292,16460,22.754288,24.392853,30.520622,24.551218,24.645367,22.509352,23.397568
3492,17460,22.983074,25.105423,32.30414,29.923302,25.689339,22.789442,21.443394
3692,18460,22.871284,25.187408,32.136555,30.085125,26.171577,22.865368,21.66284
3892,19460,23.5756,25.205975,34.81329,29.82666,26.171387,22.887135,22.046383
4092,20460,24.810728,25.153982,34.870262,29.866728,26.15916,22.887064,22.193737
4292,21460,25.00049,25.20675,34.89225,29.876762,26.158691,22.853334,22.21964
4492,22460,25.229092,25.268427,35.056896,29.900074,26.01924,22.85979,22.21401
4692,23460,25.592724,24.935753,35.083565,29.908886,26.079067,22.909992,22.109142
4892,24460,25.622484,24.699905,35.09727,29.924795,25.299664,22.648502,21.966944
5092,25460,25.17727,24.671547,35.103085,29.959679,25.01857,20.745646,21.965992
5292,26460,24.952984,24.839664,35.202778,30.037663,25.123291,20.823282,22.20212
5492,27460,25.036684,25.109774,35.218357,30.048105,25.120687,20.82772,22.383797
5692,28460,25.125975,25.120779,35.218357,30.051674,25.15367,20.827732,22.583231
5892,29460,25.076902,25.0878,35.218357,30.056004,25.167215,20.827732,22.61364
6092,30460,25.882893,24.929966,35.218357,30.058907,25.32813,20.840841,22.796453
6292,31460,27.650665,24.580893,35.02708,30.218824,25.234364,20.364758,23.059334
6492,32460,31.162977,24.341343,34.76919,31.87659,24.921936,19.843073,22.881927
6692,33460,30.856337,24.465746,25.465723,31.630823,24.703623,22.089064,22.706255
6892,34460,30.925766,24.664963,25.424612,34.128822,24.596828,22.199945,22.588291
7092,35460,31.02034,24.509768,25.675303,37.786217,24.383171,22.15536,23.355518
7292,36460,31.347183,24.21093,26.456985,41.586575,24.544168,24.157917,23.325573
7492,37460,31.582674,24.639252,35.7377,42.156487,25.067902,24.288372,23.483734
7692,38460,31.67619,25.06488,36.251724,42.654484,25.301146,24.33052,23.50174
7892,39460,31.605614,25.138103,36.59097,43.05993,25.318804,24.359394,23.566628
8092,40460,31.884754,25.214973,36.69224,43.46153,25.322609,24.398346,23.545809
8292,41460,31.963306,25.246405,36.723755,43.82602,25.324667,24.401157,23.553928
8492,42460,31.700447,25.357973,36.732246,44.116913,25.334433,24.421665,23.555162
8692,43460,31.395592,25.42449,36.747288,44.121616,25.38999,24.55873,23.559837
8892,44460,30.481253,25.467861,36.750416,44.068844,25.379198,24.68002,23.426615
9092,45460,33.136982,25.508595,36.751408,44.068844,25.03986,24.3295,23.434797
9292,46460,33.60489,25.587969,36.80937,44.068844,25.012014,24.279795,24.17077
9492,47460,34.274513,26.042788,36.85366,44.068844,25.768887,24.278011,24.606459
9692,48460,35.049763,26.163345,36.869213,44.36327,26.308983,24.432709,24.748222
9892,49460,35.199852,26.11879,36.890247,44.32668,25.210789,24.403683,25.148958
10092,50460,28.487883,26.12896,36.84085,44.02905,24.993849,24.300842,25.372463
10292,51460,28.466045,26.0869,35.947266,43.391315,24.799057,24.01531,25.108782
10492,52460,28.868248,25.836285,35.85248,42.018818,24.671572,23.306435,24.916178
10692,53460,27.347235,25.759098,35.466236,41.986076,23.74919,22.42841,24.97761
10892,54460,27.129265,26.330517,26.44413,41.598164,23.803175,21.583117,24.702412
11092,55460,39.300934,26.90852,39.14219,41.646442,24.11234,21.714634,24.717737
11292,56460,45.782387,27.315681,26.929972,42.355923,25.27116,23.091633,24.847254
11492,57460,27.918882,27.850863,27.535093,43.077587,26.8247,23.823374,25.46095
11692,58460,28.335484,28.369532,27.620703,43.387653,27.370234,23.714617,25.572805
11892,59460,28.11572,28.490664,27.603947,28.896856,27.421482,23.614489,25.702442
12092,60460,30.27894,28.57538,24.361177,28.902765,27.442335,23.718908,25.570042
12292,61460,27.49902,28.593985,27.585499,28.949493,27.645082,23.742577,25.404293
12492,62460,27.177227,28.569798,27.588028,28.95359,27.688984,23.178766,25.42401
12692,63460,27.125118,28.726013,24.399147,28.9563,27.79732,22.732594,25.442734
12892,64460,27.058743,28.86447,25.349247,28.956175,28.007343,22.292824,25.935238
13092,65460,27.242317,28.97201,25.464104,31.647131,27.95958,22.337206,26.21061
13292,66460,30.794615,28.959427,24.714724,34.98136,27.847895,22.604717,27.41092
13492,67460,28.154558,28.937546,24.718359,32.192616,27.730629,22.863615,27.783333
13692,68460,28.156477,28.937164,24.880903,35.01191,26.604832,23.004961,28.091146
13892,69460,28.160545,28.893572,24.911343,34.859177,26.619444,23.167877,28.139257
14092,70460,28.017508,28.90153,24.910618,34.799156,26.642967,23.250422,28.250854
14292,71460,27.71067,28.867563,24.570501,33.053074,28.755516,23.101824,28.398945
