time_fs,mode,setpoint_or_current,CIP,SIP,S2IP,FD
1450.000000,CC,-0.040000,0.160000,0.053333,0.060000,0.726667
2450.000000,CC,-0.040000,0.224359,0.012821,0.128205,0.634615
3450.000000,CC,-0.040000,0.212500,0.018750,0.162500,0.606250
4450.000000,CC,-0.040000,0.216374,0.029240,0.175439,0.578947
5450.000000,CC,-0.040000,0.196809,0.053191,0.191489,0.558511
6450.000000,CC,-0.040000,0.188776,0.040816,0.219388,0.551020
7450.000000,CC,-0.040000,0.208738,0.024272,0.228155,0.538835
8450.000000,CC,-0.040000,0.186603,0.014354,0.263158,0.535885
9450.000000,CC,-0.040000,0.190698,0.018605,0.279070,0.511628
10450.000000,CC,-0.040000,0.174888,0.022422,0.264574,0.538117
11450.000000,CC,-0.040000,0.161157,0.008264,0.252066,0.578512
12450.000000,CC,-0.040000,0.157692,0.023077,0.238462,0.580769
13450.000000,CC,-0.040000,0.138686,0.010949,0.240876,0.609489
14450.000000,CC,-0.040000,0.121311,0.029508,0.232787,0.616393
15450.000000,CC,-0.040000,0.123167,0.032258,0.217009,0.627566
16450.000000,CC,-0.040000,0.126844,0.017699,0.218289,0.637168
17450.000000,CC,-0.040000,0.122024,0.035714,0.220238,0.622024
18450.000000,CC,-0.040000,0.140351,0.023392,0.210526,0.625731
19450.000000,CC,-0.040000,0.154971,0.011696,0.228070,0.605263
20450.000000,CC,-0.040000,0.157434,0.023324,0.227405,0.591837
21450.000000,CC,-0.040000,0.152355,0.019391,0.204986,0.623269
22450.000000,CC,-0.040000,0.158730,0.018519,0.198413,0.624339
23450.000000,CC,-0.040000,0.143577,0.025189,0.186398,0.644836
24450.000000,CC,-0.040000,0.131765,0.023529,0.185882,0.658824
25450.000000,CC,-0.040000,0.135371,0.028384,0.165939,0.670306
26450.000000,CC,-0.040000,0.150106,0.023256,0.171247,0.655391
27450.000000,CC,-0.040000,0.164905,0.012685,0.177590,0.644820
28450.000000,CC,-0.040000,0.174274,0.022822,0.168050,0.634855
29450.000000,CC,-0.040000,0.179074,0.032193,0.169014,0.619718
30450.000000,CC,-0.040000,0.187625,0.017964,0.173653,0.620758
31450.000000,CC,-0.040000,0.195652,0.015810,0.167984,0.620553
32450.000000,CC,-0.040000,0.186898,0.009634,0.181118,0.622351
33450.000000,CC,-0.040000,0.182163,0.017078,0.172676,0.628083
34450.000000,CC,-0.040000,0.186220,0.018622,0.171322,0.623836
35450.000000,CC,-0.040000,0.183150,0.020147,0.170330,0.626374
36450.000000,CC,-0.040000,0.187156,0.023853,0.168807,0.620183
37450.000000,CC,-0.040000,0.194192,0.010889,0.170599,0.624319
38450.000000,CC,-0.040000,0.190053,0.015986,0.174067,0.619893
39450.000000,CC,-0.040000,0.190476,0.015873,0.181658,0.611993
40450.000000,CC,-0.040000,0.187175,0.013865,0.178510,0.620451
41450.000000,CC,-0.040000,0.184433,0.016920,0.169205,0.629442
42450.000000,CC,-0.040000,0.181818,0.016529,0.173554,0.628099
43450.000000,CC,-0.040000,0.182566,0.021382,0.151316,0.644737
44450.000000,CC,-0.040000,0.184127,0.012698,0.149206,0.653968
45450.000000,CC,-0.040000,0.181818,0.018490,0.143297,0.656394
46450.000000,CC,-0.040000,0.182236,0.016845,0.145482,0.655436
47450.000000,CC,-0.040000,0.193750,0.010937,0.143750,0.651563
48450.000000,CC,-0.040000,0.190031,0.020249,0.146417,0.643302
49450.000000,CC,-0.040000,0.192188,0.014062,0.139062,0.654688
50450.000000,CC,-0.040000,0.185070,0.013997,0.138414,0.662519
51450.000000,CC,-0.040000,0.188272,0.013889,0.148148,0.649691
52450.000000,CC,-0.040000,0.187404,0.013825,0.152074,0.646697
53450.000000,CC,-0.040000,0.185129,0.019727,0.151745,0.643399
54450.000000,CC,-0.040000,0.178466,0.016224,0.160767,0.644543
55450.000000,CC,-0.040000,0.171806,0.022026,0.154185,0.651982
56450.000000,CC,-0.040000,0.177843,0.011662,0.163265,0.647230
57450.000000,CC,-0.040000,0.176471,0.020588,0.155882,0.647059
58450.000000,CC,-0.040000,0.180897,0.015919,0.160637,0.642547
59450.000000,CC,-0.040000,0.181556,0.021614,0.149856,0.646974
60450.000000,CC,-0.040000,0.183381,0.017192,0.144699,0.654728
61450.000000,CC,-0.040000,0.180258,0.012876,0.154506,0.652360
62450.000000,CC,-0.040000,0.178723,0.017021,0.151773,0.652482
63450.000000,CC,-0.040000,0.179021,0.013986,0.153846,0.653147
64450.000000,CC,-0.040000,0.176552,0.020690,0.146207,0.656552
65450.000000,CC,-0.040000,0.171429,0.024490,0.148299,0.655782
66450.000000,CC,-0.040000,0.178962,0.016393,0.147541,0.657104
67450.000000,CC,-0.040000,0.175272,0.013587,0.145380,0.665761
68450.000000,CC,-0.040000,0.181572,0.009485,0.139566,0.669377
69450.000000,CC,-0.040000,0.180593,0.012129,0.136119,0.671159
70450.000000,CC,-0.040000,0.178862,0.018970,0.140921,0.661247
71450.000000,CC,-0.040000,0.180707,0.017663,0.141304,0.660326
