frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
236,1180,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,0.995413,0.995313,0.996350,0.996359,0.995658,0,0,0,0,0,1296,1477,1414,1418,1382
436,2180,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.000580,0.987378,1.003427,0.989462,1.000566,11,-20,16,-20,13,1495,1513,1521,1573,1538
636,3180,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.007879,0.982941,1.010538,0.980088,1.008446,14,-20,13,-20,13,1420,1470,1573,1578,1546
836,4180,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.013249,0.970132,1.018644,0.974256,1.017573,11,-20,14,-20,15,1506,1511,1540,1518,1591
1036,5180,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.020869,0.962772,1.024884,0.963298,1.021099,15,-20,14,-20,12,1543,1516,1498,1541,1571
1236,6180,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.025161,0.951650,1.031561,0.955682,1.031483,15,-20,10,-20,16,1479,1528,1576,1530,1517
1436,7180,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.032777,0.946510,1.032463,0.950064,1.037581,11,-20,17,-20,17,1448,1303,1341,1332,1473
1636,8180,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.037783,0.934590,1.043285,0.943526,1.041990,12,-20,14,-20,16,1358,1467,1341,1222,1318
1836,9180,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.040816,0.928816,1.045190,0.932869,1.051663,14,-20,11,-20,16,1289,1231,1319,1349,1183
2036,10180,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.044043,0.928826,1.052185,0.919826,1.066390,12,-20,14,-20,15,1155,1175,1303,1379,1216
2236,11180,CC,CC,CC,CC,CC,0.020000,-0.020000,0.020000,-0.020000,0.020000,1.059574,0.911579,1.065651,0.916618,1.067978,16,-20,12,-20,13,1415,1195,1476,1473,1550
