frame,time_fs,mode_f1,mode_f2,mode_f3,mode_f4,mode_f5,setpoint_f1,setpoint_f2,setpoint_f3,setpoint_f4,setpoint_f5,actual_ratio_f1,actual_ratio_f2,actual_ratio_f3,actual_ratio_f4,actual_ratio_f5,delta_electrons_f1,delta_electrons_f2,delta_electrons_f3,delta_electrons_f4,delta_electrons_f5,li_metal_count_f1,li_metal_count_f2,li_metal_count_f3,li_metal_count_f4,li_metal_count_f5
65,325,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.988159,0.990998,0.990262,0.990667,0.992574,0,0,0,0,0,699,992,1105,1270,1386
265,1325,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.998923,0.970874,1.009672,1.000542,0.999458,16,-40,41,18,12,1627,1624,1631,1616,1615
465,2325,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,0.999462,0.956002,1.029316,1.000000,1.000543,4,-40,41,1,0,1629,1611,1612,1612,1610
665,3325,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.005379,0.983079,1.012841,0.990249,1.005441,10,43,-28,-19,9,1629,1602,1639,1616,1608
865,4325,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.016173,0.998358,1.001075,0.972692,1.015017,20,29,-24,-41,21,1625,1597,1630,1601,1568
1065,5325,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.025378,0.999433,1.000000,0.958381,1.025366,19,1,-3,-40,19,1622,1535,1563,1524,1544
1265,6325,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.003238,0.999455,1.024116,0.938218,1.003252,-43,1,45,-40,-44,1623,1604,1636,1599,1615
1465,7325,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.000559,1.000000,1.043743,0.919839,1.000000,-7,1,40,-40,-6,1558,1581,1576,1504,1528
1665,8325,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.005669,0.989380,1.010477,0.974481,1.007563,10,-21,-56,91,9,1534,1559,1488,1455,1489
1865,9325,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.014501,0.969679,0.999396,0.997315,1.016091,20,-40,-27,45,20,1563,1485,1425,1260,1448
2065,10325,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.024009,0.954628,1.000581,0.998807,1.026155,19,-40,-3,4,21,1561,1423,1492,1447,1567
2265,11325,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.001201,0.932348,1.021603,1.001170,1.002879,-44,-40,42,0,-46,1435,1529,1529,1479,1507
2465,12325,OP,CC,CC,OP,OP,1.000000,-0.040000,0.040000,1.000000,1.000000,1.003330,0.917090,1.045281,1.000557,1.000000,-7,-40,43,0,-5,1572,1543,1603,1564,1482
2665,13325,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.001582,0.995506,0.988636,0.989882,1.006024,7,95,-54,-22,10,402,215,122,363,268
2865,14325,CC,OP,OP,CC,CC,0.020000,1.000000,1.000000,-0.040000,0.020000,1.012531,0.998523,1.001292,0.971314,1.015290,20,45,-32,-40,20,1366,1124,1318,1269,1405
3065,15325,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.028022,1.000000,1.000000,0.953449,1.021877,19,5,0,-40,18,1590,1538,1619,1553,1507
3265,16325,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,1.001837,1.000712,1.017208,0.935815,1.001559,-45,0,43,-40,-43,859,1174,1339,1328,1053
3465,17325,OP,OP,CC,CC,OP,1.000000,1.000000,0.040000,-0.040000,1.000000,0.996892,1.000000,1.042179,0.912358,0.997324,-6,0,42,-40,-7,1379,1263,1477,1356,1265
3665,18325,CC,CC,OP,OP,CC,0.020000,-0.040000,1.000000,1.000000,0.020000,1.004032,0.988764,1.011446,0.974090,1.004383,10,-22,-58,103,12,1258,1372,1430,1391,1367
