frame,time_fs,Foil3_Ybin1_edge,Foil3_Ybin2_edge,Foil3_Ybin3_edge,Foil3_Ybin4_edge,Foil3_Ybin5_edge,Foil3_Ybin6_edge,Foil3_Ybin7_edge
236,1180,22.257439,22.52084,22.161377,22.245998,24.29672,22.137453,22.137514
436,2180,24.147184,24.852015,23.913912,24.105148,23.358732,23.903347,23.513912
636,3180,24.163902,24.851954,25.281105,24.177727,23.54421,24.014914,23.504564
836,4180,23.824854,24.855614,25.07285,24.381361,23.630974,23.931335,23.504627
1036,5180,24.018925,24.727741,25.064714,24.396751,23.69478,23.969404,23.504429
1236,6180,23.984097,24.436016,25.118303,24.457552,23.708944,23.972284,23.483778
1436,7180,23.825848,24.387308,25.254961,24.443827,23.720821,23.973278,23.540934
1636,8180,23.667797,24.385996,25.012642,24.297192,23.62219,23.979431,23.242853
1836,9180,23.334469,24.250586,25.08633,24.177444,23.663015,23.691515,23.251986
2036,10180,23.203848,24.00273,25.193003,24.143217,23.610243,23.40198,23.250502
2236,11180,23.386219,24.026508,25.166306,24.17974,23.703598,23.275558,23.477293
2436,12180,23.556166,23.980713,25.666119,24.270037,23.942802,22.959003,23.478039
2636,13180,23.63947,23.969568,26.008675,23.905457,24.0645,23.146364,23.347675
2836,14180,23.702658,23.8237,25.988071,23.326723,24.104633,23.050844,23.168707
3036,15180,23.675316,23.633562,25.738775,28.036854,24.364326,22.91902,23.310768
3236,16180,23.44583,23.559963,25.282747,28.200872,24.677948,22.629417,22.975368
3436,17180,23.492342,23.655685,25.114836,23.40814,24.724337,22.63641,22.939821
3636,18180,23.60915,23.777426,25.151056,23.375717,24.54803,22.524334,22.942509
3836,19180,23.555521,23.685808,25.324518,23.30389,24.443161,22.587696,23.495462
4036,20180,23.540228,23.559494,25.580526,28.762966,24.408413,22.34137,23.497412
4236,21180,23.48702,23.301376,25.593065,28.294815,24.66042,22.261227,25.751593
4436,22180,23.30234,22.68976,25.625872,27.961105,25.052233,22.534307,26.520788
4636,23180,23.024708,22.707298,25.408033,28.374855,24.739431,22.430094,26.842646
4836,24180,22.677847,22.706367,25.974049,27.53169,24.144829,22.349443,27.013802
5036,25180,22.7889,22.502342,26.806664,25.206001,23.836206,22.578207,27.09383
5236,26180,22.882654,22.217299,26.94329,37.120224,24.166445,22.41635,27.286535
5436,27180,22.699158,22.030228,26.936768,42.303802,24.222649,22.049456,27.95597
5636,28180,22.389149,22.04283,26.828112,49.786827,26.327951,21.77113,28.628069
5836,29180,22.416643,22.096947,26.99364,51.889004,29.472595,21.585974,29.085386
6036,30180,22.37538,22.436602,27.18776,51.716133,30.36565,21.500519,29.014013
6236,31180,22.495665,22.919624,27.133947,54.119694,31.04403,21.28395,24.89389
6436,32180,22.5704,23.367767,27.68623,55.549545,53.362206,21.178278,24.693989
6636,33180,22.787535,23.742289,27.877262,56.16622,54.049183,21.004862,23.767279
6836,34180,23.62921,23.98138,27.884876,58.808167,54.912952,26.254469,23.265226
7036,35180,23.822748,24.20839,27.800848,59.0853,56.108467,26.642965,23.022066
7236,36180,23.721935,26.139677,27.795956,36.44132,30.525776,26.324947,23.091206
7436,37180,23.744133,21.759918,27.732754,34.02955,29.923042,26.367506,23.664284
7636,38180,23.754642,23.118698,27.429106,63.638573,61.09823,26.408983,24.214815
7836,39180,23.723629,23.116367,29.968147,66.53343,66.92849,28.196665,24.53405
8036,40180,23.901678,22.954979,29.973665,29.95433,28.844322,29.202799,24.900833
8236,41180,23.973867,22.850986,32.437218,32.46654,28.857859,29.099058,24.824913
8436,42180,24.086697,22.367434,36.211258,67.42015,69.211044,29.21544,25.042988
8636,43180,24.31543,22.416609,36.493847,39.915333,28.621956,29.222769,25.68415
8836,44180,24.340164,22.213108,33.668793,69.48836,69.21946,28.815548,26.015385
9036,45180,24.180283,22.475306,33.592545,67.58818,69.26117,28.600718,26.292871
9236,46180,24.249165,22.480707,33.40037,39.31865,27.695547,29.210207,26.654861
9436,47180,24.510607,22.29752,33.53186,67.82224,69.30494,23.143568,26.856043
9636,48180,24.381258,22.313347,33.786613,68.02398,69.33031,22.93568,27.051018
9836,49180,23.801659,22.459627,33.52562,39.989277,35.61098,24.182634,27.633991
