frame,time_fs,Foil3_Ybin1_edge,Foil3_Ybin2_edge,Foil3_Ybin3_edge,Foil3_Ybin4_edge,Foil3_Ybin5_edge,Foil3_Ybin6_edge,Foil3_Ybin7_edge
65,325,22.128958,22.3544,23.99314,22.131079,22.169952,22.32282,22.219212
265,1325,22.751022,27.363619,24.657429,23.827265,23.622969,24.865562,25.09138
465,2325,24.704882,27.349825,24.431993,24.012764,23.537992,25.017244,25.186703
665,3325,25.50603,27.401241,24.30603,24.18003,23.537655,25.080988,25.214043
865,4325,25.521942,27.406313,24.270105,24.00114,23.428139,24.818468,25.217064
1065,5325,25.531994,27.425001,24.245409,24.006437,23.387556,24.861757,25.211273
1265,6325,25.542416,27.425001,23.765331,23.922129,23.402819,24.82916,25.18913
1465,7325,25.740788,27.693403,23.511456,23.974771,23.420885,24.896732,25.104414
1665,8325,25.791143,27.641226,23.170277,24.134392,23.068523,24.826586,24.975115
1865,9325,25.953278,27.686766,23.049686,24.086815,23.871502,25.02329,24.830894
2065,10325,26.140749,27.812391,23.049631,24.092388,23.950975,25.964058,24.832998
2265,11325,26.207577,27.953922,23.031979,24.085117,23.785913,26.127419,24.823772
2465,12325,26.429296,28.070374,23.062578,24.075586,23.595465,26.171318,24.769863
2665,13325,26.622639,28.193453,23.227556,24.04351,23.54879,26.194548,24.732635
2865,14325,26.71533,28.278805,23.534851,23.952122,23.130411,26.169964,24.76483
3065,15325,27.005623,28.288889,23.294872,23.900316,23.132479,26.160896,24.811178
3265,16325,27.207165,28.510271,23.166105,23.73505,23.140308,26.085526,24.85263
3465,17325,27.448006,23.419731,23.115704,23.75958,23.163643,26.085526,25.520668
3665,18325,27.698109,23.385878,23.436241,23.763083,22.991545,26.085526,25.62172
3865,19325,27.447784,23.02079,23.529886,23.771698,23.005522,26.008732,25.445818
4065,20325,27.65794,23.633848,23.581736,23.761366,23.00654,26.014824,25.510864
4265,21325,28.040121,23.759888,23.57596,23.77263,22.952158,26.029942,25.519318
4465,22325,28.526825,23.947332,23.580015,23.760864,22.952526,26.049114,25.522575
4665,23325,29.03888,24.149185,23.526344,23.739454,22.955479,25.844671,25.651394
4865,24325,29.562473,24.369308,23.491863,23.857088,22.968868,25.844671,25.784891
5065,25325,30.106926,24.424887,23.529913,23.92725,22.9721,25.961697,25.815908
5265,26325,30.522535,24.557829,23.597551,23.9086,22.991451,27.24766,25.826094
5465,27325,30.923555,24.481333,23.527544,23.98364,22.51167,27.588135,25.644455
5665,28325,31.245314,24.462286,23.246319,23.937574,22.799133,26.297813,26.242542
5865,29325,31.727491,24.693245,23.510986,24.323929,22.68132,23.081676,27.557755
6065,30325,31.364597,25.135109,23.590483,24.463482,22.799778,28.130638,27.03463
6265,31325,31.151789,25.415071,23.622755,24.541918,22.825634,28.3857,27.038443
6465,32325,31.27722,25.488897,23.693098,24.664537,22.852007,28.423792,26.751268
6665,33325,31.245806,25.527267,23.899666,24.651352,22.966175,28.50414,26.198235
6865,34325,30.112572,25.824413,24.018175,24.696402,22.950434,28.558384,25.919418
7065,35325,30.11909,25.742313,23.975708,24.694138,22.961426,28.558384,25.80896
7265,36325,30.131842,25.999979,23.980085,24.544281,22.936508,28.558384,25.890108
7465,37325,30.254698,26.122267,23.91012,24.286575,22.587578,28.667336,25.97138
7665,38325,30.010223,26.635492,23.758795,23.67213,22.104664,28.281355,25.70941
7865,39325,29.997112,27.10613,23.699978,23.591467,22.386395,28.037943,25.799156
8065,40325,29.900423,27.319763,23.728123,23.823648,22.421562,28.205826,25.782875
8265,41325,29.911837,27.446167,23.839766,23.997576,22.412521,28.256618,25.900776
8465,42325,29.783693,27.57497,23.841055,24.258875,22.2116,28.78554,26.010893
8665,43325,29.800686,27.678751,23.77521,24.846912,21.992073,28.672792,25.897242
8865,44325,28.800991,27.672709,23.802217,25.327442,24.648994,29.239386,25.72342
9065,45325,28.808277,27.643028,23.804163,25.395977,24.296587,29.296541,25.628683
9265,46325,28.824997,27.631588,23.76353,25.594704,24.176178,28.620087,25.510397
9465,47325,30.140284,27.669283,23.525064,25.803215,24.457735,27.879272,25.351469
9665,48325,29.719564,27.783346,26.337877,25.829145,26.499475,27.223007,24.970966
9865,49325,30.604372,27.887255,26.236158,25.916206,26.649622,27.202621,24.688993
10065,50325,30.662642,28.02321,26.362122,25.926577,26.777042,27.207434,24.828712
10265,51325,30.665031,28.034039,26.355486,25.926498,26.872023,27.432865,24.868755
10465,52325,30.670315,28.007498,25.935854,25.92912,27.36274,27.01433,24.878527
10665,53325,30.690083,28.030642,24.88622,26.122202,27.618523,26.648146,24.850014
10865,54325,30.70411,28.103819,24.974709,26.235462,28.06792,26.882029,24.981295
11065,55325,30.703728,28.130775,24.982023,26.306637,28.143,27.102276,25.035133
11265,56325,30.703346,28.111713,25.006264,26.323168,28.122604,27.219608,25.013456
11465,57325,30.630924,28.173306,25.13856,26.38745,28.116692,27.483665,24.816565
11665,58325,30.253748,28.13061,25.6702,26.361448,27.127028,27.102472,23.939398
11865,59325,29.917383,28.216242,27.21543,26.671858,27.271612,27.331074,23.820438
12065,60325,29.93239,28.54586,27.455822,26.727638,27.360453,27.942177,23.895458
12265,61325,29.94959,28.75282,28.099007,26.780773,27.452496,28.26946,23.991531
12465,62325,29.978876,28.996466,28.252167,26.830376,27.447088,28.14676,24.416761
12665,63325,30.041302,29.584332,28.148308,26.855892,27.301926,27.424644,24.016493
12865,64325,30.096937,29.5851,29.263666,27.000637,27.45232,28.405113,24.142757
13065,65325,30.195738,29.927338,29.493637,27.046625,27.45232,29.377306,24.522264
13265,66325,30.263298,30.134163,29.73229,27.351974,27.467249,25.28241,24.607027
13465,67325,30.50397,30.382914,29.930033,27.325275,27.639706,27.847164,24.958048
13665,68325,29.866022,36.99549,29.82189,27.484228,27.66287,27.473175,25.150679
13865,69325,29.756424,31.100527,29.800741,27.662458,27.723658,28.00639,25.50684
14065,70325,29.825224,31.041975,29.892056,27.71883,23.989729,28.11815,25.607088
14265,71325,29.539501,31.084475,29.893848,27.730345,23.731247,28.11815,25.700348
