time_fs,mode,setpoint_or_current,CIP,SIP,S2IP,FD
2170.000000,CC,0.020000,0.213992,0.082305,0.193416,0.510288
3170.000000,CC,0.020000,0.266667,0.039216,0.247059,0.447059
4170.000000,CC,0.020000,0.292135,0.007491,0.307116,0.393258
5170.000000,CC,0.020000,0.287313,0.014925,0.339552,0.358209
6170.000000,CC,0.020000,0.275362,0.025362,0.376812,0.322464
7170.000000,CC,0.020000,0.256944,0.045139,0.371528,0.326389
8170.000000,CC,0.020000,0.273038,0.017065,0.368601,0.341297
9170.000000,CC,0.020000,0.279070,0.023256,0.355482,0.342193
10170.000000,CC,0.020000,0.278997,0.040752,0.322884,0.357367
11170.000000,CC,0.020000,0.282675,0.021277,0.316109,0.379939
12170.000000,CC,0.020000,0.278090,0.033708,0.289326,0.398876
13170.000000,CC,0.020000,0.246612,0.032520,0.268293,0.452575
14170.000000,CC,0.020000,0.227160,0.051852,0.246914,0.474074
15170.000000,CC,0.020000,0.234339,0.032483,0.211137,0.522042
16170.000000,CC,0.020000,0.221505,0.055914,0.200000,0.522581
17170.000000,CC,0.020000,0.214286,0.057540,0.194444,0.533730
18170.000000,CC,0.020000,0.222426,0.049632,0.189338,0.538603
19170.000000,CC,0.020000,0.222414,0.031034,0.179310,0.567241
20170.000000,CC,0.020000,0.215000,0.043333,0.175000,0.566667
21170.000000,CC,0.020000,0.197836,0.047913,0.174652,0.579598
22170.000000,CC,0.020000,0.197947,0.041056,0.153959,0.607038
23170.000000,CC,0.020000,0.199713,0.034483,0.160920,0.604885
24170.000000,CC,0.020000,0.195258,0.046025,0.146444,0.612273
25170.000000,CC,0.020000,0.201370,0.046575,0.131507,0.620548
26170.000000,CC,0.020000,0.202740,0.038356,0.134247,0.624658
27170.000000,CC,0.020000,0.207775,0.028150,0.120643,0.643432
28170.000000,CC,0.020000,0.196262,0.044059,0.122830,0.636849
29170.000000,CC,0.020000,0.194960,0.037135,0.119363,0.648541
30170.000000,CC,0.020000,0.188830,0.055851,0.126330,0.628989
31170.000000,CC,0.020000,0.188347,0.040650,0.121951,0.649051
32170.000000,CC,0.020000,0.187500,0.033333,0.127778,0.651389
33170.000000,CC,0.020000,0.180672,0.044818,0.119048,0.655462
34170.000000,CC,0.020000,0.182584,0.036517,0.133427,0.647472
35170.000000,CC,0.020000,0.181180,0.036517,0.127809,0.654494
36170.000000,CC,0.020000,0.197514,0.037293,0.125691,0.639503
37170.000000,CC,0.020000,0.181440,0.038781,0.126039,0.653740
38170.000000,CC,0.020000,0.198611,0.026389,0.119444,0.655556
39170.000000,CC,0.020000,0.195157,0.028490,0.135328,0.641026
40170.000000,CC,0.020000,0.194009,0.034237,0.129815,0.641940
41170.000000,CC,0.020000,0.184173,0.028777,0.133813,0.653237
42170.000000,CC,0.020000,0.178261,0.034783,0.130435,0.656522
43170.000000,CC,0.020000,0.180791,0.029661,0.117232,0.672316
44170.000000,CC,0.020000,0.171920,0.031519,0.120344,0.676218
45170.000000,CC,0.020000,0.180654,0.038407,0.112376,0.668563
46170.000000,CC,0.020000,0.174338,0.043236,0.121339,0.661088
47170.000000,CC,0.020000,0.176966,0.042135,0.125000,0.655899
48170.000000,CC,0.020000,0.172611,0.034237,0.135521,0.657632
49170.000000,CC,0.020000,0.182353,0.029412,0.133824,0.654412
50170.000000,CC,0.020000,0.178144,0.026946,0.137725,0.657186
51170.000000,CC,0.020000,0.175926,0.021605,0.138889,0.663580
52170.000000,CC,0.020000,0.169841,0.025397,0.134921,0.669841
53170.000000,CC,0.020000,0.172742,0.022187,0.136292,0.668780
54170.000000,CC,0.020000,0.183639,0.011686,0.131886,0.672788
55170.000000,CC,0.020000,0.179530,0.020134,0.135906,0.664430
56170.000000,CC,0.020000,0.173469,0.037415,0.132653,0.656463
57170.000000,CC,0.020000,0.161398,0.044925,0.129784,0.663894
58170.000000,CC,0.020000,0.160596,0.023179,0.134106,0.682119
59170.000000,CC,0.020000,0.152459,0.034426,0.142623,0.670492
60170.000000,CC,0.020000,0.158516,0.020236,0.145025,0.676223
61170.000000,CC,0.020000,0.165541,0.028716,0.136824,0.668919
62170.000000,CC,0.020000,0.167797,0.025424,0.138983,0.667797
63170.000000,CC,0.020000,0.161889,0.037099,0.133221,0.667791
64170.000000,CC,0.020000,0.159445,0.031196,0.142114,0.667244
65170.000000,CC,0.020000,0.157895,0.033333,0.135088,0.673684
66170.000000,CC,0.020000,0.153710,0.030035,0.136042,0.680212
67170.000000,CC,0.020000,0.152015,0.038462,0.131868,0.677656
68170.000000,CC,0.020000,0.161172,0.027473,0.146520,0.664835
69170.000000,CC,0.020000,0.150943,0.024528,0.145283,0.679245
70170.000000,CC,0.020000,0.148496,0.031955,0.139098,0.680451
71170.000000,CC,0.020000,0.142329,0.027726,0.131238,0.698706
