time_fs,mode,setpoint_or_current,CIP,SIP,S2IP,FD
1350.000000,CC,-0.040000,0.194805,0.032468,0.116883,0.655844
2350.000000,CC,-0.040000,0.190184,0.036810,0.190184,0.582822
3350.000000,CC,-0.040000,0.189349,0.053254,0.236686,0.520710
4350.000000,CC,-0.040000,0.206897,0.011494,0.275862,0.505747
5350.000000,CC,-0.040000,0.178378,0.005405,0.270270,0.545946
6350.000000,CC,-0.040000,0.161616,0.025253,0.257576,0.555556
7350.000000,CC,-0.040000,0.158879,0.037383,0.233645,0.570093
8350.000000,CC,-0.040000,0.152542,0.012712,0.224576,0.610169
9350.000000,CC,-0.040000,0.119403,0.041045,0.208955,0.630597
10350.000000,CC,-0.040000,0.114983,0.031359,0.202091,0.651568
11350.000000,CC,-0.040000,0.123711,0.020619,0.209622,0.646048
12350.000000,CC,-0.040000,0.133779,0.013378,0.210702,0.642140
13350.000000,CC,-0.040000,0.140940,0.013423,0.231544,0.614094
14350.000000,CC,-0.040000,0.133333,0.016667,0.256667,0.593333
15350.000000,CC,-0.040000,0.139159,0.016181,0.252427,0.592233
16350.000000,CC,-0.040000,0.127796,0.012780,0.261981,0.597444
17350.000000,CC,-0.040000,0.117825,0.039275,0.238671,0.604230
18350.000000,CC,-0.040000,0.130556,0.047222,0.205556,0.616667
19350.000000,CC,-0.040000,0.136729,0.026810,0.198391,0.638070
20350.000000,CC,-0.040000,0.143921,0.027295,0.188586,0.640199
21350.000000,CC,-0.040000,0.138952,0.036446,0.173121,0.651481
22350.000000,CC,-0.040000,0.141026,0.010684,0.173077,0.675214
23350.000000,CC,-0.040000,0.136095,0.015779,0.159763,0.688363
24350.000000,CC,-0.040000,0.133333,0.011429,0.156190,0.699048
25350.000000,CC,-0.040000,0.124535,0.020446,0.156134,0.698885
26350.000000,CC,-0.040000,0.120354,0.024779,0.153982,0.700885
27350.000000,CC,-0.040000,0.116554,0.021959,0.145270,0.716216
28350.000000,CC,-0.040000,0.119672,0.014754,0.142623,0.722951
29350.000000,CC,-0.040000,0.113057,0.012739,0.143312,0.730892
30350.000000,CC,-0.040000,0.109589,0.012177,0.133942,0.744292
31350.000000,CC,-0.040000,0.125201,0.011236,0.141252,0.722311
32350.000000,CC,-0.040000,0.136519,0.013652,0.145051,0.704778
33350.000000,CC,-0.040000,0.135593,0.025424,0.144068,0.694915
34350.000000,CC,-0.040000,0.138169,0.020725,0.148532,0.692573
35350.000000,CC,-0.040000,0.138937,0.024014,0.149228,0.687822
36350.000000,CC,-0.040000,0.138983,0.022034,0.144068,0.694915
37350.000000,CC,-0.040000,0.138699,0.020548,0.155822,0.684932
38350.000000,CC,-0.040000,0.147260,0.029110,0.148973,0.674658
39350.000000,CC,-0.040000,0.140171,0.039316,0.150427,0.670085
40350.000000,CC,-0.040000,0.142857,0.020168,0.144538,0.692437
41350.000000,CC,-0.040000,0.155887,0.024876,0.140962,0.678275
42350.000000,CC,-0.040000,0.153355,0.028754,0.132588,0.685304
43350.000000,CC,-0.040000,0.143511,0.029008,0.129771,0.697710
44350.000000,CC,-0.040000,0.148485,0.021212,0.130303,0.700000
45350.000000,CC,-0.040000,0.145588,0.014706,0.132353,0.707353
46350.000000,CC,-0.040000,0.142442,0.017442,0.126453,0.713663
47350.000000,CC,-0.040000,0.145455,0.018182,0.121678,0.714685
48350.000000,CC,-0.040000,0.143646,0.019337,0.122928,0.714088
49350.000000,CC,-0.040000,0.143836,0.017808,0.130137,0.708219
50350.000000,CC,-0.040000,0.141678,0.019257,0.136176,0.702889
51350.000000,CC,-0.040000,0.145604,0.021978,0.138736,0.693681
52350.000000,CC,-0.040000,0.145429,0.019391,0.131579,0.703601
53350.000000,CC,-0.040000,0.155738,0.012295,0.128415,0.703552
54350.000000,CC,-0.040000,0.158108,0.016216,0.118919,0.706757
55350.000000,CC,-0.040000,0.160904,0.021277,0.119681,0.698138
56350.000000,CC,-0.040000,0.168865,0.013193,0.118734,0.699208
57350.000000,CC,-0.040000,0.162943,0.024967,0.118265,0.693824
58350.000000,CC,-0.040000,0.168407,0.016971,0.118799,0.695822
59350.000000,CC,-0.040000,0.159326,0.034974,0.120466,0.685233
60350.000000,CC,-0.040000,0.166450,0.019506,0.128739,0.685306
61355.000000,CC,-0.040000,0.160256,0.019231,0.119231,0.701282
62355.000000,CC,-0.040000,0.165816,0.014031,0.114796,0.705357
63355.000000,CC,-0.040000,0.166667,0.009950,0.114428,0.708955
64355.000000,CC,-0.040000,0.164619,0.008600,0.119165,0.707617
65355.000000,CC,-0.040000,0.167920,0.016291,0.120301,0.695489
66355.000000,CC,-0.040000,0.157005,0.016908,0.121981,0.704106
67355.000000,CC,-0.040000,0.153098,0.020656,0.119077,0.707169
68355.000000,CC,-0.040000,0.148633,0.016647,0.123662,0.711058
69355.000000,CC,-0.040000,0.151699,0.026699,0.116505,0.705097
70355.000000,CC,-0.040000,0.158157,0.009963,0.120797,0.711083
