Time_fs,Foil3_Y+180_Edge,Foil3_Y+90_Edge,Foil3_Y-180_Edge,Foil3_Y-90_Edge,Foil3_Y0_Edge,Foil3_Y+180_LiMetal,Foil3_Y+90_LiMetal,Foil3_Y-180_LiMetal,Foil3_Y-90_LiMetal,Foil3_Y0_LiMetal,Foil3_Y+180_LiIon,Foil3_Y+90_LiIon,Foil3_Y-180_LiIon,Foil3_Y-90_LiIon,Foil3_Y0_LiIon
1000.0,-24.307941,-25.619196,-24.656128,-51.451717,-24.478931,46,114,46,117,118,4,3,5,5,6
2000.0,-24.27804,-25.5651,-24.651821,-51.7228,-24.478672,46,115,46,117,118,5,3,4,5,5
3000.0,-24.239862,-25.504326,-24.604343,-51.50884,-24.463955,46,116,46,117,118,5,3,4,5,5
4000.0,-24.15756,-25.517597,-24.577862,-51.28951,-24.463764,46,116,46,117,118,5,3,4,5,6
5000.0,-24.317623,-25.483753,-24.481981,-51.28951,-24.463573,46,115,46,117,117,5,4,4,5,6
6000.0,-24.347967,-25.489779,-24.48155,-51.303226,-24.391834,46,115,46,117,117,6,4,4,3,6
7000.0,-24.320984,-25.407776,-24.498926,-51.30328,-24.392355,46,115,46,117,117,6,4,4,3,6
8000.0,-24.15761,-25.552717,-24.166035,-51.30328,-24.387564,46,115,46,117,117,6,4,3,3,7
9000.0,-24.198116,-25.557755,-23.921385,-51.193768,-24.383846,47,115,46,117,117,6,4,3,3,8
10000.0,-24.304707,-25.650032,-23.833073,-50.583763,-24.35741,46,115,45,117,117,6,4,4,3,8
11000.0,-24.334188,-26.339409,-24.215109,-50.32755,-24.39577,46,115,45,117,117,5,4,4,3,7
12000.0,-24.356638,-26.221127,-23.049824,-50.349655,-24.411543,46,115,45,117,117,4,4,4,3,8
13000.0,-24.371597,-26.116745,-23.307669,-50.349655,-24.085386,46,116,45,117,117,4,4,3,4,8
14000.0,-24.378582,-26.221489,-23.526623,-50.417095,-24.562893,46,116,45,117,117,5,4,3,4,7
15000.0,-22.819221,-26.258627,-24.564322,-50.04415,-24.59673,45,116,45,117,117,6,5,2,2,8
