target_ratio,sim_time,eta_a,eta_b,eta_avg,i_controller_a,i_controller_b,e_delta_a,e_delta_b
1.005,100.0,0.006240,-0.003008,0.001616,0.160949,-0.240829,2,-1
1.005,200.0,0.009331,-0.014948,-0.002808,0.127218,-0.251480,2,-4
1.005,300.0,0.012442,-0.014948,-0.001253,0.099405,-0.055030,1,-1
1.005,400.0,0.015480,-0.018209,-0.001365,0.000939,0.099999,2,0
1.005,500.0,0.012384,-0.008889,0.001748,-0.050167,0.139644,-1,3
1.005,600.0,0.009449,-0.006042,0.001703,-0.006744,0.120117,-1,1
1.005,700.0,0.006390,-0.003012,0.001689,0.016001,-0.017753,0,2
1.005,800.0,0.026201,-0.006024,0.010088,0.029884,-0.126033,0,0
1.005,900.0,0.012800,-0.009036,0.001882,-0.050764,-0.207689,2,-1
1.005,1000.0,0.009524,-0.015060,-0.002768,-0.072328,-0.058576,-2,-2
1.005,1100.0,0.006359,-0.012121,-0.002881,-0.065087,0.069232,-2,2
1.005,1200.0,0.003150,-0.009091,-0.002971,-0.049128,-0.000783,-1,1
1.005,1300.0,0.009434,-0.009091,0.000172,0.002820,-0.023531,1,0
1.005,1400.0,0.012520,-0.012103,0.000208,0.030927,0.021670,0,-1
1.005,1500.0,0.012539,-0.009419,0.001560,-0.024839,0.058007,0,0
1.005,1600.0,0.006289,-0.006240,0.000024,0.131215,0.055939,-1,1
1.005,1700.0,0.018576,-0.006070,0.006253,0.043838,0.033192,3,0
1.005,1800.0,0.012559,-0.003106,0.004727,-0.008161,-0.022112,-1,1
1.005,1900.0,0.015699,-0.009077,0.003311,-0.059995,0.046834,1,-1
1.005,2000.0,0.009302,-0.006051,0.001625,-0.129814,0.044766,-2,1
1.005,2100.0,0.003086,0.000000,0.001543,-0.015611,-0.069404,-1,0
1.005,2200.0,0.012403,-0.006240,0.003081,0.054025,-0.156856,2,-1
1.005,2300.0,0.006211,-0.018127,-0.005958,0.073223,-0.030999,0,-3
1.005,2400.0,0.015314,-0.012103,0.001606,0.015898,0.082918,3,0
1.005,2500.0,0.009188,-0.012658,-0.001735,-0.035668,0.099216,-1,1
1.005,2600.0,0.003063,-0.009050,-0.002994,0.004566,0.011922,-1,1
1.005,2700.0,0.009174,-0.006042,0.001566,0.059347,-0.039843,0,0
1.005,2800.0,0.015290,-0.012012,0.001639,-0.010231,-0.067716,2,-1
1.005,2900.0,0.009119,-0.009050,0.000034,0.056775,-0.057172,0,0
1.005,3000.0,0.015083,-0.009174,0.002954,-0.071628,-0.084956,2,-1
1.005,3100.0,0.011958,-0.012121,-0.000082,-0.105357,0.023090,-1,0
1.005,3200.0,0.003044,-0.009050,-0.003003,0.038431,0.015683,-3,2
1.005,3300.0,0.006024,-0.009009,-0.001492,0.117131,-0.006540,1,0
1.005,3400.0,0.011852,-0.006202,0.002825,0.092278,-0.084892,2,0
1.005,3500.0,0.014793,-0.008969,0.002912,0.002872,-0.041887,2,-1
1.005,3600.0,0.012365,-0.014948,-0.001291,-0.057097,0.063390,-1,-1
1.005,3700.0,0.009022,-0.014948,-0.002963,-0.028444,0.159687,-1,0
1.005,3800.0,0.009077,-0.009009,0.000034,-0.005699,0.114086,0,1
1.005,3900.0,0.009077,-0.005988,0.001545,0.017046,0.014977,0,1
1.005,4000.0,0.009231,-0.005988,0.001621,0.039791,-0.045692,0,0
1.005,4100.0,0.012195,-0.011958,0.000118,0.029983,-0.032272,1,-1
1.005,4200.0,0.009217,-0.012195,-0.001489,-0.006293,0.004766,0,0
1.005,4300.0,0.009274,-0.009479,-0.000103,0.025315,-0.005604,-1,1
1.005,4400.0,0.009217,-0.008996,0.000111,0.048060,-0.027827,0,0
1.005,4500.0,0.011834,-0.011958,-0.000062,0.002863,0.003285,1,-1
1.005,4600.0,0.011834,-0.011905,-0.000035,-0.033472,0.040323,0,0
1.005,4700.0,0.012103,-0.008969,0.001567,-0.069807,0.009211,0,1
1.005,4800.0,0.006144,-0.008969,-0.001412,-0.047062,-0.013012,-1,0
1.005,4900.0,0.009174,-0.008969,0.000103,-0.024317,-0.035235,0,0
1.005,5000.0,0.006250,-0.009105,-0.001427,-0.001572,-0.057458,0,0
1.005,5100.0,0.009375,-0.011958,-0.001292,0.021173,0.006248,0,-1
1.005,5200.0,0.009245,-0.011940,-0.001348,-0.035840,0.031487,1,0
1.005,5300.0,0.009302,-0.011940,-0.001319,-0.019003,0.068525,-1,0
1.005,5400.0,0.008863,-0.008915,-0.000026,0.042148,0.019635,1,1
1.005,5500.0,0.011817,-0.005944,0.002937,-0.000095,-0.058884,1,1
1.005,5600.0,0.011817,-0.008915,0.001451,-0.036430,-0.140366,0,-1
1.005,5700.0,0.008863,-0.017831,-0.004484,-0.022547,0.044820,-1,-3
1.005,5800.0,0.009105,-0.011940,-0.001418,0.000198,0.064081,0,2
1.005,5900.0,0.006163,-0.009709,-0.001773,0.022943,0.038895,0,1
1.005,6000.0,0.009245,-0.005970,0.001637,0.042734,-0.048513,1,1
1.005,6100.0,0.012214,-0.012289,-0.000038,-0.005417,-0.017401,1,-2
1.005,6200.0,0.009105,-0.012308,-0.001601,0.011420,0.019637,-1,0
1.005,6300.0,0.008876,-0.008915,-0.000020,0.034165,-0.002493,0,1
1.005,6400.0,0.012030,-0.011940,0.000045,0.056911,0.031582,1,-1
