t_fs,step,phase,i_applied,v_cell
0.000,0,pre,0.000000e0,-6.662324e-3
5.000,1,on,1.000000e-2,-6.714663e-3
10.000,2,on,1.000000e-2,-6.748531e-3
20.000,4,on,1.000000e-2,-6.580618e-3
30.000,6,on,1.000000e-2,-6.582798e-3
40.000,8,on,1.000000e-2,-6.590211e-3
50.000,10,on,1.000000e-2,-6.705829e-3
60.000,12,on,1.000000e-2,-6.725471e-3
70.000,14,on,1.000000e-2,-6.597137e-3
80.000,16,on,1.000000e-2,-6.566546e-3
90.000,18,on,1.000000e-2,-6.573521e-3
100.000,20,on,1.000000e-2,-5.772647e-3
110.000,22,on,1.000000e-2,-1.401034e-2
120.000,24,on,1.000000e-2,-1.296150e-2
130.000,26,on,1.000000e-2,-1.264055e-2
140.000,28,on,1.000000e-2,-1.225966e-2
150.000,30,on,1.000000e-2,-1.193389e-2
160.000,32,on,1.000000e-2,-1.217031e-2
170.000,34,on,1.000000e-2,-1.176376e-2
180.000,36,on,1.000000e-2,-1.198979e-2
190.000,38,on,1.000000e-2,-8.488417e-3
200.000,40,on,1.000000e-2,-1.122373e-2
210.000,42,on,1.000000e-2,-1.351621e-2
220.000,44,on,1.000000e-2,-1.419189e-2
230.000,46,on,1.000000e-2,-1.838947e-2
240.000,48,on,1.000000e-2,-1.720422e-2
250.000,50,on,1.000000e-2,-1.635225e-2
260.000,52,on,1.000000e-2,-1.556529e-2
270.000,54,on,1.000000e-2,-1.239040e-2
280.000,56,on,1.000000e-2,-1.227577e-2
290.000,58,on,1.000000e-2,-1.555183e-2
300.000,60,on,1.000000e-2,-2.015904e-2
310.000,62,on,1.000000e-2,-1.995831e-2
320.000,64,on,1.000000e-2,-1.939000e-2
330.000,66,on,1.000000e-2,-1.829353e-2
340.000,68,on,1.000000e-2,-1.539393e-2
350.000,70,on,1.000000e-2,-1.860761e-2
360.000,72,on,1.000000e-2,-1.756171e-2
370.000,74,on,1.000000e-2,-1.701933e-2
380.000,76,on,1.000000e-2,-1.672137e-2
390.000,78,on,1.000000e-2,-1.645859e-2
400.000,80,on,1.000000e-2,-2.347034e-2
410.000,82,on,1.000000e-2,-2.733551e-2
420.000,84,on,1.000000e-2,-2.722000e-2
430.000,86,on,1.000000e-2,-2.595028e-2
440.000,88,on,1.000000e-2,-2.499357e-2
450.000,90,on,1.000000e-2,-2.412898e-2
460.000,92,on,1.000000e-2,-2.381122e-2
470.000,94,on,1.000000e-2,-2.354370e-2
480.000,96,on,1.000000e-2,-2.039165e-2
490.000,98,on,1.000000e-2,-2.069046e-2
500.000,100,on,1.000000e-2,-1.978294e-2
510.000,102,on,1.000000e-2,-3.265471e-2
520.000,104,on,1.000000e-2,-3.114477e-2
530.000,106,on,1.000000e-2,-3.032465e-2
540.000,108,on,1.000000e-2,-2.964799e-2
550.000,110,on,1.000000e-2,-2.988697e-2
560.000,112,on,1.000000e-2,-2.973169e-2
570.000,114,on,1.000000e-2,-2.989069e-2
580.000,116,on,1.000000e-2,-2.928266e-2
590.000,118,on,1.000000e-2,-2.929417e-2
600.000,120,on,1.000000e-2,-3.364007e-2
610.000,122,on,1.000000e-2,-3.765526e-2
620.000,124,on,1.000000e-2,-3.668433e-2
630.000,126,on,1.000000e-2,-3.607323e-2
640.000,128,on,1.000000e-2,-3.718735e-2
650.000,130,on,1.000000e-2,-3.594563e-2
