t_fs,step,phase,i_applied,v_cell
0.000,0,pre,0.000000e0,-4.486610e-3
5.000,1,on,2.000000e-1,-8.798207e-3
10.000,2,on,2.000000e-1,-7.964622e-3
20.000,4,on,2.000000e-1,-1.929477e-2
30.000,6,on,2.000000e-1,-3.976547e-2
40.000,8,on,2.000000e-1,-4.156373e-2
50.000,10,on,2.000000e-1,-5.186607e-2
60.000,12,on,2.000000e-1,-6.753512e-2
70.000,14,on,2.000000e-1,-6.472494e-2
80.000,16,on,2.000000e-1,-9.018755e-2
90.000,18,on,2.000000e-1,-9.618825e-2
100.000,20,on,2.000000e-1,-1.049597e-1
110.000,22,on,2.000000e-1,-1.135167e-1
120.000,24,on,2.000000e-1,-1.282787e-1
130.000,26,on,2.000000e-1,-1.406424e-1
140.000,28,on,2.000000e-1,-1.329005e-1
150.000,30,on,2.000000e-1,-1.419757e-1
160.000,32,on,2.000000e-1,-1.543052e-1
170.000,34,on,2.000000e-1,-1.669238e-1
180.000,36,on,2.000000e-1,-1.812651e-1
190.000,38,on,2.000000e-1,-1.807566e-1
200.000,40,on,2.000000e-1,-1.872950e-1
210.000,42,on,2.000000e-1,-1.839003e-1
220.000,44,on,2.000000e-1,-1.974081e-1
230.000,46,on,2.000000e-1,-1.880185e-1
240.000,48,on,2.000000e-1,-2.136661e-1
250.000,50,on,2.000000e-1,-2.098110e-1
260.000,52,on,2.000000e-1,-2.280393e-1
270.000,54,on,2.000000e-1,-2.333743e-1
280.000,56,on,2.000000e-1,-2.464443e-1
290.000,58,on,2.000000e-1,-2.554520e-1
300.000,60,on,2.000000e-1,-2.345749e-1
310.000,62,on,2.000000e-1,-2.626313e-1
320.000,64,on,2.000000e-1,-2.804099e-1
330.000,66,on,2.000000e-1,-2.858820e-1
340.000,68,on,2.000000e-1,-3.082339e-1
350.000,70,on,2.000000e-1,-3.096545e-1
360.000,72,on,2.000000e-1,-2.960500e-1
370.000,74,on,2.000000e-1,-3.254133e-1
380.000,76,on,2.000000e-1,-3.211219e-1
390.000,78,on,2.000000e-1,-3.491391e-1
400.000,80,on,2.000000e-1,-3.596635e-1
410.000,82,on,2.000000e-1,-3.576904e-1
420.000,84,on,2.000000e-1,-3.747793e-1
430.000,86,on,2.000000e-1,-3.815302e-1
440.000,88,on,2.000000e-1,-3.867049e-1
450.000,90,on,2.000000e-1,-3.896278e-1
460.000,92,on,2.000000e-1,-3.979851e-1
470.000,94,on,2.000000e-1,-4.073029e-1
480.000,96,on,2.000000e-1,-4.172020e-1
490.000,98,on,2.000000e-1,-4.447950e-1
500.000,100,on,2.000000e-1,-4.525170e-1
510.000,102,on,2.000000e-1,-4.735177e-1
520.000,104,on,2.000000e-1,-4.769270e-1
530.000,106,on,2.000000e-1,-4.873058e-1
540.000,108,on,2.000000e-1,-4.959393e-1
550.000,110,on,2.000000e-1,-5.113125e-1
560.000,112,on,2.000000e-1,-5.123680e-1
570.000,114,on,2.000000e-1,-5.333956e-1
580.000,116,on,2.000000e-1,-5.393559e-1
590.000,118,on,2.000000e-1,-5.402879e-1
600.000,120,on,2.000000e-1,-5.567380e-1
610.000,122,on,2.000000e-1,-5.536460e-1
620.000,124,on,2.000000e-1,-5.529466e-1
630.000,126,on,2.000000e-1,-5.711535e-1
640.000,128,on,2.000000e-1,-5.748641e-1
650.000,130,on,2.000000e-1,-5.798017e-1
660.000,132,on,2.000000e-1,-5.933892e-1
670.000,134,on,2.000000e-1,-5.845738e-1
680.000,136,on,2.000000e-1,-6.006701e-1
690.000,138,on,2.000000e-1,-6.055914e-1
700.000,140,on,2.000000e-1,-6.167320e-1
710.000,142,on,2.000000e-1,-6.204675e-1
720.000,144,on,2.000000e-1,-6.294839e-1
730.000,146,on,2.000000e-1,-6.477466e-1
740.000,148,on,2.000000e-1,-6.488035e-1
750.000,150,on,2.000000e-1,-6.534312e-1
760.000,152,on,2.000000e-1,-6.569898e-1
770.000,154,on,2.000000e-1,-6.873325e-1
780.000,156,on,2.000000e-1,-6.623657e-1
790.000,158,on,2.000000e-1,-6.791992e-1
800.000,160,on,2.000000e-1,-6.789442e-1
810.000,162,on,2.000000e-1,-7.005867e-1
820.000,164,on,2.000000e-1,-7.337347e-1
830.000,166,on,2.000000e-1,-7.228729e-1
840.000,168,on,2.000000e-1,-7.142205e-1
850.000,170,on,2.000000e-1,-7.498922e-1
860.000,172,on,2.000000e-1,-7.341634e-1
870.000,174,on,2.000000e-1,-7.255886e-1
880.000,176,on,2.000000e-1,-7.488915e-1
890.000,178,on,2.000000e-1,-8.097664e-1
900.000,180,on,2.000000e-1,-7.657387e-1
910.000,182,on,2.000000e-1,-8.248014e-1
920.000,184,on,2.000000e-1,-8.146729e-1
930.000,186,on,2.000000e-1,-8.250831e-1
940.000,188,on,2.000000e-1,-8.282421e-1
950.000,190,on,2.000000e-1,-8.454764e-1
