t_fs,step,phase,i_applied,v_cell
0.000,0,pre,0.000000e0,-4.377564e-3
5.000,1,on,1.000000e-3,-4.308960e-3
10.000,2,on,1.000000e-3,-3.995769e-3
20.000,4,on,1.000000e-3,-4.154942e-3
30.000,6,on,1.000000e-3,-4.164936e-3
40.000,8,on,1.000000e-3,-4.174337e-3
50.000,10,on,1.000000e-3,-3.991102e-3
60.000,12,on,1.000000e-3,-3.870127e-3
70.000,14,on,1.000000e-3,-3.859510e-3
80.000,16,on,1.000000e-3,-3.865452e-3
90.000,18,on,1.000000e-3,-3.880558e-3
100.000,20,on,1.000000e-3,-3.881330e-3
110.000,22,on,1.000000e-3,-3.857590e-3
120.000,24,on,1.000000e-3,-4.059370e-3
130.000,26,on,1.000000e-3,-4.232632e-3
140.000,28,on,1.000000e-3,-4.131277e-3
150.000,30,on,1.000000e-3,-4.265000e-3
160.000,32,on,1.000000e-3,-4.338796e-3
170.000,34,on,1.000000e-3,-4.339665e-3
180.000,36,on,1.000000e-3,-4.398374e-3
190.000,38,on,1.000000e-3,-4.416005e-3
200.000,40,on,1.000000e-3,-4.395151e-3
210.000,42,on,1.000000e-3,-4.670806e-3
220.000,44,on,1.000000e-3,-4.451870e-3
230.000,46,on,1.000000e-3,-4.441216e-3
240.000,48,on,1.000000e-3,-4.360535e-3
250.000,50,on,1.000000e-3,-4.370188e-3
260.000,52,on,1.000000e-3,-4.364865e-3
270.000,54,on,1.000000e-3,-4.318288e-3
280.000,56,on,1.000000e-3,-4.337025e-3
290.000,58,on,1.000000e-3,-4.315651e-3
300.000,60,on,1.000000e-3,-4.359648e-3
310.000,62,on,1.000000e-3,-4.428251e-3
320.000,64,on,1.000000e-3,-4.454094e-3
330.000,66,on,1.000000e-3,-4.483455e-3
340.000,68,on,1.000000e-3,-4.479158e-3
350.000,70,on,1.000000e-3,-4.476173e-3
360.000,72,on,1.000000e-3,-4.515459e-3
370.000,74,on,1.000000e-3,-4.654594e-3
380.000,76,on,1.000000e-3,-4.429169e-3
390.000,78,on,1.000000e-3,-4.371064e-3
400.000,80,on,1.000000e-3,-4.324269e-3
410.000,82,on,1.000000e-3,-4.282586e-3
