t_fs,step,phase,i_applied,v_cell,v_metal_a,v_metal_b,v_bulk_a,v_bulk_b
0.000,0,pre_hold,0.000000e0,-1.961041e-3,5.125784e-4,2.473620e-3,-6.020179e-3,2.215776e-3
250.000,50,pre_hold,0.000000e0,-3.736055e-3,-1.295242e-3,2.440813e-3,-3.922505e-3,1.664251e-3
500.000,100,pre_hold,0.000000e0,-3.819701e-3,-1.320026e-3,2.499675e-3,-3.999146e-3,2.022266e-3
750.000,150,pre_hold,0.000000e0,-3.887109e-3,-1.341290e-3,2.545819e-3,-4.071252e-3,2.017504e-3
1000.000,200,pre_hold,0.000000e0,-3.928971e-3,-1.057778e-3,2.871193e-3,-4.480009e-3,1.713589e-3
1250.000,250,pre_hold,0.000000e0,-3.761674e-3,-1.076917e-3,2.684756e-3,-4.578108e-3,1.772698e-3
1500.000,300,pre_hold,0.000000e0,-4.607225e-3,-1.396788e-3,3.210437e-3,-4.277412e-3,3.055525e-3
1750.000,350,pre_hold,0.000000e0,-5.015433e-3,-1.495194e-3,3.520239e-3,-4.418728e-3,3.035664e-3
2000.000,400,pre_hold,0.000000e0,-5.585072e-3,-2.142246e-3,3.442826e-3,-5.964991e-3,2.788049e-3
2250.000,450,pre_hold,0.000000e0,-3.922923e-3,-9.963902e-4,2.926532e-3,-6.652229e-3,1.623626e-3
2500.000,500,pre_hold,0.000000e0,-4.835814e-3,-2.347339e-3,2.488475e-3,-7.253741e-3,1.717903e-3
2750.000,550,pre_hold,0.000000e0,-4.788920e-3,-2.126634e-3,2.662287e-3,-7.371267e-3,2.003583e-3
3000.000,600,pre_hold,0.000000e0,-4.899284e-3,-1.840020e-3,3.059264e-3,-7.300223e-3,2.334510e-3
3250.000,650,pre_hold,0.000000e0,-4.978122e-3,-1.594372e-3,3.383750e-3,-4.726290e-3,2.620106e-3
3500.000,700,pre_hold,0.000000e0,-4.691576e-3,-1.388083e-3,3.303493e-3,-5.154231e-3,2.445794e-3
3750.000,750,pre_hold,0.000000e0,-4.587326e-3,-1.161713e-3,3.425613e-3,-5.588448e-3,1.797339e-3
4000.000,800,pre_hold,0.000000e0,-3.837719e-3,-1.387020e-3,2.450699e-3,-5.312663e-3,1.196787e-3
