t_fs,step,phase,i_applied,v_cell,v_metal_a,v_metal_b,v_bulk_a,v_bulk_b
0.000,0,pre_hold,0.000000e0,-3.567549e-3,-1.801882e-3,1.765667e-3,-7.246084e-3,3.039822e-3
250.000,50,pre_hold,0.000000e0,-3.651055e-3,-1.752359e-3,1.898695e-3,-7.165862e-3,3.285227e-3
500.000,100,pre_hold,0.000000e0,-3.466195e-3,-1.726286e-3,1.739910e-3,-7.090895e-3,3.000675e-3
750.000,150,pre_hold,0.000000e0,-3.199989e-3,-1.696680e-3,1.503309e-3,-6.983624e-3,2.724677e-3
1000.000,200,pre_hold,0.000000e0,-3.438461e-3,-1.674855e-3,1.763606e-3,-6.958302e-3,3.239629e-3
1250.000,250,pre_hold,0.000000e0,-3.234633e-3,-1.662578e-3,1.572056e-3,-6.979893e-3,2.881252e-3
1500.000,300,pre_hold,0.000000e0,-3.404469e-3,-1.642719e-3,1.761749e-3,-6.936608e-3,3.214198e-3
1750.000,350,pre_hold,0.000000e0,-3.175668e-3,-1.626795e-3,1.548873e-3,-6.875939e-3,2.944812e-3
2000.000,400,pre_hold,0.000000e0,-3.397486e-3,-1.624273e-3,1.773213e-3,-6.860879e-3,3.225274e-3
2250.000,450,pre_hold,0.000000e0,-2.757064e-3,-1.641061e-3,1.116003e-3,-6.878634e-3,1.267413e-3
2500.000,500,pre_hold,0.000000e0,-2.773955e-3,-1.657538e-3,1.116418e-3,-6.892020e-3,1.228978e-3
2750.000,550,pre_hold,0.000000e0,-2.641579e-3,-1.656934e-3,9.846449e-4,-6.875998e-3,1.197675e-3
3000.000,600,pre_hold,0.000000e0,-2.781533e-3,-1.669897e-3,1.111636e-3,-6.883010e-3,1.121181e-3
3250.000,650,pre_hold,0.000000e0,-2.926328e-3,-1.677935e-3,1.248392e-3,-6.867286e-3,1.078032e-3
3500.000,700,pre_hold,0.000000e0,-2.737951e-3,-1.665802e-3,1.072149e-3,-6.835154e-3,1.009171e-3
3750.000,750,pre_hold,0.000000e0,-2.557429e-3,-1.645112e-3,9.123167e-4,-6.753497e-3,9.294097e-4
4000.000,800,pre_hold,0.000000e0,-2.674126e-3,-1.655527e-3,1.018599e-3,-6.768689e-3,8.693375e-4
4250.000,850,pre_hold,0.000000e0,-2.574367e-3,-1.665400e-3,9.089661e-4,-6.790930e-3,8.768924e-4
4500.000,900,pre_hold,0.000000e0,-2.868643e-3,-1.657595e-3,1.211048e-3,-6.843816e-3,8.601901e-4
4750.000,950,pre_hold,0.000000e0,-2.871927e-3,-1.661792e-3,1.210136e-3,-6.916742e-3,8.267768e-4
5000.000,1000,pre_hold,0.000000e0,-2.848810e-3,-1.644907e-3,1.203903e-3,-6.968901e-3,1.622261e-3
5000.000,1000,pre,0.000000e0,-2.848810e-3,-1.644907e-3,1.203903e-3,-6.968901e-3,1.622261e-3
5005.000,1001,on,0.000000e0,-2.917673e-3,-1.650265e-3,1.267408e-3,-6.957423e-3,1.848724e-3
5250.000,1050,on,0.000000e0,-3.310377e-3,-1.605602e-3,1.704775e-3,-7.032028e-3,2.515416e-3
5500.000,1100,on,0.000000e0,-3.334783e-3,-1.584486e-3,1.750297e-3,-7.088339e-3,2.611533e-3
5750.000,1150,on,0.000000e0,-3.071310e-3,-1.541183e-3,1.530128e-3,-7.014913e-3,2.438970e-3
6000.000,1200,on,0.000000e0,-2.558205e-3,-1.505932e-3,1.052273e-3,-6.985791e-3,1.240879e-3
6250.000,1250,on,0.000000e0,-2.697137e-3,-1.517185e-3,1.179952e-3,-7.028776e-3,7.729309e-4
6500.000,1300,on,0.000000e0,-2.913209e-3,-1.519592e-3,1.393617e-3,-7.036159e-3,7.420622e-4
6750.000,1350,on,0.000000e0,-2.414572e-3,-1.492339e-3,9.222332e-4,-7.085549e-3,8.675021e-4
7000.000,1400,on,0.000000e0,-2.944839e-3,-1.489752e-3,1.455087e-3,-7.161858e-3,8.172271e-4
7250.000,1450,on,0.000000e0,-2.708906e-3,-1.466512e-3,1.242394e-3,-7.259199e-3,8.606291e-4
7500.000,1500,on,0.000000e0,-2.578562e-3,-1.468931e-3,1.109631e-3,-7.369679e-3,8.721027e-4
7750.000,1550,on,0.000000e0,-3.001143e-3,-1.436060e-3,1.565082e-3,-7.376642e-3,2.444142e-3
8000.000,1600,on,0.000000e0,-3.173055e-3,-1.391957e-3,1.781098e-3,-7.373265e-3,2.523068e-3
8250.000,1650,on,0.000000e0,-2.957561e-3,-1.375501e-3,1.582060e-3,-7.391133e-3,2.432805e-3
8500.000,1700,on,0.000000e0,-3.154861e-3,-1.336529e-3,1.818332e-3,-7.381886e-3,2.451778e-3
8750.000,1750,on,0.000000e0,-2.918075e-3,-1.319463e-3,1.598612e-3,-7.397101e-3,2.396001e-3
9000.000,1800,on,0.000000e0,-2.399498e-3,-1.299767e-3,1.099731e-3,-7.425455e-3,1.004752e-3
9250.000,1850,on,0.000000e0,-2.424922e-3,-1.303476e-3,1.121446e-3,-7.519405e-3,1.066510e-3
9500.000,1900,on,0.000000e0,-2.413716e-3,-1.271617e-3,1.142099e-3,-7.543802e-3,1.090547e-3
9750.000,1950,on,0.000000e0,-2.729191e-3,-1.256478e-3,1.472713e-3,-7.623759e-3,9.946877e-4
10000.000,2000,on,0.000000e0,-2.935449e-3,-1.219201e-3,1.716248e-3,-7.667261e-3,8.933717e-4
10250.000,2050,on,0.000000e0,-2.954917e-3,-1.184715e-3,1.770203e-3,-7.677402e-3,2.436643e-3
10500.000,2100,on,0.000000e0,-3.156336e-3,-1.140119e-3,2.016218e-3,-7.661710e-3,2.427247e-3
10750.000,2150,on,0.000000e0,-2.897032e-3,-1.122030e-3,1.775002e-3,-7.646354e-3,2.439599e-3
11000.000,2200,on,0.000000e0,-2.622130e-3,-1.134066e-3,1.488064e-3,-7.671639e-3,1.158832e-3
11250.000,2250,on,0.000000e0,-2.385121e-3,-1.107900e-3,1.277221e-3,-7.629348e-3,1.283574e-3
11500.000,2300,on,0.000000e0,-2.431107e-3,-1.094588e-3,1.336519e-3,-7.648316e-3,1.264758e-3
11750.000,2350,on,0.000000e0,-2.456846e-3,-1.088465e-3,1.368381e-3,-7.673122e-3,1.245102e-3
12000.000,2400,on,0.000000e0,-2.555178e-3,-1.078185e-3,1.476993e-3,-7.664645e-3,1.121343e-3
12250.000,2450,on,0.000000e0,-2.977581e-3,-1.078013e-3,1.899569e-3,-7.663452e-3,2.402541e-3
12500.000,2500,on,0.000000e0,-3.035295e-3,-1.071694e-3,1.963600e-3,-7.649897e-3,2.389769e-3
12750.000,2550,on,0.000000e0,-3.261737e-3,-1.051694e-3,2.210042e-3,-7.664200e-3,2.505893e-3
13000.000,2600,on,0.000000e0,-2.959446e-3,-1.066003e-3,1.893442e-3,-7.703807e-3,2.447069e-3
13250.000,2650,on,0.000000e0,-2.420002e-3,-1.081189e-3,1.338812e-3,-7.773779e-3,1.397484e-3
13500.000,2700,on,0.000000e0,-2.536027e-3,-1.075183e-3,1.460844e-3,-7.807197e-3,1.241068e-3
13750.000,2750,on,0.000000e0,-2.451729e-3,-1.059683e-3,1.392045e-3,-7.785721e-3,1.381792e-3
14000.000,2800,on,0.000000e0,-2.509675e-3,-1.068122e-3,1.441553e-3,-7.821522e-3,1.391403e-3
14250.000,2850,on,0.000000e0,-2.567121e-3,-1.072803e-3,1.494317e-3,-7.873131e-3,1.449198e-3
14500.000,2900,on,0.000000e0,-3.044822e-3,-1.048128e-3,1.996694e-3,-7.871999e-3,2.430591e-3
14750.000,2950,on,0.000000e0,-2.684061e-3,-1.048338e-3,1.635723e-3,-7.910314e-3,1.629868e-3
15000.000,3000,on,0.000000e0,-2.497385e-3,-1.018924e-3,1.478461e-3,-7.874953e-3,1.401186e-3
15250.000,3050,on,0.000000e0,-2.417023e-3,-9.838656e-4,1.433157e-3,-7.816029e-3,1.441492e-3
15500.000,3100,on,0.000000e0,-2.873692e-3,-9.315599e-4,1.942132e-3,-7.748778e-3,2.334564e-3
15750.000,3150,on,0.000000e0,-2.595874e-3,-9.154371e-4,1.680437e-3,-7.784056e-3,1.933325e-3
16000.000,3200,on,0.000000e0,-2.239771e-3,-8.985533e-4,1.341217e-3,-7.786498e-3,1.323972e-3
16250.000,3250,on,0.000000e0,-2.173520e-3,-8.657791e-4,1.307741e-3,-7.735552e-3,1.454105e-3
16500.000,3300,on,0.000000e0,-2.138068e-3,-8.256380e-4,1.312429e-3,-7.676482e-3,1.445720e-3
16750.000,3350,on,0.000000e0,-2.566418e-3,-7.768444e-4,1.789574e-3,-7.633274e-3,2.230479e-3
17000.000,3400,on,0.000000e0,-2.069377e-3,-7.641494e-4,1.305228e-3,-7.606431e-3,1.167315e-3
17250.000,3450,on,0.000000e0,-2.060248e-3,-7.736771e-4,1.286571e-3,-7.649425e-3,1.100476e-3
17500.000,3500,on,0.000000e0,-2.055479e-3,-7.626528e-4,1.292827e-3,-7.679996e-3,1.019275e-3
17750.000,3550,on,0.000000e0,-2.128319e-3,-7.517031e-4,1.376615e-3,-7.646291e-3,8.992557e-4
18000.000,3600,on,0.000000e0,-2.444926e-3,-7.307879e-4,1.714138e-3,-7.628833e-3,1.696248e-3
18250.000,3650,on,0.000000e0,-2.797124e-3,-7.317641e-4,2.065359e-3,-7.615027e-3,1.854678e-3
18500.000,3700,on,0.000000e0,-2.790344e-3,-7.202644e-4,2.070080e-3,-7.615574e-3,1.664471e-3
18750.000,3750,on,0.000000e0,-2.725599e-3,-7.240758e-4,2.001523e-3,-7.604496e-3,1.273926e-3
19000.000,3800,on,0.000000e0,-2.046879e-3,-7.686876e-4,1.278192e-3,-7.639050e-3,2.865460e-4
19250.000,3850,on,0.000000e0,-2.081817e-3,-7.922744e-4,1.289542e-3,-7.663240e-3,1.582682e-4
19500.000,3900,on,0.000000e0,-2.111278e-3,-7.845397e-4,1.326738e-3,-7.589996e-3,5.181786e-5
19750.000,3950,on,0.000000e0,-2.142702e-3,-7.979799e-4,1.344722e-3,-7.621862e-3,-9.041871e-5
20000.000,4000,on,0.000000e0,-2.158427e-3,-8.115325e-4,1.346894e-3,-7.599173e-3,-1.748738e-4
20250.000,4050,on,0.000000e0,-2.848909e-3,-8.075085e-4,2.041401e-3,-7.559862e-3,7.427301e-4
20500.000,4100,on,0.000000e0,-2.892175e-3,-8.047431e-4,2.087432e-3,-7.535456e-3,8.911347e-4
20750.000,4150,on,0.000000e0,-2.629995e-3,-8.303202e-4,1.799674e-3,-7.587841e-3,8.371472e-4
21000.000,4200,on,0.000000e0,-2.153597e-3,-8.634668e-4,1.290130e-3,-7.642213e-3,-4.160065e-4
21250.000,4250,on,0.000000e0,-2.172089e-3,-8.927391e-4,1.279350e-3,-7.691086e-3,-6.186347e-4
21500.000,4300,on,0.000000e0,-2.205239e-3,-9.016122e-4,1.303627e-3,-7.712357e-3,-6.436561e-4
21750.000,4350,on,0.000000e0,-2.624149e-3,-8.945153e-4,1.729633e-3,-7.679289e-3,1.647266e-5
22000.000,4400,on,0.000000e0,-2.904143e-3,-8.832625e-4,2.020880e-3,-7.658675e-3,6.694459e-5
22250.000,4450,on,0.000000e0,-2.613759e-3,-9.000194e-4,1.713739e-3,-7.695355e-3,-4.808871e-5
22500.000,4500,on,0.000000e0,-2.278343e-3,-9.470663e-4,1.331277e-3,-7.763054e-3,-9.661198e-4
22750.000,4550,on,0.000000e0,-2.299113e-3,-9.503633e-4,1.348749e-3,-7.836645e-3,-8.449891e-4
23000.000,4600,on,0.000000e0,-2.349438e-3,-9.708469e-4,1.378591e-3,-7.899235e-3,-8.825563e-4
23250.000,4650,on,0.000000e0,-2.831799e-3,-9.899341e-4,1.841865e-3,-7.950624e-3,-1.163593e-4
23500.000,4700,on,0.000000e0,-2.378698e-3,-1.016588e-3,1.362110e-3,-8.072927e-3,-1.166311e-3
23750.000,4750,on,0.000000e0,-2.383281e-3,-1.047101e-3,1.336179e-3,-8.176931e-3,-1.235739e-3
24000.000,4800,on,0.000000e0,-3.091903e-3,-1.015221e-3,2.076683e-3,-8.169867e-3,-4.262991e-4
24250.000,4850,on,0.000000e0,-2.377748e-3,-1.033744e-3,1.344003e-3,-8.182345e-3,-1.329680e-3
