t_fs,step,phase,i_applied,v_cell
0.000,0,pre_hold,0.000000e0,-4.005604e-3
500.000,100,pre_hold,0.000000e0,-3.661343e-3
1000.000,200,pre_hold,0.000000e0,-3.988767e-3
1500.000,300,pre_hold,0.000000e0,-3.478504e-3
2000.000,400,pre_hold,0.000000e0,-4.072261e-3
2500.000,500,pre_hold,0.000000e0,-4.072610e-3
3000.000,600,pre_hold,0.000000e0,-3.572382e-3
3500.000,700,pre_hold,0.000000e0,-4.226106e-3
4000.000,800,pre_hold,0.000000e0,-4.456281e-3
4500.000,900,pre_hold,0.000000e0,-4.867596e-3
5000.000,1000,pre_hold,0.000000e0,-4.951281e-3
5000.000,1000,pre,0.000000e0,-4.951281e-3
5005.000,1001,on,1.000000e-5,-4.777934e-3
5500.000,1100,on,1.000000e-5,-4.389490e-3
6000.000,1200,on,1.000000e-5,-5.301972e-3
6500.000,1300,on,1.000000e-5,-5.278867e-3
7000.000,1400,on,1.000000e-5,-4.919625e-3
7500.000,1500,on,1.000000e-5,-4.805317e-3
8000.000,1600,on,1.000000e-5,-5.493145e-3
8500.000,1700,on,1.000000e-5,-5.734759e-3
9000.000,1800,on,1.000000e-5,-5.215217e-3
9500.000,1900,on,1.000000e-5,-5.263544e-3
10000.000,2000,on,1.000000e-5,-5.627267e-3
10500.000,2100,on,1.000000e-5,-5.532749e-3
11000.000,2200,on,1.000000e-5,-5.756239e-3
11500.000,2300,on,1.000000e-5,-6.393782e-3
12000.000,2400,on,1.000000e-5,-6.436657e-3
12500.000,2500,on,1.000000e-5,-5.837258e-3
13000.000,2600,on,1.000000e-5,-5.756373e-3
13500.000,2700,on,1.000000e-5,-5.801478e-3
14000.000,2800,on,1.000000e-5,-6.040336e-3
14500.000,2900,on,1.000000e-5,-6.500680e-3
15000.000,3000,on,1.000000e-5,-5.795564e-3
15500.000,3100,on,1.000000e-5,-6.216528e-3
16000.000,3200,on,1.000000e-5,-6.372949e-3
16500.000,3300,on,1.000000e-5,-5.557029e-3
17000.000,3400,on,1.000000e-5,-5.524413e-3
17500.000,3500,on,1.000000e-5,-5.495760e-3
18000.000,3600,on,1.000000e-5,-6.000361e-3
18500.000,3700,on,1.000000e-5,-5.541420e-3
19000.000,3800,on,1.000000e-5,-5.498884e-3
19500.000,3900,on,1.000000e-5,-5.884280e-3
20000.000,4000,on,1.000000e-5,-5.372376e-3
20500.000,4100,on,1.000000e-5,-5.325601e-3
21000.000,4200,on,1.000000e-5,-5.734554e-3
21500.000,4300,on,1.000000e-5,-5.208059e-3
22000.000,4400,on,1.000000e-5,-5.430629e-3
22500.000,4500,on,1.000000e-5,-4.997699e-3
23000.000,4600,on,1.000000e-5,-4.897593e-3
23500.000,4700,on,1.000000e-5,-5.235713e-3
24000.000,4800,on,1.000000e-5,-5.441032e-3
24500.000,4900,on,1.000000e-5,-4.816979e-3
25000.000,5000,on,1.000000e-5,-5.185330e-3
25500.000,5100,on,1.000000e-5,-4.644392e-3
26000.000,5200,on,1.000000e-5,-4.646616e-3
26500.000,5300,on,1.000000e-5,-4.594819e-3
27000.000,5400,on,1.000000e-5,-4.617664e-3
27500.000,5500,on,1.000000e-5,-4.611496e-3
28000.000,5600,on,1.000000e-5,-4.563295e-3
28500.000,5700,on,1.000000e-5,-4.532955e-3
29000.000,5800,on,1.000000e-5,-4.476930e-3
29500.000,5900,on,1.000000e-5,-4.455685e-3
30000.000,6000,on,1.000000e-5,-4.565594e-3
30500.000,6100,on,1.000000e-5,-4.588043e-3
31000.000,6200,on,1.000000e-5,-4.416188e-3
31500.000,6300,on,1.000000e-5,-4.863045e-3
32000.000,6400,on,1.000000e-5,-4.501658e-3
32500.000,6500,on,1.000000e-5,-4.534529e-3
33000.000,6600,on,1.000000e-5,-4.681823e-3
33500.000,6700,on,1.000000e-5,-4.545321e-3
34000.000,6800,on,1.000000e-5,-4.611706e-3
34500.000,6900,on,1.000000e-5,-4.619824e-3
35000.000,7000,on,1.000000e-5,-4.608193e-3
35500.000,7100,on,1.000000e-5,-5.070745e-3
36000.000,7200,on,1.000000e-5,-4.652474e-3
36500.000,7300,on,1.000000e-5,-5.561165e-3
37000.000,7400,on,1.000000e-5,-4.772075e-3
37500.000,7500,on,1.000000e-5,-4.794971e-3
38000.000,7600,on,1.000000e-5,-5.475157e-3
38500.000,7700,on,1.000000e-5,-4.880467e-3
39000.000,7800,on,1.000000e-5,-3.609360e-3
39500.000,7900,on,1.000000e-5,-4.678637e-3
40000.000,8000,on,1.000000e-5,-4.970390e-3
40500.000,8100,on,1.000000e-5,-4.646752e-3
