t_fs,step,phase,i_applied,v_cell
0.000,0,pre,0.000000e0,-4.178730e-3
5.000,1,on,6.000000e-2,-4.177876e-3
10.000,2,on,6.000000e-2,-4.206564e-3
20.000,4,on,6.000000e-2,-6.916755e-3
30.000,6,on,6.000000e-2,-1.035056e-2
40.000,8,on,6.000000e-2,-1.356236e-2
50.000,10,on,6.000000e-2,-1.707632e-2
60.000,12,on,6.000000e-2,-1.387847e-2
70.000,14,on,6.000000e-2,-2.548500e-2
80.000,16,on,6.000000e-2,-2.926564e-2
90.000,18,on,6.000000e-2,-3.575356e-2
100.000,20,on,6.000000e-2,-3.178472e-2
110.000,22,on,6.000000e-2,-3.476249e-2
120.000,24,on,6.000000e-2,-3.788952e-2
130.000,26,on,6.000000e-2,-3.829149e-2
140.000,28,on,6.000000e-2,-2.955650e-2
150.000,30,on,6.000000e-2,-3.198120e-2
160.000,32,on,6.000000e-2,-3.456300e-2
170.000,34,on,6.000000e-2,-4.585230e-2
180.000,36,on,6.000000e-2,-5.711551e-2
190.000,38,on,6.000000e-2,-5.214328e-2
200.000,40,on,6.000000e-2,-5.668228e-2
210.000,42,on,6.000000e-2,-5.633104e-2
220.000,44,on,6.000000e-2,-6.425697e-2
230.000,46,on,6.000000e-2,-6.146628e-2
240.000,48,on,6.000000e-2,-7.125898e-2
250.000,50,on,6.000000e-2,-6.858896e-2
260.000,52,on,6.000000e-2,-7.535902e-2
270.000,54,on,6.000000e-2,-6.927691e-2
280.000,56,on,6.000000e-2,-7.305330e-2
290.000,58,on,6.000000e-2,-7.542524e-2
300.000,60,on,6.000000e-2,-7.343009e-2
310.000,62,on,6.000000e-2,-7.400629e-2
320.000,64,on,6.000000e-2,-8.110985e-2
330.000,66,on,6.000000e-2,-7.815985e-2
340.000,68,on,6.000000e-2,-8.627184e-2
350.000,70,on,6.000000e-2,-8.882044e-2
360.000,72,on,6.000000e-2,-9.655032e-2
370.000,74,on,6.000000e-2,-9.401777e-2
380.000,76,on,6.000000e-2,-1.020180e-1
390.000,78,on,6.000000e-2,-1.057180e-1
400.000,80,on,6.000000e-2,-1.035993e-1
410.000,82,on,6.000000e-2,-1.021253e-1
420.000,84,on,6.000000e-2,-1.028870e-1
430.000,86,on,6.000000e-2,-1.043614e-1
440.000,88,on,6.000000e-2,-1.110829e-1
450.000,90,on,6.000000e-2,-1.148654e-1
460.000,92,on,6.000000e-2,-1.065493e-1
470.000,94,on,6.000000e-2,-1.160740e-1
480.000,96,on,6.000000e-2,-1.245673e-1
490.000,98,on,6.000000e-2,-1.267612e-1
500.000,100,on,6.000000e-2,-1.114676e-1
510.000,102,on,6.000000e-2,-1.267718e-1
520.000,104,on,6.000000e-2,-1.429592e-1
530.000,106,on,6.000000e-2,-1.360651e-1
540.000,108,on,6.000000e-2,-1.367142e-1
550.000,110,on,6.000000e-2,-1.359230e-1
560.000,112,on,6.000000e-2,-1.217216e-1
570.000,114,on,6.000000e-2,-1.356592e-1
580.000,116,on,6.000000e-2,-1.432425e-1
590.000,118,on,6.000000e-2,-1.422493e-1
600.000,120,on,6.000000e-2,-1.359541e-1
610.000,122,on,6.000000e-2,-1.631057e-1
620.000,124,on,6.000000e-2,-1.668373e-1
630.000,126,on,6.000000e-2,-1.717430e-1
640.000,128,on,6.000000e-2,-1.654620e-1
650.000,130,on,6.000000e-2,-1.657864e-1
660.000,132,on,6.000000e-2,-1.766761e-1
670.000,134,on,6.000000e-2,-1.721046e-1
680.000,136,on,6.000000e-2,-1.851478e-1
690.000,138,on,6.000000e-2,-1.766356e-1
700.000,140,on,6.000000e-2,-1.848722e-1
710.000,142,on,6.000000e-2,-1.907053e-1
720.000,144,on,6.000000e-2,-1.896476e-1
730.000,146,on,6.000000e-2,-1.944758e-1
740.000,148,on,6.000000e-2,-2.027307e-1
750.000,150,on,6.000000e-2,-2.040144e-1
760.000,152,on,6.000000e-2,-2.033473e-1
770.000,154,on,6.000000e-2,-1.920910e-1
780.000,156,on,6.000000e-2,-2.052169e-1
790.000,158,on,6.000000e-2,-2.043927e-1
800.000,160,on,6.000000e-2,-2.155280e-1
810.000,162,on,6.000000e-2,-2.098552e-1
820.000,164,on,6.000000e-2,-2.199642e-1
830.000,166,on,6.000000e-2,-2.086998e-1
840.000,168,on,6.000000e-2,-2.262774e-1
850.000,170,on,6.000000e-2,-2.304263e-1
860.000,172,on,6.000000e-2,-2.286953e-1
870.000,174,on,6.000000e-2,-2.308930e-1
880.000,176,on,6.000000e-2,-2.259557e-1
890.000,178,on,6.000000e-2,-2.335382e-1
900.000,180,on,6.000000e-2,-2.298764e-1
910.000,182,on,6.000000e-2,-2.367841e-1
920.000,184,on,6.000000e-2,-2.360229e-1
930.000,186,on,6.000000e-2,-2.395830e-1
940.000,188,on,6.000000e-2,-2.369192e-1
950.000,190,on,6.000000e-2,-2.473616e-1
960.000,192,on,6.000000e-2,-2.491342e-1
970.000,194,on,6.000000e-2,-2.648538e-1
980.000,196,on,6.000000e-2,-2.758338e-1
990.000,198,on,6.000000e-2,-2.731973e-1
1000.000,200,on,6.000000e-2,-2.484663e-1
1010.000,202,on,6.000000e-2,-2.554404e-1
1020.000,204,on,6.000000e-2,-2.527406e-1
1030.000,206,on,6.000000e-2,-2.752967e-1
1040.000,208,on,6.000000e-2,-2.738114e-1
1050.000,210,on,6.000000e-2,-2.942057e-1
1060.000,212,on,6.000000e-2,-2.806196e-1
1070.000,214,on,6.000000e-2,-2.737647e-1
1080.000,216,on,6.000000e-2,-2.860285e-1
1090.000,218,on,6.000000e-2,-3.005362e-1
1100.000,220,on,6.000000e-2,-3.143341e-1
1110.000,222,on,6.000000e-2,-3.053738e-1
1120.000,224,on,6.000000e-2,-2.974004e-1
1130.000,226,on,6.000000e-2,-2.935640e-1
1140.000,228,on,6.000000e-2,-2.993693e-1
1150.000,230,on,6.000000e-2,-2.946609e-1
1160.000,232,on,6.000000e-2,-3.030203e-1
1170.000,234,on,6.000000e-2,-3.286968e-1
1180.000,236,on,6.000000e-2,-3.169461e-1
1190.000,238,on,6.000000e-2,-3.161516e-1
1200.000,240,on,6.000000e-2,-3.024666e-1
1210.000,242,on,6.000000e-2,-3.219753e-1
1220.000,244,on,6.000000e-2,-3.412064e-1
1230.000,246,on,6.000000e-2,-3.354265e-1
1240.000,248,on,6.000000e-2,-3.298528e-1
1250.000,250,on,6.000000e-2,-3.440808e-1
1260.000,252,on,6.000000e-2,-3.292323e-1
1270.000,254,on,6.000000e-2,-3.442371e-1
1280.000,256,on,6.000000e-2,-3.395233e-1
1290.000,258,on,6.000000e-2,-3.487136e-1
1300.000,260,on,6.000000e-2,-3.415808e-1
1310.000,262,on,6.000000e-2,-3.298566e-1
1320.000,264,on,6.000000e-2,-3.364596e-1
1330.000,266,on,6.000000e-2,-3.481268e-1
1340.000,268,on,6.000000e-2,-3.593232e-1
1350.000,270,on,6.000000e-2,-3.501220e-1
1360.000,272,on,6.000000e-2,-3.614505e-1
1370.000,274,on,6.000000e-2,-3.576775e-1
1380.000,276,on,6.000000e-2,-3.526000e-1
1390.000,278,on,6.000000e-2,-3.626275e-1
1400.000,280,on,6.000000e-2,-3.669515e-1
1410.000,282,on,6.000000e-2,-3.870227e-1
1420.000,284,on,6.000000e-2,-3.698823e-1
1430.000,286,on,6.000000e-2,-3.714118e-1
1440.000,288,on,6.000000e-2,-3.904946e-1
1450.000,290,on,6.000000e-2,-3.793482e-1
1460.000,292,on,6.000000e-2,-3.723019e-1
1470.000,294,on,6.000000e-2,-3.872454e-1
1480.000,296,on,6.000000e-2,-3.881085e-1
1490.000,298,on,6.000000e-2,-3.806587e-1
1500.000,300,on,6.000000e-2,-4.175347e-1
1510.000,302,on,6.000000e-2,-4.007408e-1
1520.000,304,on,6.000000e-2,-3.872443e-1
1530.000,306,on,6.000000e-2,-3.865146e-1
1540.000,308,on,6.000000e-2,-3.969750e-1
1550.000,310,on,6.000000e-2,-4.077312e-1
1560.000,312,on,6.000000e-2,-4.060206e-1
1570.000,314,on,6.000000e-2,-3.987241e-1
1580.000,316,on,6.000000e-2,-4.278041e-1
1590.000,318,on,6.000000e-2,-4.032395e-1
1600.000,320,on,6.000000e-2,-4.111185e-1
1610.000,322,on,6.000000e-2,-4.130233e-1
1620.000,324,on,6.000000e-2,-4.161657e-1
1630.000,326,on,6.000000e-2,-4.149030e-1
1640.000,328,on,6.000000e-2,-4.377060e-1
1650.000,330,on,6.000000e-2,-4.463429e-1
1660.000,332,on,6.000000e-2,-4.418169e-1
1670.000,334,on,6.000000e-2,-4.362466e-1
1680.000,336,on,6.000000e-2,-4.610749e-1
1690.000,338,on,6.000000e-2,-4.610099e-1
1700.000,340,on,6.000000e-2,-4.617895e-1
1710.000,342,on,6.000000e-2,-4.416414e-1
1720.000,344,on,6.000000e-2,-4.490485e-1
1730.000,346,on,6.000000e-2,-4.391454e-1
1740.000,348,on,6.000000e-2,-4.432812e-1
1750.000,350,on,6.000000e-2,-4.469832e-1
1760.000,352,on,6.000000e-2,-4.791672e-1
1770.000,354,on,6.000000e-2,-5.078856e-1
1780.000,356,on,6.000000e-2,-4.778360e-1
