t_fs,step,phase,i_applied,v_cell
0.000,0,pre,0.000000e0,-4.642534e-3
5.000,1,on,1.000000e-3,-4.642373e-3
10.000,2,on,1.000000e-3,-4.770338e-3
20.000,4,on,1.000000e-3,-4.660216e-3
30.000,6,on,1.000000e-3,-4.662795e-3
40.000,8,on,1.000000e-3,-4.801625e-3
50.000,10,on,1.000000e-3,-4.782453e-3
60.000,12,on,1.000000e-3,-4.679673e-3
70.000,14,on,1.000000e-3,-4.664487e-3
80.000,16,on,1.000000e-3,-4.802163e-3
90.000,18,on,1.000000e-3,-4.814765e-3
100.000,20,on,1.000000e-3,-4.685702e-3
110.000,22,on,1.000000e-3,-4.695817e-3
120.000,24,on,1.000000e-3,-4.814636e-3
130.000,26,on,1.000000e-3,-4.812344e-3
140.000,28,on,1.000000e-3,-4.695123e-3
150.000,30,on,1.000000e-3,-4.712635e-3
160.000,32,on,1.000000e-3,-4.828515e-3
170.000,34,on,1.000000e-3,-4.964813e-3
180.000,36,on,1.000000e-3,-4.832000e-3
190.000,38,on,1.000000e-3,-4.843491e-3
200.000,40,on,1.000000e-3,-4.699877e-3
210.000,42,on,1.000000e-3,-4.712034e-3
220.000,44,on,1.000000e-3,-4.726357e-3
230.000,46,on,1.000000e-3,-4.713609e-3
240.000,48,on,1.000000e-3,-4.734765e-3
250.000,50,on,1.000000e-3,-4.987329e-3
260.000,52,on,1.000000e-3,-4.710041e-3
270.000,54,on,1.000000e-3,-4.713555e-3
280.000,56,on,1.000000e-3,-4.724550e-3
290.000,58,on,1.000000e-3,-4.792363e-3
300.000,60,on,1.000000e-3,-4.865713e-3
310.000,62,on,1.000000e-3,-4.918596e-3
320.000,64,on,1.000000e-3,-5.002077e-3
330.000,66,on,1.000000e-3,-4.724981e-3
340.000,68,on,1.000000e-3,-4.734320e-3
350.000,70,on,1.000000e-3,-4.730256e-3
360.000,72,on,1.000000e-3,-4.733263e-3
370.000,74,on,1.000000e-3,-4.844451e-3
380.000,76,on,1.000000e-3,-4.713963e-3
390.000,78,on,1.000000e-3,-4.718993e-3
400.000,80,on,1.000000e-3,-4.733359e-3
410.000,82,on,1.000000e-3,-4.751425e-3
420.000,84,on,1.000000e-3,-4.891781e-3
430.000,86,on,1.000000e-3,-4.879136e-3
440.000,88,on,1.000000e-3,-4.882769e-3
450.000,90,on,1.000000e-3,-4.884965e-3
460.000,92,on,1.000000e-3,-4.883185e-3
470.000,94,on,1.000000e-3,-5.051590e-3
480.000,96,on,1.000000e-3,-4.894668e-3
490.000,98,on,1.000000e-3,-4.756825e-3
500.000,100,on,1.000000e-3,-4.721161e-3
510.000,102,on,1.000000e-3,-4.734414e-3
520.000,104,on,1.000000e-3,-4.751016e-3
