t_fs,step,phase,i_applied,v_cell
0.000,0,pre_hold,0.000000e0,-3.332717e-3
250.000,50,pre_hold,-1.891851e-4,3.108126e-3
500.000,100,pre_hold,-1.891851e-4,1.305632e-3
750.000,150,pre_hold,-1.891851e-4,-3.122071e-3
1000.000,200,pre_hold,-1.891851e-4,-1.005767e-3
1250.000,250,pre_hold,-1.891851e-4,4.235674e-3
1500.000,300,pre_hold,-1.891851e-4,-4.345299e-3
1750.000,350,pre_hold,-1.891851e-4,2.487145e-3
2000.000,400,pre_hold,-1.891851e-4,-3.515230e-5
2250.000,450,pre_hold,-1.891851e-4,5.026418e-4
2500.000,500,pre_hold,-1.891851e-4,-5.667033e-4
2750.000,550,pre_hold,-1.891851e-4,6.815512e-5
3000.000,600,pre_hold,-1.891851e-4,1.401129e-2
3250.000,650,pre_hold,-1.891851e-4,6.950525e-3
3500.000,700,pre_hold,-5.028856e-2,-1.307277e-2
3750.000,750,pre_hold,6.339264e-2,4.258107e-3
4000.000,800,pre_hold,-1.254326e-1,4.393750e-3
4250.000,850,pre_hold,5.588174e-3,1.782006e-3
4500.000,900,pre_hold,3.661394e-3,5.231058e-3
4750.000,950,pre_hold,4.990220e-2,9.442031e-3
5000.000,1000,pre_hold,-2.331913e-2,-4.114570e-3
5000.000,1000,pre,0.000000e0,-4.114570e-3
5005.000,1001,on,1.951538e-1,-4.198463e-3
5250.000,1050,on,1.130554e-1,-6.663340e-2
5500.000,1100,on,-1.022041e-2,-4.248361e-2
5750.000,1150,on,-4.297554e-2,-4.170591e-2
6000.000,1200,on,-6.610000e-2,-4.495096e-2
6250.000,1250,on,1.130859e-1,-4.702763e-2
6500.000,1300,on,6.684124e-2,-5.431857e-2
6750.000,1350,on,-6.032765e-2,-5.889371e-2
7000.000,1400,on,4.371631e-2,-4.645446e-2
7250.000,1450,on,-3.528297e-2,-5.027599e-2
7500.000,1500,on,-8.923256e-2,-5.242429e-2
7750.000,1550,on,6.297839e-2,-4.080093e-2
8000.000,1600,on,2.443922e-2,-6.259327e-2
8250.000,1650,on,-3.529656e-2,-4.182928e-2
8500.000,1700,on,1.672781e-2,-4.791656e-2
8750.000,1750,on,7.091403e-3,-3.538626e-2
9000.000,1800,on,-2.546906e-3,-5.364562e-2
9250.000,1850,on,7.066882e-2,-4.855966e-2
9500.000,1900,on,-2.567255e-2,-4.353893e-2
9750.000,1950,on,-6.035864e-2,-4.306932e-2
10000.000,2000,on,7.258356e-2,-4.722216e-2
10250.000,2050,on,-1.604927e-2,-3.879552e-2
10500.000,2100,on,-1.219738e-2,-5.525608e-2
10750.000,2150,on,-3.917587e-2,-6.192872e-2
11000.000,2200,on,1.862633e-2,-4.483596e-2
11250.000,2250,on,-1.027906e-2,-5.086477e-2
11500.000,2300,on,2.633011e-2,-4.702049e-2
11750.000,2350,on,-3.918636e-2,-5.325873e-2
12000.000,2400,on,1.283801e-2,-5.588884e-2
12250.000,2450,on,-4.111707e-2,-4.666682e-2
12500.000,2500,on,1.090729e-2,-5.447177e-2
12750.000,2550,on,4.751647e-2,-5.267408e-2
13000.000,2600,on,-6.616557e-2,-5.212642e-2
13250.000,2650,on,4.554507e-2,-4.985220e-2
13500.000,2700,on,-4.517674e-3,-5.807730e-2
13750.000,2750,on,-4.113066e-2,-4.779793e-2
14000.000,2800,on,1.253486e-3,-4.633275e-2
14250.000,2850,on,3.208268e-2,-4.701843e-2
14500.000,2900,on,-2.765310e-2,-4.220019e-2
14750.000,2950,on,2.436888e-2,-5.282138e-2
15000.000,3000,on,6.097806e-2,-5.126922e-2
15250.000,3050,on,-2.187479e-2,-5.796326e-2
15500.000,3100,on,-6.812811e-4,-4.358930e-2
15750.000,3150,on,3.592789e-2,-4.094563e-2
16000.000,3200,on,-1.224649e-2,-4.682216e-2
16250.000,3250,on,1.858199e-2,-4.802833e-2
16500.000,3300,on,-1.032341e-2,-6.068789e-2
16750.000,3350,on,2.628577e-2,-5.316327e-2
17000.000,3400,on,-2.381551e-2,-5.340518e-2
17250.000,3450,on,3.398883e-2,-5.381420e-2
17500.000,3500,on,1.471794e-2,-5.349291e-2
17750.000,3550,on,-4.501784e-2,-5.215506e-2
18000.000,3600,on,9.755862e-2,-4.435626e-2
18250.000,3650,on,5.709684e-2,-6.553832e-2
18500.000,3700,on,-1.471444e-1,-5.944787e-2
18750.000,3750,on,1.457225e-1,-4.583797e-2
19000.000,3800,on,-4.569650e-3,-4.850286e-2
19250.000,3850,on,-3.925288e-2,-5.269780e-2
19500.000,3900,on,7.827604e-2,-3.497962e-2
19750.000,3950,on,4.166305e-2,-5.186019e-2
20000.000,4000,on,-1.807272e-2,-5.187254e-2
20250.000,4050,on,-2.963603e-2,-5.011047e-2
20500.000,4100,on,6.973147e-3,-4.667851e-2
20750.000,4150,on,-2.771294e-2,-4.455735e-2
21000.000,4200,on,-2.386391e-2,-5.365656e-2
21250.000,4250,on,6.087061e-2,-5.499874e-2
21500.000,4300,on,1.173377e-3,-5.485944e-2
21750.000,4350,on,-7.554293e-4,-6.008282e-2
22000.000,4400,on,3.585374e-2,-4.953834e-2
22250.000,4450,on,1.167655e-3,-5.954539e-2
22500.000,4500,on,-5.664122e-2,-5.207997e-2
22750.000,4550,on,5.703580e-2,-4.498946e-2
23000.000,4600,on,2.813184e-2,-5.278137e-2
23250.000,4650,on,6.934047e-3,-4.976388e-2
23500.000,4700,on,-5.280173e-2,-5.933554e-2
23750.000,4750,on,4.738867e-2,-4.702795e-2
24000.000,4800,on,-4.895341e-2,-5.022131e-2
24250.000,4850,on,2.811444e-2,-5.198101e-2
24500.000,4900,on,1.263365e-1,-5.030579e-2
24750.000,4950,on,-2.777064e-2,-5.654881e-2
25000.000,5000,on,-1.009918e-1,-4.630876e-2
25250.000,5050,on,-3.163183e-2,-4.674619e-2
25500.000,5100,on,2.039063e-2,-4.807833e-2
25750.000,5150,on,-8.071661e-4,-4.524316e-2
26000.000,5200,on,8.825421e-3,-4.535606e-2
26250.000,5250,on,2.616322e-2,-4.710849e-2
26500.000,5300,on,-2.586496e-2,-5.372509e-2
26750.000,5350,on,2.423036e-2,-5.352388e-2
27000.000,5400,on,-8.174288e-2,-5.467872e-2
27250.000,5450,on,-5.091727e-2,-4.172383e-2
27500.000,5500,on,3.963840e-2,-5.106910e-2
27750.000,5550,on,-3.743947e-2,-4.735373e-2
28000.000,5600,on,3.577697e-2,-5.270360e-2
28250.000,5650,on,2.806747e-2,-4.732712e-2
28500.000,5700,on,-3.166831e-2,-5.359637e-2
28750.000,5750,on,-4.708540e-2,-4.802102e-2
29000.000,5800,on,3.769028e-2,-4.762161e-2
29250.000,5850,on,6.857991e-3,-5.371931e-2
29500.000,5900,on,-1.626670e-2,-4.302018e-2
29750.000,5950,on,4.538739e-2,-4.394177e-2
30000.000,6000,on,8.777440e-2,-4.667454e-2
30250.000,6050,on,-1.434457e-2,-6.000265e-2
30500.000,6100,on,2.226460e-2,-4.431384e-2
30750.000,6150,on,2.226269e-2,-4.920752e-2
31000.000,6200,on,1.455319e-2,-4.829680e-2
31250.000,6250,on,-4.518259e-2,-4.873494e-2
31500.000,6300,on,1.068866e-2,-3.578174e-2
31750.000,6350,on,1.839602e-2,-5.099837e-2
32000.000,6400,on,5.500519e-2,-5.531875e-2
32250.000,6450,on,2.995360e-2,-4.736313e-2
32500.000,6500,on,-2.978218e-2,-5.617929e-2
32750.000,6550,on,8.753896e-3,-4.942884e-2
33000.000,6600,on,1.260579e-2,-5.132568e-2
33250.000,6650,on,6.823182e-3,-4.630676e-2
33500.000,6700,on,-5.291259e-2,-4.663837e-2
33750.000,6750,on,6.076276e-2,-4.779961e-2
34000.000,6800,on,-4.135621e-2,-5.453622e-2
34250.000,6850,on,3.185785e-2,-4.617825e-2
34500.000,6900,on,-4.521334e-2,-5.603660e-2
34750.000,6950,on,-2.402389e-2,-4.582763e-2
35000.000,7000,on,-2.595460e-2,-4.084906e-2
35250.000,7050,on,1.065218e-2,-4.984186e-2
35500.000,7100,on,-2.210701e-2,-3.574825e-2
35750.000,7150,on,-3.752410e-2,-5.306502e-2
36000.000,7200,on,8.963811e-2,-5.375874e-2
36250.000,7250,on,-4.776835e-3,-5.112093e-2
36500.000,7300,on,1.256096e-2,-4.544459e-2
36750.000,7350,on,-8.636832e-3,-4.285540e-2
37000.000,7400,on,-3.561532e-2,-5.343268e-2
37250.000,7450,on,-6.713748e-3,-3.981118e-2
37500.000,7500,on,2.989542e-2,-4.674931e-2
37750.000,7550,on,-3.754795e-2,-4.888269e-2
38000.000,7600,on,-6.724238e-3,-5.493392e-2
38250.000,7650,on,2.217734e-2,-4.630673e-2
38500.000,7700,on,-1.443565e-2,-5.123254e-2
38750.000,7750,on,5.107558e-2,-4.087980e-2
39000.000,7800,on,8.681893e-3,-6.186847e-2
39250.000,7850,on,1.445687e-2,-4.167194e-2
39500.000,7900,on,5.106199e-2,-4.873339e-2
39750.000,7950,on,-6.454766e-2,-4.705819e-2
40000.000,8000,on,1.444805e-2,-3.691998e-2
40250.000,8050,on,-4.823804e-3,-5.367402e-2
40500.000,8100,on,-2.024090e-2,-4.757829e-2
40750.000,8150,on,1.636827e-2,-4.709694e-2
41000.000,8200,on,-5.300200e-2,-4.925241e-2
41250.000,8250,on,3.947818e-2,-3.786756e-2
41500.000,8300,on,-1.447523e-2,-5.084064e-2
41750.000,8350,on,-1.474253e-1,-5.309772e-2
42000.000,8400,on,8.186185e-2,-3.895117e-2
42250.000,8450,on,-2.603972e-2,-5.075719e-2
42500.000,8500,on,-2.920270e-3,-4.186590e-2
42750.000,8550,on,1.056612e-2,-4.532450e-2
43000.000,8600,on,2.856612e-3,-4.616166e-2
43250.000,8650,on,1.300188e-1,-4.507536e-2
43500.000,8700,on,-4.917157e-2,-5.256100e-2
43750.000,8750,on,3.367651e-2,-3.979912e-2
44000.000,8800,on,5.679452e-2,-4.194821e-2
44250.000,8850,on,-5.688775e-2,-5.208782e-2
44500.000,8900,on,-1.064718e-2,-3.789159e-2
44750.000,8950,on,7.990801e-2,-4.662632e-2
45000.000,9000,on,-6.796956e-3,-4.776653e-2
45250.000,9050,on,-6.845605e-2,-4.887818e-2
45500.000,9100,on,5.292618e-2,-4.929860e-2
45750.000,9150,on,-2.951026e-3,-3.935469e-2
46000.000,9200,on,9.003878e-4,-4.359224e-2
46250.000,9250,on,-1.451671e-2,-4.563523e-2
46500.000,9300,on,1.245797e-2,-4.523579e-2
46750.000,9350,on,4.906714e-2,-3.970253e-2
47000.000,9400,on,-4.884601e-3,-4.241699e-2
47250.000,9450,on,1.630890e-2,-5.760036e-2
47500.000,9500,on,-2.415788e-2,-4.558261e-2
47750.000,9550,on,1.822937e-2,-5.793320e-2
48000.000,9600,on,8.592963e-3,-5.185137e-2
48250.000,9650,on,6.664157e-3,-4.713759e-2
48500.000,9700,on,-3.187573e-2,-6.288867e-2
48750.000,9750,on,1.244104e-2,-4.369742e-2
49000.000,9800,on,-2.417195e-2,-5.206884e-2
49250.000,9850,on,-6.078494e-2,-5.128078e-2
49500.000,9900,on,-2.418005e-2,-5.993512e-2
49750.000,9950,on,2.013671e-2,-5.416918e-2
50000.000,10000,on,7.023251e-2,-5.749132e-2
50250.000,10050,on,-6.271875e-2,-5.404732e-2
50500.000,10100,on,-2.803791e-2,-4.305492e-2
50750.000,10150,on,7.018611e-2,-5.362905e-2
51000.000,10200,on,-7.424805e-2,-5.179743e-2
51250.000,10250,on,4.131997e-2,-4.208561e-2
51500.000,10300,on,8.561730e-3,-5.510148e-2
51750.000,10350,on,8.536577e-4,-4.850013e-2
52000.000,10400,on,7.792270e-2,-4.426863e-2
52250.000,10450,on,-2.612770e-2,-5.631375e-2
52500.000,10500,on,-2.420270e-2,-4.756988e-2
52750.000,10550,on,7.020628e-2,-5.228595e-2
53000.000,10600,on,-2.613437e-2,-4.939594e-2
53250.000,10650,on,-2.420962e-2,-4.992952e-2
53500.000,10700,on,-3.962672e-2,-4.489578e-2
53750.000,10750,on,4.129732e-2,-5.493839e-2
54000.000,10800,on,-1.458466e-2,-4.003231e-2
54250.000,10850,on,-1.651347e-2,-4.978307e-2
54500.000,10900,on,2.009571e-2,-2.227403e-2
54750.000,10950,on,-4.955888e-3,-4.734131e-2
55000.000,11000,on,1.237977e-2,-4.832714e-2
55250.000,11050,on,8.174217e-2,-4.336180e-2
55500.000,11100,on,-4.350054e-2,-4.304477e-2
55750.000,11150,on,8.114576e-4,-4.582018e-2
56000.000,11200,on,1.622355e-2,-5.820949e-2
56250.000,11250,on,6.587148e-3,-4.550871e-2
56500.000,11300,on,-1.653755e-2,-5.087824e-2
56750.000,11350,on,8.558023e-2,-4.624179e-2
57000.000,11400,on,-2.810276e-2,-4.419508e-2
57250.000,11450,on,-2.810466e-2,-5.264365e-2
57500.000,11500,on,8.504510e-3,-5.461466e-2
57750.000,11550,on,4.511368e-2,-5.474354e-2
58000.000,11600,on,1.235449e-2,-4.498874e-2
58250.000,11650,on,-4.738128e-2,-5.530512e-2
58500.000,11700,on,6.569982e-3,-4.916542e-2
58750.000,11750,on,4.317915e-2,-4.821596e-2
59000.000,11800,on,-6.087029e-2,-4.943468e-2
59250.000,11850,on,-8.850932e-3,-5.049175e-2
59500.000,11900,on,-1.463234e-2,-4.477838e-2
59750.000,11950,on,2.197683e-2,-4.823037e-2
60000.000,12000,on,-2.041686e-2,-4.285870e-2
60250.000,12050,on,-2.812636e-2,-4.303738e-2
60500.000,12100,on,8.482814e-3,-5.188005e-2
60750.000,12150,on,-2.427638e-2,-4.185732e-2
61000.000,12200,on,1.233280e-2,-4.401192e-2
61250.000,12250,on,2.696395e-3,-4.105898e-2
61500.000,12300,on,-1.079381e-2,-4.632594e-2
61750.000,12350,on,2.692580e-3,-4.404417e-2
62000.000,12400,on,-6.943822e-3,-4.434931e-2
62250.000,12450,on,-1.272643e-2,-4.730962e-2
62500.000,12500,on,2.388275e-2,-4.158988e-2
62750.000,12550,on,-2.621853e-2,-4.748438e-2
63000.000,12600,on,7.561445e-4,-3.857471e-2
63250.000,12650,on,3.736532e-2,-4.433678e-2
63500.000,12700,on,-2.237046e-2,-4.099344e-2
63750.000,12750,on,-8.210623e-2,-4.772015e-2
64000.000,12800,on,3.734887e-2,-4.086382e-2
64250.000,12850,on,4.591107e-3,-4.652540e-2
64500.000,12900,on,-5.514014e-2,-5.101699e-2
64750.000,12950,on,4.119551e-2,-4.528420e-2
65000.000,13000,on,-2.046216e-2,-5.013920e-2
65250.000,13050,on,-4.936421e-2,-3.815690e-2
65500.000,13100,on,1.421416e-2,-4.895975e-2
65750.000,13150,on,-5.056739e-3,-4.230733e-2
66000.000,13200,on,3.155243e-2,-4.502179e-2
66250.000,13250,on,2.384293e-2,-4.438917e-2
66500.000,13300,on,2.576792e-2,-4.690792e-2
66750.000,13350,on,-3.396785e-2,-3.803031e-2
67000.000,13400,on,-1.212478e-3,-3.753492e-2
67250.000,13450,on,-6.995082e-3,-4.821005e-2
67500.000,13500,on,1.034153e-2,-3.682436e-2
67750.000,13550,on,-5.077720e-3,-4.313872e-2
68000.000,13600,on,-1.264367e-3,-4.653903e-2
68250.000,13650,on,8.406758e-3,-4.620874e-2
68500.000,13700,on,2.624154e-3,-5.173599e-2
68750.000,13750,on,6.476045e-3,-4.178593e-2
69000.000,13800,on,4.547238e-3,-4.659090e-2
69250.000,13850,on,-3.162265e-3,-4.121009e-2
69500.000,13900,on,3.344691e-2,-4.328599e-2
69750.000,13950,on,-3.206861e-2,-4.673889e-2
70000.000,14000,on,3.151047e-2,-4.307488e-2
70250.000,14050,on,3.921282e-2,-4.443541e-2
70500.000,14100,on,-2.052295e-2,-5.046903e-2
70750.000,14150,on,6.451726e-3,-4.065374e-2
71000.000,14200,on,4.306090e-2,-4.389074e-2
71250.000,14250,on,7.774317e-2,-4.823027e-2
71500.000,14300,on,-7.040381e-3,-5.184386e-2
71750.000,14350,on,-2.245748e-2,-4.082514e-2
72000.000,14400,on,-7.044196e-3,-4.466134e-2
72250.000,14450,on,2.956498e-2,-4.922287e-2
72500.000,14500,on,2.185547e-2,-4.025922e-2
72750.000,14550,on,-3.788030e-2,-5.063629e-2
73000.000,14600,on,-3.402841e-2,-5.107454e-2
73250.000,14650,on,2.580762e-3,-4.670075e-2
73500.000,14700,on,4.505754e-3,-4.834757e-2
73750.000,14750,on,4.111493e-2,-4.003644e-2
74000.000,14800,on,-1.188091e-1,-4.748126e-2
74250.000,14850,on,2.762330e-2,-4.331242e-2
74500.000,14900,on,-2.825749e-2,-4.167274e-2
74750.000,14950,on,-3.982079e-2,-4.391167e-2
75000.000,15000,on,7.192814e-2,-3.392065e-2
75250.000,15050,on,-6.483743e-2,-4.330352e-2
75500.000,15100,on,7.577527e-2,-4.254744e-2
75750.000,15150,on,-1.285923e-2,-4.723670e-2
76000.000,15200,on,-3.212869e-2,-4.336282e-2
76250.000,15250,on,4.480481e-3,-4.598693e-2
76500.000,15300,on,-2.249801e-2,-3.947056e-2
76750.000,15350,on,1.989186e-2,-4.274175e-2
77000.000,15400,on,-5.718601e-2,-3.815921e-2
77250.000,15450,on,-3.213823e-2,-4.313631e-2
77500.000,15500,on,4.470944e-3,-4.257138e-2
77750.000,15550,on,4.108012e-2,-3.638473e-2
78000.000,15600,on,-2.829015e-2,-4.121867e-2
78250.000,15650,on,4.107463e-2,-3.345045e-2
78500.000,15700,on,-2.829063e-2,-5.001637e-2
78750.000,15750,on,7.767832e-2,-4.054477e-2
79000.000,15800,on,-5.141747e-2,-5.002934e-2
79250.000,15850,on,-1.320004e-3,-3.929705e-2
79500.000,15900,on,3.528917e-2,-3.467633e-2
79750.000,15950,on,-1.188542e-1,-4.670245e-2
80000.000,16000,on,-7.102370e-3,-5.693261e-2
80250.000,16050,on,-1.866567e-2,-5.240595e-2
80500.000,16100,on,2.372420e-2,-4.246604e-2
80750.000,16150,on,5.840647e-2,-4.694344e-2
81000.000,16200,on,-4.564416e-2,-4.989405e-2
81250.000,16250,on,5.454719e-2,-4.570542e-2
81500.000,16300,on,-1.289618e-2,-3.837585e-2
81750.000,16350,on,3.142059e-2,-5.499230e-2
82000.000,16400,on,6.802976e-2,-4.187700e-2
82250.000,16450,on,-3.267407e-3,-4.640419e-2
82500.000,16500,on,-2.061141e-2,-4.223986e-2
82750.000,16550,on,1.046242e-1,-4.057056e-2
83000.000,16600,on,-1.053959e-1,-3.847080e-2
83250.000,16650,on,-1.869500e-2,-4.031786e-2
83500.000,16700,on,4.103220e-2,-5.013990e-2
83750.000,16750,on,-1.870358e-2,-4.248128e-2
84000.000,16800,on,5.635023e-4,-3.961868e-2
84250.000,16850,on,-9.072900e-3,-4.047349e-2
84500.000,16900,on,-6.880867e-2,-5.221159e-2
84750.000,16950,on,1.404011e-2,-3.936452e-2
85000.000,17000,on,6.027901e-2,-5.323406e-2
85250.000,17050,on,-1.487005e-2,-5.051392e-2
85500.000,17100,on,-7.164359e-3,-4.761790e-2
85750.000,17150,on,2.944481e-2,-4.100369e-2
86000.000,17200,on,4.100430e-2,-4.176516e-2
86250.000,17250,on,-3.314137e-3,-3.138845e-2
86500.000,17300,on,3.329504e-2,-5.389491e-2
86750.000,17350,on,-1.391053e-3,-4.599602e-2
87000.000,17400,on,-6.112683e-2,-4.245659e-2
87250.000,17450,on,3.328073e-2,-4.526667e-2
87500.000,17500,on,1.064931e-1,-3.693771e-2
87750.000,17550,on,-1.227955e-1,-5.676014e-2
88000.000,17600,on,-3.994429e-2,-4.355539e-2
88250.000,17650,on,6.795347e-2,-4.557779e-2
88500.000,17700,on,-5.536354e-2,-4.587574e-2
88750.000,17750,on,-5.272508e-3,-4.082068e-2
89000.000,17800,on,4.482329e-2,-4.634877e-2
89250.000,17850,on,8.143246e-2,-4.057741e-2
89500.000,17900,on,-4.188263e-2,-4.835864e-2
89750.000,17950,on,1.784718e-2,-4.686521e-2
90000.000,18000,on,-2.647340e-2,-4.047953e-2
90250.000,18050,on,-5.730569e-2,-4.393649e-2
90500.000,18100,on,-2.069652e-2,-4.374368e-2
90750.000,18150,on,1.591265e-2,-3.725557e-2
91000.000,18200,on,-7.212043e-3,-4.612621e-2
91250.000,18250,on,2.939713e-2,-3.999500e-2
91500.000,18300,on,5.444252e-2,-4.769040e-2
91750.000,18350,on,-2.070510e-2,-5.208249e-2
92000.000,18400,on,2.746546e-2,-4.160975e-2
92250.000,18450,on,-1.685512e-2,-3.667744e-2
92500.000,18500,on,6.261468e-3,-5.381144e-2
92750.000,18550,on,2.405286e-3,-4.217051e-2
93000.000,18600,on,-3.377318e-3,-4.972664e-2
93250.000,18650,on,3.323185e-2,-4.104985e-2
93500.000,18700,on,4.326463e-3,-3.570275e-2
93750.000,18750,on,4.093564e-2,-4.388864e-2
94000.000,18800,on,-1.301944e-2,-3.906522e-2
94250.000,18850,on,-7.275522e-2,-5.114248e-2
94500.000,18900,on,9.101951e-2,-3.867342e-2
94750.000,18950,on,1.353329e-1,-3.948145e-2
95000.000,19000,on,-2.073586e-2,-4.544246e-2
95250.000,19050,on,1.968381e-2,-5.424534e-2
95500.000,19100,on,-3.615963e-2,-4.607484e-2
95750.000,19150,on,-1.689684e-2,-5.778786e-2
96000.000,19200,on,6.787598e-2,-4.386103e-2
96250.000,19250,on,-6.507289e-2,-5.396760e-2
96500.000,19300,on,-1.498091e-2,-4.388146e-2
96750.000,19350,on,8.713472e-2,-4.657280e-2
97000.000,19400,on,-7.471788e-2,-5.897301e-2
97250.000,19450,on,3.317964e-2,-4.113001e-2
97500.000,19500,on,1.102484e-1,-3.838693e-2
97750.000,19550,on,-4.967725e-2,-5.053185e-2
98000.000,19600,on,-1.306808e-2,-5.140024e-2
98250.000,19650,on,2.354109e-2,-3.870399e-2
98500.000,19700,on,-1.884854e-2,-5.236422e-2
98750.000,19750,on,-2.077925e-2,-4.313256e-2
99000.000,19800,on,1.582992e-2,-4.809769e-2
99250.000,19850,on,5.243909e-2,-4.999951e-2
99500.000,19900,on,2.739036e-2,-4.355723e-2
99750.000,19950,on,-6.702530e-2,-4.414020e-2
100000.000,20000,on,-5.546582e-2,-3.555596e-2
100250.000,20050,on,4.857647e-2,-4.726968e-2
100500.000,20100,on,-4.006064e-2,-4.245396e-2
100750.000,20150,on,4.023314e-4,-4.201643e-2
101000.000,20200,on,-5.380273e-3,-4.830426e-2
