t_fs,step,phase,i_applied,v_cell
0.000,0,pre_hold,0.000000e0,-3.076000e-3
100.000,20,pre_hold,0.000000e0,-2.812133e-3
200.000,40,pre_hold,0.000000e0,-2.831428e-3
300.000,60,pre_hold,0.000000e0,-2.288739e-3
400.000,80,pre_hold,0.000000e0,-2.293556e-3
500.000,100,pre_hold,0.000000e0,-2.481848e-3
600.000,120,pre_hold,0.000000e0,-2.270153e-3
700.000,140,pre_hold,0.000000e0,-2.391379e-3
800.000,160,pre_hold,0.000000e0,-2.272133e-3
900.000,180,pre_hold,0.000000e0,-2.806877e-3
1000.000,200,pre_hold,0.000000e0,-3.150770e-3
1100.000,220,pre_hold,0.000000e0,-3.108343e-3
1200.000,240,pre_hold,0.000000e0,-3.091662e-3
1300.000,260,pre_hold,0.000000e0,-3.088530e-3
1400.000,280,pre_hold,0.000000e0,-3.067587e-3
1500.000,300,pre_hold,0.000000e0,-2.824280e-3
1600.000,320,pre_hold,0.000000e0,-2.871872e-3
1700.000,340,pre_hold,0.000000e0,-2.912312e-3
1800.000,360,pre_hold,0.000000e0,-3.138550e-3
1900.000,380,pre_hold,0.000000e0,-3.115604e-3
2000.000,400,pre_hold,0.000000e0,-3.001760e-3
2000.000,400,pre,0.000000e0,-3.001760e-3
2005.000,401,on,3.000000e-4,-2.982711e-3
2100.000,420,on,3.000000e-4,-3.047376e-3
2200.000,440,on,3.000000e-4,-3.048338e-3
2300.000,460,on,3.000000e-4,-3.186382e-3
2400.000,480,on,3.000000e-4,-2.678906e-3
2500.000,500,on,3.000000e-4,-2.688306e-3
2600.000,520,on,3.000000e-4,-2.239316e-3
2700.000,540,on,3.000000e-4,-2.267281e-3
2800.000,560,on,3.000000e-4,-2.296882e-3
2900.000,580,on,3.000000e-4,-2.304944e-3
3000.000,600,on,3.000000e-4,-2.765637e-3
3100.000,620,on,3.000000e-4,-3.093177e-3
3200.000,640,on,3.000000e-4,-3.087802e-3
3300.000,660,on,3.000000e-4,-3.305294e-3
3400.000,680,on,3.000000e-4,-3.099379e-3
3500.000,700,on,3.000000e-4,-3.075162e-3
3600.000,720,on,3.000000e-4,-3.114042e-3
3700.000,740,on,3.000000e-4,-3.167465e-3
3800.000,760,on,3.000000e-4,-3.363015e-3
3900.000,780,on,3.000000e-4,-2.853629e-3
4000.000,800,on,3.000000e-4,-2.815506e-3
4100.000,820,on,3.000000e-4,-2.798834e-3
4200.000,840,on,3.000000e-4,-2.340842e-3
4300.000,860,on,3.000000e-4,-2.463926e-3
4400.000,880,on,3.000000e-4,-2.354807e-3
4500.000,900,on,3.000000e-4,-2.492144e-3
4600.000,920,on,3.000000e-4,-2.948042e-3
4700.000,940,on,3.000000e-4,-3.088134e-3
4800.000,960,on,3.000000e-4,-3.251204e-3
4900.000,980,on,3.000000e-4,-3.206526e-3
5000.000,1000,on,3.000000e-4,-2.858714e-3
5100.000,1020,on,3.000000e-4,-2.979267e-3
5200.000,1040,on,3.000000e-4,-3.108677e-3
