t_fs,step,phase,i_applied,v_cell,v_metal_a,v_metal_b,v_bulk_a,v_bulk_b
0.000,0,pre_hold,0.000000e0,-5.945106e-3,-2.669116e-3,3.275989e-3,-9.288361e-3,3.088407e-3
25.000,5,pre_hold,0.000000e0,-5.818515e-3,-2.663462e-3,3.155054e-3,-9.311861e-3,3.337606e-3
50.000,10,pre_hold,0.000000e0,-5.809309e-3,-2.662684e-3,3.146626e-3,-9.308971e-3,3.336864e-3
75.000,15,pre_hold,0.000000e0,-5.709342e-3,-2.658516e-3,3.050826e-3,-9.299763e-3,3.205068e-3
100.000,20,pre_hold,0.000000e0,-5.805834e-3,-2.644360e-3,3.161475e-3,-9.278092e-3,3.318803e-3
125.000,25,pre_hold,0.000000e0,-5.826171e-3,-2.641622e-3,3.184549e-3,-9.258424e-3,3.269952e-3
150.000,30,pre_hold,0.000000e0,-5.761596e-3,-2.653321e-3,3.108275e-3,-9.276531e-3,3.344246e-3
175.000,35,pre_hold,0.000000e0,-5.660936e-3,-2.644579e-3,3.016358e-3,-9.259133e-3,3.206080e-3
200.000,40,pre_hold,0.000000e0,-5.760749e-3,-2.645407e-3,3.115342e-3,-9.254850e-3,3.299865e-3
225.000,45,pre_hold,0.000000e0,-5.832200e-3,-2.642472e-3,3.189728e-3,-9.254458e-3,3.092447e-3
250.000,50,pre_hold,0.000000e0,-5.880780e-3,-2.641769e-3,3.239011e-3,-9.251014e-3,2.902031e-3
275.000,55,pre_hold,0.000000e0,-5.907608e-3,-2.623140e-3,3.284469e-3,-9.225499e-3,3.267184e-3
300.000,60,pre_hold,0.000000e0,-5.882914e-3,-2.618131e-3,3.264782e-3,-9.211234e-3,3.084508e-3
325.000,65,pre_hold,0.000000e0,-6.046556e-3,-2.616403e-3,3.430154e-3,-9.216217e-3,2.751571e-3
350.000,70,pre_hold,0.000000e0,-5.795603e-3,-2.607590e-3,3.188013e-3,-9.191681e-3,2.848081e-3
375.000,75,pre_hold,0.000000e0,-5.695034e-3,-2.602988e-3,3.092046e-3,-9.187004e-3,3.109968e-3
400.000,80,pre_hold,0.000000e0,-5.587137e-3,-2.603104e-3,2.984033e-3,-9.176107e-3,3.266765e-3
425.000,85,pre_hold,0.000000e0,-5.497955e-3,-2.596230e-3,2.901725e-3,-9.178491e-3,3.159433e-3
450.000,90,pre_hold,0.000000e0,-5.450449e-3,-2.593433e-3,2.857016e-3,-9.160510e-3,3.029602e-3
475.000,95,pre_hold,0.000000e0,-5.283055e-3,-2.593304e-3,2.689752e-3,-9.169606e-3,2.472852e-3
