target_ratio,sim_time,eta_a,eta_b,eta_avg,i_controller_a,i_controller_b,e_delta_a,e_delta_b
1.005,100.0,0.006154,-0.009023,-0.001434,0.134384,-0.078107,3,-3
1.005,200.0,0.015083,-0.012048,0.001517,0.068077,-0.035504,3,-1
1.005,300.0,0.012403,-0.015152,-0.001374,-0.012989,0.001181,1,0
1.005,400.0,0.012442,-0.011834,0.000304,-0.005233,0.037867,0,0
1.005,500.0,0.006006,-0.006024,-0.000009,0.085455,-0.020121,0,2
1.005,600.0,0.009063,-0.012759,-0.001848,0.125926,-0.057399,1,-1
1.005,700.0,0.014881,-0.015060,-0.000090,-0.004944,0.005974,2,-2
1.005,800.0,0.014881,-0.009023,0.002929,-0.100363,-0.013672,0,2
1.005,900.0,0.009274,-0.012539,-0.001633,-0.062847,-0.036098,-2,0
1.005,1000.0,0.008902,-0.015129,-0.003113,-0.040102,0.009463,0,-1
1.005,1100.0,0.011852,-0.015038,-0.001593,-0.014459,0.046149,1,0
1.005,1200.0,0.012346,-0.011922,0.000212,0.020161,0.082834,-1,0
1.005,1300.0,0.009419,-0.008942,0.000239,0.042906,0.042598,0,1
1.005,1400.0,0.012520,-0.008889,0.001815,0.065651,0.020112,0,0
1.005,1500.0,0.015456,-0.008876,0.003290,0.014485,-0.002373,2,0
1.005,1600.0,0.012270,-0.008942,0.001664,-0.030654,-0.024858,-1,0
1.005,1700.0,0.012270,-0.009023,0.001624,-0.066989,-0.047343,0,0
1.005,1800.0,0.012308,-0.015038,-0.001365,-0.103324,-0.028409,0,-1
1.005,1900.0,0.006182,-0.015038,-0.004428,-0.039220,0.076325,-2,-1
1.005,2000.0,0.006173,-0.009023,-0.001425,0.042610,-0.040834,0,3
1.005,2100.0,0.006260,-0.012121,-0.002931,0.124440,-0.048526,0,-1
1.005,2200.0,0.012618,-0.012214,0.000202,0.094012,-0.071012,2,0
1.005,2300.0,0.012739,-0.012539,0.000100,-0.013225,-0.093497,1,0
1.005,2400.0,0.012520,-0.015198,-0.001339,-0.067285,-0.083379,-1,-1
1.005,2500.0,0.012539,-0.014970,-0.001215,-0.103620,0.033131,0,-1
1.005,2600.0,0.006211,-0.014970,-0.004379,-0.068997,0.128990,-2,0
1.005,2700.0,0.006211,-0.009331,-0.001560,0.012774,0.029582,0,4
