phase,sim_time,eta_a,eta_b,e_delta_a,e_delta_b
pre_rest,100.0,-0.011922,0.000000,0,0
pre_rest,200.0,-0.011834,0.000000,0,0
pre_rest,300.0,-0.011817,0.000000,0,0
pre_rest,400.0,-0.012085,0.000000,0,0
pre_rest,500.0,-0.012103,0.000000,0,0
pre_rest,600.0,-0.012103,0.000000,0,0
pre_rest,700.0,-0.012618,0.000000,0,0
pre_rest,800.0,-0.012539,0.000000,0,0
pre_rest,900.0,-0.019512,0.000000,0,0
pre_rest,1000.0,-0.012882,0.000000,0,0
pre_rest,1100.0,-0.012862,0.000000,0,0
pre_rest,1200.0,-0.012759,0.000000,0,0
pre_rest,1300.0,-0.012882,0.000000,0,0
pre_rest,1400.0,-0.012759,0.000000,0,0
pre_rest,1500.0,-0.012539,0.000000,0,0
pre_rest,1600.0,-0.012559,0.000000,0,0
pre_rest,1700.0,-0.012780,0.000000,0,0
pre_rest,1800.0,-0.009494,0.000000,0,0
pre_rest,1900.0,-0.012579,0.000000,0,0
pre_rest,2000.0,-0.012800,0.000000,0,0
pre_rest,2100.0,-0.012618,0.000000,0,0
pre_rest,2200.0,-0.014388,0.000000,0,0
pre_rest,2300.0,-0.012559,0.000000,0,0
pre_rest,2400.0,-0.012403,0.000000,0,0
pre_rest,2500.0,-0.012579,0.000000,0,0
pre_rest,2600.0,-0.012800,0.000000,0,0
pre_rest,2700.0,-0.012579,0.000000,0,0
pre_rest,2800.0,-0.012618,0.000000,0,0
pre_rest,2900.0,-0.013817,0.000000,0,0
pre_rest,3000.0,-0.009419,0.000000,0,0
pre_rest,3100.0,-0.013913,0.000000,0,0
pre_rest,3200.0,-0.012579,0.000000,0,0
pre_rest,3300.0,-0.012579,0.000000,0,0
pre_rest,3400.0,-0.012658,0.000000,0,0
pre_rest,3500.0,-0.013115,0.000000,0,0
pre_rest,3600.0,-0.012698,0.000000,0,0
pre_rest,3700.0,-0.012618,0.000000,0,0
pre_rest,3800.0,-0.012678,0.000000,0,0
pre_rest,3900.0,-0.012365,0.000000,0,0
pre_rest,4000.0,-0.012638,0.000000,0,0
pre_rest,4100.0,-0.012579,0.000000,0,0
pre_rest,4200.0,-0.009449,0.000000,0,0
pre_rest,4300.0,-0.009724,0.000000,0,0
pre_rest,4400.0,-0.013245,0.000000,0,0
pre_rest,4500.0,-0.012598,0.000000,0,0
pre_rest,4600.0,-0.012579,0.000000,0,0
pre_rest,4700.0,-0.012800,0.000000,0,0
pre_rest,4800.0,-0.012800,0.000000,0,0
pre_rest,4900.0,-0.012800,0.000000,0,0
pre_rest,5000.0,-0.013913,0.000000,0,0
pre_rest,5100.0,-0.012598,0.000000,0,0
pre_rest,5200.0,-0.012442,0.000000,0,0
pre_rest,5300.0,-0.012658,0.000000,0,0
pre_rest,5400.0,-0.012719,0.000000,0,0
pre_rest,5500.0,-0.012658,0.000000,0,0
pre_rest,5600.0,-0.010017,0.000000,0,0
pre_rest,5700.0,-0.009509,0.000000,0,0
pre_rest,5800.0,-0.013793,0.000000,0,0
pre_rest,5900.0,-0.012579,0.000000,0,0
pre_rest,6000.0,-0.012945,0.000000,0,0
pre_rest,6100.0,-0.012638,0.000000,0,0
pre_rest,6200.0,-0.012618,0.000000,0,0
pre_rest,6300.0,-0.012638,0.000000,0,0
pre_rest,6400.0,-0.012579,0.000000,0,0
pre_rest,6500.0,-0.012618,0.000000,0,0
pre_rest,6600.0,-0.018927,0.000000,0,0
pre_rest,6700.0,-0.006462,0.000000,0,0
pre_rest,6800.0,-0.006462,0.000000,0,0
pre_rest,6900.0,-0.012966,0.000000,0,0
pre_rest,7000.0,-0.012638,0.000000,0,0
pre_rest,7100.0,-0.013008,0.000000,0,0
pre_rest,7200.0,-0.009494,0.000000,0,0
pre_rest,7300.0,-0.011321,0.000000,0,0
pre_rest,7400.0,-0.006462,0.000000,0,0
pre_rest,7500.0,-0.012579,0.000000,0,0
pre_rest,7600.0,-0.009449,0.000000,0,0
