x,y,radius,charge,species,electrons
-200.028,-120.010,2.500,-0.0000,DMC,1
-195.029,-120.002,2.500,-0.0000,EC,1
-192.096,-119.837,0.760,1.0000,LithiumIon,0
-189.542,-120.001,2.500,-0.0000,EC,1
-199.980,-117.478,0.760,1.0000,LithiumIon,0
-200.000,-114.961,2.500,-0.0000,EC,1
-184.545,-120.000,2.500,-0.0000,EC,1
-181.703,-119.915,0.760,1.0000,LithiumIon,0
-178.771,-120.000,2.500,-0.0000,EC,1
-200.007,-107.723,2.500,-0.0000,EC,1
-200.007,-104.870,0.760,1.0000,LithiumIon,0
-195.900,-104.870,2.500,-0.0000,EC,1
-200.012,-102.025,2.500,-0.0000,EC,1
-192.911,-104.919,0.760,1.0000,LithiumIon,0
-190.277,-105.043,2.500,-0.0000,EC,1
-183.261,-111.448,2.500,-0.0000,DMC,1
-185.725,-107.097,2.500,-0.0000,DMC,1
-179.176,-108.568,2.500,-0.0000,EC,1
-176.720,-107.088,0.760,1.0000,LithiumIon,0
-186.228,-102.117,2.500,-0.0000,DMC,1
-173.733,-119.948,2.500,-0.0000,EC,1
-170.921,-120.130,0.760,1.0000,LithiumIon,0
-165.740,-120.009,2.500,-0.0000,EC,1
-169.832,-117.667,2.000,-1.0000,ElectrolyteAnion,1
-169.653,-112.961,2.500,-0.0000,EC,1
-167.150,-117.661,0.760,1.0000,LithiumIon,0
-168.335,-115.429,0.760,1.0000,LithiumIon,0
-165.746,-115.484,2.000,-1.0000,ElectrolyteAnion,1
-159.590,-120.000,2.500,-0.0000,EC,1
-156.743,-119.945,0.760,1.0000,LithiumIon,0
-153.910,-120.000,2.500,-0.0000,EC,1
-169.485,-106.303,2.500,-0.0000,DMC,1
-174.426,-105.558,2.500,-0.0000,EC,1
-171.446,-101.547,2.500,-0.0000,DMC,1
-161.131,-100.046,2.500,-0.0000,DMC,1
-147.407,-120.000,2.500,-0.0000,EC,1
-144.554,-119.877,0.760,1.0000,LithiumIon,0
-141.722,-120.001,2.500,-0.0000,EC,1
-144.227,-114.092,2.500,-0.0000,DMC,1
-133.268,-119.976,2.500,-0.0000,EC,1
-130.640,-120.139,0.760,1.0000,LithiumIon,0
-127.255,-120.208,0.760,1.0000,LithiumIon,0
-131.338,-114.355,2.500,-0.0000,DMC,1
-128.904,-118.217,2.000,-1.0000,ElectrolyteAnion,1
-128.884,-115.889,0.760,1.0000,LithiumIon,0
-126.068,-114.679,2.500,-0.0000,DMC,1
-139.380,-106.330,2.500,-0.0000,EC,1
-144.457,-104.035,2.500,-0.0000,EC,1
-146.540,-101.822,0.760,1.0000,LithiumIon,0
-139.891,-103.391,0.760,1.0000,LithiumIon,0
-140.657,-100.730,2.500,-0.0000,EC,1
-134.262,-103.458,0.760,1.0000,LithiumIon,0
-131.877,-103.220,2.000,-1.0000,ElectrolyteAnion,1
-136.564,-102.595,2.000,-1.0000,ElectrolyteAnion,1
-127.866,-105.259,2.500,-0.0000,EC,1
-125.790,-103.311,0.760,1.0000,LithiumIon,0
-124.741,-120.000,2.500,-0.0000,EC,1
-119.745,-120.000,2.500,-0.0000,DMC,1
-114.746,-120.000,2.500,-0.0000,EC,1
-111.924,-119.925,0.760,1.0000,LithiumIon,0
-109.135,-120.004,2.500,-0.0000,EC,1
-102.866,-119.997,2.500,-0.0000,DMC,1
-106.570,-115.714,2.500,-0.0000,DMC,1
-101.656,-114.795,2.500,-0.0000,DMC,1
-121.715,-112.021,2.500,-0.0000,DMC,1
-115.848,-107.963,2.500,-0.0000,DMC,1
-123.765,-101.354,2.500,-0.0000,EC,1
-104.404,-110.587,2.500,-0.0000,DMC,1
-101.406,-111.682,0.760,1.0000,LithiumIon,0
-105.769,-103.439,2.500,-0.0000,DMC,1
-100.400,-105.243,2.500,-0.0000,EC,1
-97.847,-120.000,2.500,-0.0000,EC,1
-94.987,-119.944,0.760,1.0000,LithiumIon,0
-92.137,-120.000,2.500,-0.0000,EC,1
-96.831,-113.481,2.500,-0.0000,DMC,1
-83.517,-120.000,2.500,-0.0000,EC,1
-80.686,-119.938,0.760,1.0000,LithiumIon,0
-77.887,-120.000,2.500,-0.0000,EC,1
-75.373,-115.657,2.500,-0.0000,DMC,1
-99.915,-109.733,2.000,-1.0000,ElectrolyteAnion,1
-98.013,-106.707,0.760,1.0000,LithiumIon,0
-95.657,-108.278,2.500,-0.0000,EC,1
-91.412,-110.915,2.500,-0.0000,DMC,1
-79.571,-106.658,2.500,-0.0000,EC,1
-82.706,-101.755,2.500,-0.0000,EC,1
-77.714,-102.017,2.500,-0.0000,EC,1
-75.699,-100.148,0.760,1.0000,LithiumIon,0
-72.896,-120.001,2.500,-0.0000,DMC,1
-67.901,-120.000,2.500,-0.0000,DMC,1
-62.904,-120.019,2.500,-0.0000,EC,1
-53.088,-120.014,2.500,-0.0000,EC,1
-60.857,-118.054,0.760,1.0000,LithiumIon,0
-58.757,-116.218,2.500,-0.0000,EC,1
-54.291,-115.672,2.000,-1.0000,ElectrolyteAnion,1
-52.216,-117.426,0.760,1.0000,LithiumIon,0
-50.013,-116.030,2.000,-1.0000,ElectrolyteAnion,1
-51.914,-114.466,0.760,1.0000,LithiumIon,0
-51.977,-111.791,2.500,-0.0000,EC,1
-57.086,-104.878,2.500,-0.0000,EC,1
-56.762,-102.031,0.760,1.0000,LithiumIon,0
-47.904,-120.005,2.500,-0.0000,DMC,1
-42.858,-120.019,2.500,-0.0000,EC,1
-44.450,-117.573,0.760,1.0000,LithiumIon,0
-45.615,-115.088,2.500,-0.0000,EC,1
-39.656,-116.172,2.500,-0.0000,DMC,1
-36.451,-120.010,2.500,-0.0000,EC,1
-33.386,-119.948,0.760,1.0000,LithiumIon,0
-30.664,-120.000,2.500,-0.0000,EC,1
-25.668,-120.000,2.500,-0.0000,DMC,1
-45.341,-110.097,2.500,-0.0000,DMC,1
-49.508,-107.333,2.500,-0.0000,DMC,1
-38.234,-105.274,2.500,-0.0000,DMC,1
-32.956,-106.966,2.500,-0.0000,DMC,1
-28.033,-105.722,2.500,-0.0000,EC,1
-27.211,-100.791,2.500,-0.0000,EC,1
-20.677,-120.006,2.500,-0.0000,EC,1
-17.826,-120.001,0.760,1.0000,LithiumIon,0
-14.976,-120.006,2.500,-0.0000,EC,1
-17.840,-115.894,2.500,-0.0000,EC,1
-15.666,-114.126,0.760,1.0000,LithiumIon,0
-13.297,-112.598,2.500,-0.0000,EC,1
-8.592,-120.007,2.500,-0.0000,EC,1
-5.961,-118.887,0.760,1.0000,LithiumIon,0
-11.787,-116.838,2.000,-1.0000,ElectrolyteAnion,1
-7.798,-114.763,2.500,-0.0000,EC,1
-3.542,-117.392,2.500,-0.0000,EC,1
-5.682,-112.868,0.760,1.0000,LithiumIon,0
-3.120,-112.915,2.000,-1.0000,ElectrolyteAnion,1
-22.336,-101.900,2.500,-0.0000,EC,1
-16.606,-101.649,2.500,-0.0000,EC,1
-8.399,-107.798,2.500,-0.0000,DMC,1
-0.945,-109.708,0.760,1.0000,LithiumIon,0
-3.439,-108.418,2.500,-0.0000,EC,1
-9.457,-102.911,2.500,-0.0000,EC,1
-6.917,-101.786,0.760,1.0000,LithiumIon,0
-1.648,-104.292,2.000,-1.0000,ElectrolyteAnion,1
-4.301,-100.657,2.500,-0.0000,EC,1
-200.000,-97.031,2.500,-0.0000,DMC,1
-200.003,-92.033,2.500,-0.0000,EC,1
-199.998,-89.174,0.760,1.0000,LithiumIon,0
-195.907,-89.165,2.500,-0.0000,EC,1
-190.934,-88.720,2.500,-0.0000,EC,1
-188.159,-88.311,0.760,1.0000,LithiumIon,0
-176.682,-97.957,2.500,-0.0000,DMC,1
-185.405,-87.852,2.500,-0.0000,EC,1
-180.859,-89.925,2.500,-0.0000,DMC,1
-200.002,-86.292,2.500,-0.0000,EC,1
-196.727,-82.514,2.500,-0.0000,DMC,1
-200.000,-78.716,2.500,-0.0000,EC,1
-199.945,-75.870,0.760,1.0000,LithiumIon,0
-181.366,-84.924,2.500,-0.0000,DMC,1
-186.726,-79.991,2.500,-0.0000,DMC,1
-167.646,-94.783,2.500,-0.0000,EC,1
-172.794,-91.846,2.500,-0.0000,DMC,1
-163.384,-91.073,2.500,-0.0000,DMC,1
-168.223,-89.818,2.500,-0.0000,EC,1
-168.999,-87.075,0.760,1.0000,LithiumIon,0
-169.806,-84.321,2.500,-0.0000,EC,1
-172.829,-80.337,2.500,-0.0000,DMC,1
-167.732,-79.772,2.500,-0.0000,DMC,1
-151.466,-82.137,0.760,1.0000,LithiumIon,0
-159.917,-77.245,2.500,-0.0000,DMC,1
-153.872,-80.591,2.500,-0.0000,EC,1
-155.138,-75.757,2.500,-0.0000,DMC,1
-200.000,-73.010,2.500,-0.0000,EC,1
-199.998,-65.114,2.500,-0.0000,EC,1
-182.251,-62.638,2.500,-0.0000,DMC,1
-200.006,-62.255,0.760,1.0000,LithiumIon,0
-199.969,-59.385,2.500,-0.0000,EC,1
-195.884,-62.269,2.500,-0.0000,EC,1
-191.136,-60.705,2.500,-0.0000,EC,1
-188.461,-59.919,0.760,1.0000,LithiumIon,0
-200.000,-54.387,2.500,-0.0000,DMC,1
-195.721,-51.801,2.500,-0.0000,DMC,1
-185.739,-59.056,2.500,-0.0000,EC,1
-180.953,-57.608,2.500,-0.0000,EC,1
-175.196,-58.833,2.500,-0.0000,DMC,1
-174.445,-69.810,2.500,-0.0000,DMC,1
-162.550,-67.640,2.500,-0.0000,DMC,1
-166.137,-64.027,2.500,-0.0000,EC,1
-160.449,-72.190,2.500,-0.0000,DMC,1
-157.651,-66.640,2.500,-0.0000,DMC,1
