x,y,radius,charge,species,electrons
-200.005,-120.006,2.500,-0.0000,EC,1
-194.568,-120.003,2.500,-0.0000,EC,1
-189.057,-119.976,2.500,-0.0000,EC,1
-198.652,-117.410,0.760,1.0000,LithiumIon,0
-197.150,-118.596,0.760,1.0000,LithiumIon,0
-200.004,-114.868,2.500,-0.0000,EC,1
-195.003,-114.899,2.500,-0.0000,DMC,1
-190.551,-115.613,2.000,-1.0000,ElectrolyteAnion,1
-188.417,-114.078,0.760,1.0000,LithiumIon,0
-186.142,-120.002,0.760,1.0000,LithiumIon,0
-183.106,-120.000,2.500,-0.0000,EC,1
-178.100,-120.001,2.500,-0.0000,EC,1
-175.298,-119.871,0.760,1.0000,LithiumIon,0
-186.056,-115.963,2.500,-0.0000,EC,1
-200.000,-109.873,2.500,-0.0000,DMC,1
-191.614,-111.225,2.500,-0.0000,EC,1
-188.725,-110.772,0.760,1.0000,LithiumIon,0
-200.001,-104.879,2.500,-0.0000,EC,1
-199.885,-102.122,0.760,1.0000,LithiumIon,0
-188.477,-101.031,2.500,-0.0000,EC,1
-181.297,-110.308,2.500,-0.0000,DMC,1
-186.191,-109.288,2.500,-0.0000,EC,1
-184.991,-104.208,2.000,-1.0000,ElectrolyteAnion,1
-185.824,-101.775,0.760,1.0000,LithiumIon,0
-182.953,-102.483,0.760,1.0000,LithiumIon,0
-183.912,-100.012,2.000,-1.0000,ElectrolyteAnion,1
-180.412,-103.698,2.500,-0.0000,EC,1
-172.460,-120.003,2.500,-0.0000,EC,1
-165.241,-120.000,2.500,-0.0000,EC,1
-171.593,-115.078,2.500,-0.0000,DMC,1
-162.390,-119.902,0.760,1.0000,LithiumIon,0
-159.558,-120.000,2.500,-0.0000,EC,1
-152.261,-120.000,2.500,-0.0000,EC,1
-174.649,-110.382,2.500,-0.0000,DMC,1
-170.788,-107.206,2.500,-0.0000,DMC,1
-167.975,-111.338,2.500,-0.0000,EC,1
-165.140,-111.286,0.760,1.0000,LithiumIon,0
-164.162,-106.547,2.500,-0.0000,DMC,1
-172.359,-102.459,2.500,-0.0000,DMC,1
-167.277,-102.636,2.500,-0.0000,DMC,1
-162.323,-111.197,2.500,-0.0000,EC,1
-157.341,-110.848,2.500,-0.0000,DMC,1
-152.227,-111.709,2.500,-0.0000,EC,1
-150.463,-107.032,2.500,-0.0000,EC,1
-162.337,-101.895,2.500,-0.0000,EC,1
-149.411,-119.927,0.760,1.0000,LithiumIon,0
-146.579,-120.000,2.500,-0.0000,EC,1
-140.407,-120.000,2.500,-0.0000,EC,1
-137.560,-119.942,0.760,1.0000,LithiumIon,0
-134.726,-120.000,2.500,-0.0000,EC,1
-128.204,-120.000,2.500,-0.0000,EC,1
-125.349,-119.927,0.760,1.0000,LithiumIon,0
-133.431,-114.539,2.500,-0.0000,DMC,1
-128.780,-112.711,2.500,-0.0000,EC,1
-139.324,-111.520,2.500,-0.0000,DMC,1
-149.461,-104.323,0.760,1.0000,LithiumIon,0
-148.435,-101.727,2.500,-0.0000,EC,1
-138.759,-101.924,2.500,-0.0000,EC,1
-137.215,-106.678,2.500,-0.0000,DMC,1
-127.062,-110.456,0.760,1.0000,LithiumIon,0
-125.268,-108.313,2.500,-0.0000,EC,1
-133.831,-102.761,2.500,-0.0000,DMC,1
-126.423,-103.450,2.500,-0.0000,DMC,1
-122.533,-120.005,2.500,-0.0000,EC,1
-117.535,-120.005,2.500,-0.0000,EC,1
-118.991,-117.492,0.760,1.0000,LithiumIon,0
-120.839,-115.304,2.500,-0.0000,EC,1
-109.646,-120.006,2.500,-0.0000,EC,1
-107.123,-118.657,0.760,1.0000,LithiumIon,0
-104.588,-117.416,2.500,-0.0000,EC,1
-121.574,-110.876,2.000,-1.0000,ElectrolyteAnion,1
-117.550,-108.867,2.500,-0.0000,EC,1
-119.310,-103.483,2.500,-0.0000,EC,1
-118.298,-106.119,0.760,1.0000,LithiumIon,0
-106.991,-108.714,2.500,-0.0000,DMC,1
-101.792,-109.591,2.500,-0.0000,DMC,1
-108.175,-100.637,2.500,-0.0000,DMC,1
-103.189,-100.291,2.500,-0.0000,EC,1
-101.498,-102.533,0.760,1.0000,LithiumIon,0
-99.959,-119.304,2.500,-0.0000,EC,1
-94.985,-120.005,2.500,-0.0000,EC,1
-88.565,-120.001,2.500,-0.0000,EC,1
-96.020,-117.403,0.760,1.0000,LithiumIon,0
-97.569,-114.892,2.500,-0.0000,EC,1
-85.804,-119.908,0.760,1.0000,LithiumIon,0
-82.890,-120.004,2.500,-0.0000,EC,1
-78.435,-119.397,2.000,-1.0000,ElectrolyteAnion,1
-76.494,-120.115,0.760,1.0000,LithiumIon,0
-78.402,-113.006,0.760,1.0000,LithiumIon,0
-76.658,-115.271,2.500,-0.0000,EC,1
-94.834,-110.707,2.500,-0.0000,DMC,1
-88.918,-111.757,2.500,-0.0000,DMC,1
-99.810,-104.824,2.500,-0.0000,EC,1
-94.882,-105.656,2.500,-0.0000,DMC,1
-80.002,-110.609,2.500,-0.0000,EC,1
-80.330,-105.550,2.500,-0.0000,DMC,1
-74.427,-119.192,2.000,-1.0000,ElectrolyteAnion,1
-72.500,-120.092,0.760,1.0000,LithiumIon,0
-69.887,-119.561,2.500,-0.0000,DMC,1
-64.909,-120.009,2.500,-0.0000,EC,1
-63.462,-117.562,0.760,1.0000,LithiumIon,0
-66.044,-114.095,2.000,-1.0000,ElectrolyteAnion,1
-59.859,-120.000,2.500,-0.0000,EC,1
-57.010,-119.976,0.760,1.0000,LithiumIon,0
-54.142,-119.905,2.500,-0.0000,EC,1
-61.724,-115.359,2.500,-0.0000,EC,1
-70.104,-111.872,2.500,-0.0000,DMC,1
-66.918,-111.687,0.760,1.0000,LithiumIon,0
-64.961,-109.669,2.500,-0.0000,EC,1
-74.172,-100.268,2.500,-0.0000,EC,1
-69.322,-101.476,2.500,-0.0000,EC,1
-65.343,-104.677,2.500,-0.0000,DMC,1
-57.811,-111.032,2.500,-0.0000,EC,1
-61.035,-107.471,2.000,-1.0000,ElectrolyteAnion,1
-56.654,-108.433,0.760,1.0000,LithiumIon,0
-60.636,-102.994,2.500,-0.0000,EC,1
-59.782,-100.322,0.760,1.0000,LithiumIon,0
-55.862,-105.707,2.500,-0.0000,EC,1
-46.602,-120.000,2.500,-0.0000,EC,1
-43.786,-119.923,0.760,1.0000,LithiumIon,0
-40.946,-120.003,2.500,-0.0000,EC,1
-33.662,-120.001,2.500,-0.0000,DMC,1
-28.663,-120.014,2.500,-0.0000,EC,1
-37.306,-116.577,2.500,-0.0000,DMC,1
-28.370,-117.367,0.760,1.0000,LithiumIon,0
-28.350,-114.356,2.500,-0.0000,EC,1
-38.027,-109.370,2.500,-0.0000,DMC,1
-32.582,-111.667,2.500,-0.0000,EC,1
-33.735,-106.806,2.500,-0.0000,EC,1
-28.117,-109.362,2.500,-0.0000,EC,1
-34.467,-104.089,0.760,1.0000,LithiumIon,0
-35.190,-101.333,2.500,-0.0000,EC,1
-23.664,-120.000,2.500,-0.0000,DMC,1
-18.670,-120.000,2.500,-0.0000,EC,1
-15.899,-119.956,0.760,1.0000,LithiumIon,0
-13.061,-120.000,2.500,-0.0000,EC,1
-6.440,-120.006,2.500,-0.0000,EC,1
-1.442,-120.001,2.500,-0.0000,EC,1
-4.968,-117.521,0.760,1.0000,LithiumIon,0
-3.174,-115.311,2.500,-0.0000,EC,1
-23.851,-112.172,2.500,-0.0000,DMC,1
-16.884,-102.783,2.500,-0.0000,EC,1
-1.293,-110.678,2.500,-0.0000,EC,1
-200.002,-99.348,2.500,-0.0000,EC,1
-200.250,-95.768,0.760,1.0000,LithiumIon,0
-197.627,-95.529,2.000,-1.0000,ElectrolyteAnion,1
-195.632,-94.217,0.760,1.0000,LithiumIon,0
-193.173,-96.276,2.500,-0.0000,DMC,1
-195.894,-91.901,2.000,-1.0000,ElectrolyteAnion,1
-200.008,-90.008,2.500,-0.0000,DMC,1
-197.228,-89.992,0.760,1.0000,LithiumIon,0
-188.914,-93.658,2.500,-0.0000,DMC,1
-184.278,-95.529,2.500,-0.0000,EC,1
-181.643,-95.373,0.760,1.0000,LithiumIon,0
-176.721,-99.909,2.500,-0.0000,DMC,1
-178.603,-95.275,2.500,-0.0000,EC,1
-200.000,-84.756,2.500,-0.0000,EC,1
-195.384,-87.381,2.500,-0.0000,DMC,1
-199.952,-81.914,0.760,1.0000,LithiumIon,0
-199.997,-79.052,2.500,-0.0000,EC,1
-195.414,-81.150,2.500,-0.0000,DMC,1
-188.382,-78.105,2.500,-0.0000,DMC,1
-190.175,-75.485,0.760,1.0000,LithiumIon,0
-177.878,-85.618,2.500,-0.0000,EC,1
-179.386,-83.239,0.760,1.0000,LithiumIon,0
-180.666,-80.745,2.500,-0.0000,EC,1
-179.469,-76.410,2.000,-1.0000,ElectrolyteAnion,1
-176.932,-75.746,0.760,1.0000,LithiumIon,0
-169.156,-98.004,2.500,-0.0000,DMC,1
-173.628,-95.774,2.500,-0.0000,DMC,1
-164.733,-95.674,2.500,-0.0000,DMC,1
-171.853,-90.318,2.500,-0.0000,EC,1
-171.431,-87.622,0.760,1.0000,LithiumIon,0
-164.578,-88.672,2.500,-0.0000,DMC,1
-160.695,-99.600,0.760,1.0000,LithiumIon,0
-158.873,-97.433,2.500,-0.0000,EC,1
-153.078,-99.187,2.500,-0.0000,DMC,1
-155.354,-93.881,2.500,-0.0000,DMC,1
-160.300,-92.641,2.500,-0.0000,DMC,1
-159.694,-87.601,2.500,-0.0000,DMC,1
-173.392,-85.937,2.000,-1.0000,ElectrolyteAnion,1
-168.942,-86.762,2.000,-1.0000,ElectrolyteAnion,1
-170.954,-85.036,0.760,1.0000,LithiumIon,0
-170.520,-82.428,2.500,-0.0000,EC,1
-165.615,-83.753,2.500,-0.0000,EC,1
-174.734,-77.723,2.500,-0.0000,EC,1
-170.242,-77.937,2.000,-1.0000,ElectrolyteAnion,1
-165.355,-80.868,0.760,1.0000,LithiumIon,0
-165.745,-78.084,2.500,-0.0000,EC,1
-157.962,-82.913,2.500,-0.0000,EC,1
-156.207,-80.612,0.760,1.0000,LithiumIon,0
-154.571,-78.401,2.500,-0.0000,EC,1
-200.000,-72.989,2.500,-0.0000,EC,1
-199.954,-70.190,0.760,1.0000,LithiumIon,0
-195.845,-70.155,2.500,-0.0000,DMC,1
-192.793,-74.945,2.500,-0.0000,EC,1
-188.489,-73.532,2.000,-1.0000,ElectrolyteAnion,1
-200.002,-67.375,2.500,-0.0000,EC,1
-194.960,-65.163,2.500,-0.0000,DMC,1
-191.158,-68.423,2.500,-0.0000,EC,1
-188.997,-66.623,0.760,1.0000,LithiumIon,0
-186.037,-73.542,0.760,1.0000,LithiumIon,0
-183.528,-74.477,2.500,-0.0000,EC,1
-179.530,-70.617,2.500,-0.0000,DMC,1
-186.755,-64.899,2.500,-0.0000,EC,1
-175.480,-64.869,2.500,-0.0000,DMC,1
-200.000,-62.380,2.500,-0.0000,DMC,1
-195.522,-60.155,2.500,-0.0000,DMC,1
-200.001,-57.382,2.500,-0.0000,EC,1
-188.882,-60.373,2.500,-0.0000,DMC,1
-199.815,-54.563,0.760,1.0000,LithiumIon,0
-200.002,-51.804,2.500,-0.0000,EC,1
-193.493,-54.663,2.500,-0.0000,DMC,1
-188.532,-55.387,2.500,-0.0000,DMC,1
-190.388,-50.746,2.500,-0.0000,DMC,1
-184.289,-58.029,2.500,-0.0000,DMC,1
-179.395,-61.759,2.500,-0.0000,EC,1
-179.452,-56.761,2.500,-0.0000,EC,1
-185.237,-50.693,2.500,-0.0000,DMC,1
-179.874,-53.992,0.760,1.0000,LithiumIon,0
-180.232,-51.225,2.500,-0.0000,EC,1
-172.409,-73.260,2.500,-0.0000,DMC,1
-168.902,-69.691,2.500,-0.0000,DMC,1
-162.521,-70.547,2.500,-0.0000,DMC,1
-170.829,-62.960,2.500,-0.0000,DMC,1
-164.000,-65.776,2.500,-0.0000,EC,1
-165.201,-63.247,0.760,1.0000,LithiumIon,0
-151.800,-74.239,2.500,-0.0000,EC,1
-154.473,-70.013,2.500,-0.0000,DMC,1
-159.110,-66.801,2.500,-0.0000,DMC,1
-170.539,-57.947,2.500,-0.0000,DMC,1
-166.320,-60.630,2.500,-0.0000,EC,1
-174.656,-51.065,2.500,-0.0000,DMC,1
-166.082,-55.637,2.500,-0.0000,DMC,1
-164.695,-50.281,2.500,-0.0000,DMC,1
-153.113,-60.651,2.500,-0.0000,DMC,1
-161.243,-54.023,2.500,-0.0000,DMC,1
-156.375,-52.869,2.500,-0.0000,DMC,1
-145.898,-98.014,2.000,-1.0000,ElectrolyteAnion,1
-147.982,-94.026,2.500,-0.0000,EC,1
-141.512,-97.012,2.500,-0.0000,EC,1
-140.072,-99.420,0.760,1.0000,LithiumIon,0
-145.881,-92.193,0.760,1.0000,LithiumIon,0
-143.470,-90.561,2.500,-0.0000,EC,1
-127.430,-97.096,2.500,-0.0000,DMC,1
-128.751,-91.878,2.500,-0.0000,DMC,1
-144.217,-85.617,2.500,-0.0000,DMC,1
-139.536,-87.477,2.500,-0.0000,DMC,1
-147.568,-77.438,2.500,-0.0000,DMC,1
-128.154,-85.010,2.500,-0.0000,DMC,1
-135.375,-75.693,2.500,-0.0000,DMC,1
-126.380,-80.169,2.500,-0.0000,DMC,1
-127.811,-75.378,2.500,-0.0000,DMC,1
-121.245,-98.875,2.500,-0.0000,DMC,1
-122.324,-93.807,2.500,-0.0000,DMC,1
-124.799,-88.815,2.500,-0.0000,DMC,1
-117.725,-91.479,2.500,-0.0000,DMC,1
-111.284,-96.722,2.500,-0.0000,DMC,1
-105.026,-95.643,2.500,-0.0000,DMC,1
-123.245,-84.064,2.500,-0.0000,EC,1
-120.691,-82.727,0.760,1.0000,LithiumIon,0
-115.967,-85.809,2.500,-0.0000,DMC,1
-118.343,-81.376,2.500,-0.0000,EC,1
-113.559,-79.937,2.500,-0.0000,EC,1
-108.334,-87.079,2.500,-0.0000,DMC,1
-109.067,-82.134,2.500,-0.0000,EC,1
-102.888,-84.290,2.500,-0.0000,DMC,1
-110.140,-76.245,2.500,-0.0000,DMC,1
-105.023,-75.439,2.500,-0.0000,DMC,1
-100.364,-77.378,2.500,-0.0000,DMC,1
-145.747,-72.780,2.500,-0.0000,EC,1
-142.989,-72.365,0.760,1.0000,LithiumIon,0
-143.654,-68.792,2.000,-1.0000,ElectrolyteAnion,1
-140.224,-71.716,2.500,-0.0000,EC,1
-149.131,-66.696,2.500,-0.0000,DMC,1
-144.685,-64.412,2.500,-0.0000,EC,1
-142.524,-62.721,0.760,1.0000,LithiumIon,0
-140.313,-60.932,2.500,-0.0000,EC,1
-142.099,-54.535,2.500,-0.0000,EC,1
-133.460,-62.499,2.500,-0.0000,EC,1
-136.106,-58.230,2.500,-0.0000,DMC,1
-131.111,-58.086,2.500,-0.0000,EC,1
-137.238,-53.362,2.500,-0.0000,EC,1
-136.128,-50.791,0.760,1.0000,LithiumIon,0
-131.317,-51.062,2.000,-1.0000,ElectrolyteAnion,1
-129.616,-55.647,0.760,1.0000,LithiumIon,0
-127.622,-53.647,2.500,-0.0000,EC,1
-114.355,-71.027,2.500,-0.0000,DMC,1
-101.037,-72.425,2.500,-0.0000,EC,1
-100.748,-69.577,0.760,1.0000,LithiumIon,0
-110.594,-64.720,2.500,-0.0000,DMC,1
-100.148,-66.730,2.500,-0.0000,EC,1
-106.271,-62.210,2.500,-0.0000,EC,1
-104.988,-59.473,0.760,1.0000,LithiumIon,0
-102.376,-59.875,2.000,-1.0000,ElectrolyteAnion,1
-195.670,-49.307,2.500,-0.0000,DMC,1
-200.002,-46.806,2.500,-0.0000,DMC,1
-195.679,-44.294,2.500,-0.0000,DMC,1
-190.908,-45.773,2.500,-0.0000,EC,1
-200.012,-41.807,2.500,-0.0000,EC,1
-199.927,-39.045,0.760,1.0000,LithiumIon,0
-192.586,-39.728,2.500,-0.0000,DMC,1
-186.258,-43.938,2.500,-0.0000,EC,1
-181.994,-46.547,2.500,-0.0000,EC,1
-176.996,-46.647,2.500,-0.0000,DMC,1
-182.210,-41.005,2.500,-0.0000,EC,1
-186.624,-38.656,2.500,-0.0000,DMC,1
-179.585,-39.746,0.760,1.0000,LithiumIon,0
-177.206,-38.331,2.500,-0.0000,EC,1
-200.000,-36.189,2.500,-0.0000,EC,1
-194.294,-34.423,2.500,-0.0000,DMC,1
-188.556,-34.044,2.500,-0.0000,DMC,1
-200.000,-29.604,2.500,-0.0000,EC,1
-200.000,-27.019,0.760,1.0000,LithiumIon,0
-192.894,-28.549,2.500,-0.0000,DMC,1
-187.505,-27.171,2.500,-0.0000,EC,1
-181.649,-36.037,2.500,-0.0000,EC,1
-184.090,-31.677,2.500,-0.0000,EC,1
