x,y,radius,charge,species,electrons
-200.005,-119.998,2.500,-0.0000,DMC,1
-195.007,-120.013,2.500,-0.0000,EC,1
-192.259,-120.003,0.760,1.0000,LithiumIon,0
-189.336,-120.005,2.500,-0.0000,EC,1
-197.492,-115.676,2.500,-0.0000,DMC,1
-192.513,-115.220,2.500,-0.0000,EC,1
-184.076,-120.002,2.500,-0.0000,DMC,1
-179.076,-120.008,2.500,-0.0000,EC,1
-186.709,-115.752,2.500,-0.0000,DMC,1
-178.285,-117.326,0.760,1.0000,LithiumIon,0
-177.335,-114.665,2.500,-0.0000,EC,1
-200.007,-111.355,2.500,-0.0000,DMC,1
-200.001,-106.363,2.500,-0.0000,EC,1
-193.335,-112.428,0.760,1.0000,LithiumIon,0
-193.580,-109.443,2.500,-0.0000,EC,1
-188.927,-111.271,2.500,-0.0000,EC,1
-199.954,-103.627,0.760,1.0000,LithiumIon,0
-195.270,-104.739,2.500,-0.0000,DMC,1
-200.000,-100.795,2.500,-0.0000,EC,1
-190.336,-100.424,2.500,-0.0000,DMC,1
-186.634,-109.593,0.760,1.0000,LithiumIon,0
-184.520,-107.720,2.500,-0.0000,EC,1
-181.050,-111.319,2.500,-0.0000,DMC,1
-175.803,-110.434,2.000,-1.0000,ElectrolyteAnion,1
-178.695,-106.868,2.500,-0.0000,EC,1
-182.262,-103.260,2.500,-0.0000,EC,1
-177.763,-104.158,0.760,1.0000,LithiumIon,0
-177.036,-101.387,2.500,-0.0000,EC,1
-169.057,-120.000,2.500,-0.0000,EC,1
-166.216,-119.915,0.760,1.0000,LithiumIon,0
-163.362,-120.000,2.500,-0.0000,EC,1
-172.379,-113.986,2.500,-0.0000,DMC,1
-156.232,-120.000,2.500,-0.0000,EC,1
-153.399,-119.914,0.760,1.0000,LithiumIon,0
-150.605,-120.000,2.500,-0.0000,EC,1
-159.581,-113.242,2.500,-0.0000,DMC,1
-173.362,-110.939,0.760,1.0000,LithiumIon,0
-171.125,-108.862,2.500,-0.0000,DMC,1
-153.163,-108.154,2.500,-0.0000,EC,1
-150.769,-106.679,0.760,1.0000,LithiumIon,0
-161.225,-105.071,2.500,-0.0000,EC,1
-156.731,-105.413,2.000,-1.0000,ElectrolyteAnion,1
-159.656,-102.739,0.760,1.0000,LithiumIon,0
-157.834,-100.507,2.500,-0.0000,EC,1
-153.203,-102.622,2.500,-0.0000,EC,1
-145.607,-120.000,2.500,-0.0000,DMC,1
-140.615,-119.947,2.500,-0.0000,EC,1
-138.110,-120.180,0.760,1.0000,LithiumIon,0
-138.881,-112.926,0.760,1.0000,LithiumIon,0
-134.280,-120.134,0.760,1.0000,LithiumIon,0
-131.682,-119.941,2.500,-0.0000,EC,1
-136.209,-118.668,2.000,-1.0000,ElectrolyteAnion,1
-136.363,-114.174,2.500,-0.0000,EC,1
-141.467,-111.743,2.500,-0.0000,EC,1
-148.650,-104.773,2.500,-0.0000,EC,1
-146.459,-100.843,2.000,-1.0000,ElectrolyteAnion,1
-127.563,-108.646,2.500,-0.0000,DMC,1
-131.530,-105.449,2.500,-0.0000,DMC,1
-126.848,-103.700,2.500,-0.0000,EC,1
-125.140,-101.411,0.760,1.0000,LithiumIon,0
-124.701,-120.005,2.500,-0.0000,EC,1
-117.819,-120.006,2.500,-0.0000,EC,1
-122.776,-117.899,0.760,1.0000,LithiumIon,0
-122.707,-115.284,2.000,-1.0000,ElectrolyteAnion,1
-118.258,-117.230,0.760,1.0000,LithiumIon,0
-118.294,-114.402,2.500,-0.0000,EC,1
-111.251,-120.000,2.500,-0.0000,EC,1
-108.386,-119.938,0.760,1.0000,LithiumIon,0
-105.547,-120.006,2.500,-0.0000,EC,1
-109.282,-113.078,2.500,-0.0000,DMC,1
-102.161,-117.043,2.000,-1.0000,ElectrolyteAnion,1
-104.280,-113.046,2.500,-0.0000,DMC,1
-101.947,-114.721,0.760,1.0000,LithiumIon,0
-120.547,-107.184,2.500,-0.0000,DMC,1
-116.281,-109.826,2.500,-0.0000,DMC,1
-104.438,-101.903,2.500,-0.0000,DMC,1
-101.539,-101.005,0.760,1.0000,LithiumIon,0
-98.780,-120.006,2.500,-0.0000,EC,1
-95.980,-119.968,0.760,1.0000,LithiumIon,0
-93.149,-120.000,2.500,-0.0000,EC,1
-99.082,-113.584,2.500,-0.0000,DMC,1
-85.878,-120.000,2.500,-0.0000,EC,1
-83.033,-120.002,0.760,1.0000,LithiumIon,0
-80.200,-120.003,2.500,-0.0000,EC,1
-81.373,-114.153,2.500,-0.0000,EC,1
-77.484,-116.415,2.000,-1.0000,ElectrolyteAnion,1
-75.403,-114.736,0.760,1.0000,LithiumIon,0
-95.042,-109.484,2.500,-0.0000,DMC,1
-99.666,-107.342,2.500,-0.0000,DMC,1
-98.441,-104.729,0.760,1.0000,LithiumIon,0
-95.583,-104.233,2.500,-0.0000,DMC,1
-99.906,-102.814,2.000,-1.0000,ElectrolyteAnion,1
-80.210,-111.575,0.760,1.0000,LithiumIon,0
-79.021,-108.994,2.500,-0.0000,EC,1
-82.381,-105.290,2.500,-0.0000,DMC,1
-77.481,-104.237,2.500,-0.0000,DMC,1
-74.719,-119.964,2.500,-0.0000,EC,1
-71.929,-119.995,0.760,1.0000,LithiumIon,0
-69.103,-120.001,2.500,-0.0000,EC,1
-64.110,-120.000,2.500,-0.0000,DMC,1
-72.493,-115.443,2.500,-0.0000,EC,1
-66.611,-115.666,2.500,-0.0000,DMC,1
-59.111,-120.015,2.500,-0.0000,EC,1
-52.515,-120.001,2.500,-0.0000,EC,1
-57.967,-115.148,2.500,-0.0000,EC,1
-52.967,-115.022,2.500,-0.0000,DMC,1
-69.394,-111.511,2.500,-0.0000,DMC,1
-74.421,-100.041,2.500,-0.0000,EC,1
-66.245,-101.521,2.500,-0.0000,DMC,1
-57.215,-112.409,0.760,1.0000,LithiumIon,0
-56.378,-109.846,2.500,-0.0000,EC,1
-60.005,-106.404,2.500,-0.0000,DMC,1
-50.073,-109.166,2.500,-0.0000,EC,1
-54.872,-105.079,2.500,-0.0000,EC,1
-49.723,-119.858,0.760,1.0000,LithiumIon,0
-46.906,-120.002,2.500,-0.0000,EC,1
-41.907,-120.002,2.500,-0.0000,DMC,1
-44.419,-115.664,2.500,-0.0000,DMC,1
-38.126,-116.731,2.500,-0.0000,EC,1
-33.505,-120.005,2.500,-0.0000,EC,1
-28.506,-120.006,2.500,-0.0000,EC,1
-35.772,-118.297,0.760,1.0000,LithiumIon,0
-31.418,-116.012,2.000,-1.0000,ElectrolyteAnion,1
-34.949,-112.868,2.500,-0.0000,EC,1
-29.014,-117.073,0.760,1.0000,LithiumIon,0
-25.164,-116.031,2.500,-0.0000,DMC,1
-45.308,-110.678,2.500,-0.0000,EC,1
-42.593,-111.410,0.760,1.0000,LithiumIon,0
